Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume AUD
2019-06-30 03-PM,LTCAUD,184.76,188.11,183,188.11,113.07,20756.48
2019-06-30 02-PM,LTCAUD,181.51,184.76,179.04,184.76,225.58,40911.1
2019-06-30 01-PM,LTCAUD,188.38,188.38,180.07,181.51,113.24,20710.48
2019-06-30 12-PM,LTCAUD,187.29,190.96,187.2,188.38,57.62,10907.96
2019-06-30 11-AM,LTCAUD,185.92,187.29,185.5,187.29,252.97,47005.34
2019-06-30 10-AM,LTCAUD,190.81,190.81,185.5,185.92,1539.14,289568.33
2019-06-30 09-AM,LTCAUD,182.94,193.5,181.75,190.81,399.62,76225.19
2019-06-30 08-AM,LTCAUD,180.4,183.22,180.01,182.94,233.82,42171.44
2019-06-30 07-AM,LTCAUD,185.59,185.59,180.4,180.4,223.97,40945.2
2019-06-30 06-AM,LTCAUD,186.36,186.36,184.88,185.59,223.72,41501.59
2019-06-30 05-AM,LTCAUD,187,187,186.36,186.36,8.31,1548.68
2019-06-30 04-AM,LTCAUD,187.93,188,186.88,187,143.93,26973.54
2019-06-30 03-AM,LTCAUD,186.46,187.93,186.03,187.93,75.88,14123.81
2019-06-30 02-AM,LTCAUD,186.94,187.5,185.71,186.46,46.26,8618.37
2019-06-30 01-AM,LTCAUD,189.83,189.83,184.76,186.94,315.41,59106.84
2019-06-30 12-AM,LTCAUD,189.49,190.59,189.49,189.83,213.9,40677.38
2019-06-29 11-PM,LTCAUD,189.84,189.84,188.9,189.49,38.98,7377.89
2019-06-29 10-PM,LTCAUD,189.24,190.7,189.24,189.84,313.34,59462.89
2019-06-29 09-PM,LTCAUD,190,191,187.94,189.24,72.26,13629.26
2019-06-29 08-PM,LTCAUD,189,191.49,189,190,63.03,12005.09
2019-06-29 07-PM,LTCAUD,190.91,192.87,188.89,189,73.85,14073.96
2019-06-29 06-PM,LTCAUD,189.31,190.91,189.03,190.91,30.1,5711.21
2019-06-29 05-PM,LTCAUD,190.69,193.8,189.31,189.31,91.52,17636.52
2019-06-29 04-PM,LTCAUD,182.94,190.69,179.94,190.69,354.74,66883.41
2019-06-29 03-PM,LTCAUD,183.29,183.29,180.42,182.94,33.22,6007.16
2019-06-29 02-PM,LTCAUD,179.9,183.29,178.27,183.29,246.94,44503.34
2019-06-29 01-PM,LTCAUD,181.76,181.76,179.87,179.9,161.87,29147.63
2019-06-29 12-PM,LTCAUD,183,184.76,180.15,181.76,107.4,19613.11
2019-06-29 11-AM,LTCAUD,179.05,183.99,177.22,183,274.13,49712.54
2019-06-29 10-AM,LTCAUD,168.45,179.05,168.45,179.05,522.49,91219.72
2019-06-29 09-AM,LTCAUD,166.68,169.61,166.68,168.45,11.45,1932.62
2019-06-29 08-AM,LTCAUD,168.02,168.02,166.52,166.68,13.18,2195.85
2019-06-29 07-AM,LTCAUD,166.88,168.02,166.88,168.02,50.8,8496.72
2019-06-29 06-AM,LTCAUD,166.1,166.88,166.1,166.88,11.0,1835.09
2019-06-29 05-AM,LTCAUD,167.14,167.52,165.95,166.1,40.71,6778.77
2019-06-29 04-AM,LTCAUD,165.75,167.63,165.57,167.14,31.54,5239.13
