Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume WAV,Volume ESRUR
2019-07-03,WAVESRUR,120,120.36,116.01,119,1218.59,142150.81
2019-07-02,WAVESRUR,120,123.95,110.55,120,3777.57,441017.41
2019-07-01,WAVESRUR,122,125,117.02,120,1841.16,222607.19
2019-06-30,WAVESRUR,125.7,126.1,119.03,122,2440.92,300000.77
2019-06-29,WAVESRUR,125,128,122.48,125.7,1868.66,232944.15
2019-06-28,WAVESRUR,115,131,115,125,4575.68,573131.75
2019-06-27,WAVESRUR,138.01,140.67,115,115,10106.89,1292555.72
2019-06-26,WAVESRUR,148,155.99,135.1,138.01,11575.77,1706602.91
2019-06-25,WAVESRUR,150,152,143.5,148,3280.15,487720.25
2019-06-24,WAVESRUR,149.92,153,148,150,2675.64,403338.96
2019-06-23,WAVESRUR,153.5,156,148,149.92,1160.27,175372.31
2019-06-22,WAVESRUR,151.9,156.85,143.44,153.5,3834.62,580917.05
2019-06-21,WAVESRUR,152,155.6,148.01,151.9,3857.8,582890.84
2019-06-20,WAVESRUR,155,155.69,149.14,152,1857.05,282182.84
2019-06-19,WAVESRUR,154.5,155,151.4,155,1089.4,167154.5
2019-06-18,WAVESRUR,155,157.55,151.23,154.5,601.04,92546.19
2019-06-17,WAVESRUR,154.72,158.5,153.71,155,990.97,155125.96
2019-06-16,WAVESRUR,155.99,162,149.9,154.72,2091.98,325875.1
2019-06-15,WAVESRUR,154,157,149,155.99,1107.25,168824.36
2019-06-14,WAVESRUR,159.84,161.49,147,154,2003.75,306000.3
2019-06-13,WAVESRUR,158.68,163,156.86,159.84,922.02,147188.04
2019-06-12,WAVESRUR,156,159.89,154.77,158.68,612.82,96460.1
2019-06-11,WAVESRUR,154.52,160,152,156,1673.16,262360.6
2019-06-10,WAVESRUR,155.2,159,152.33,154.52,1019.72,158745.61
2019-06-09,WAVESRUR,156.51,160,153.5,155.2,574.22,90123.86
2019-06-08,WAVESRUR,157,158.49,155,156.51,265.35,41744.35
2019-06-07,WAVESRUR,151.4,158.91,149.55,157,2897.47,449163.38
2019-06-06,WAVESRUR,152.91,155,147.82,151.4,4506.99,683326.28
2019-06-05,WAVESRUR,152.91,155,150,152.91,1509.1,230632.88
2019-06-04,WAVESRUR,165.28,165.28,150,152.91,3103.8,485297.78
2019-06-03,WAVESRUR,172.3,172.3,163.27,165.28,2135.19,356640.7
2019-06-02,WAVESRUR,170.89,174.18,169.5,172.3,1893.23,325376.88
2019-06-01,WAVESRUR,171.94,173.35,169.25,170.89,806.0,139012.92
2019-05-31,WAVESRUR,165.58,172.2,163.27,171.94,922.51,154575.19
2019-05-30,WAVESRUR,177.1,177.1,162,162.1,2799.65,480431.43
2019-05-29,WAVESRUR,176.89,180,173,175,1389.15,244286.56
2019-05-28,WAVESRUR,173.5,181.09,172.62,176.89,1941.22,341810.67
2019-05-27,WAVESRUR,174.71,176.85,171.01,173.5,2902.94,504842.41
2019-05-26,WAVESRUR,175.7,175.7,168.26,174.71,1909.68,326943.69
2019-05-25,WAVESRUR,174.71,177.63,170,175.7,1256.8,217884.39
2019-05-24,WAVESRUR,193.41,210.25,173.3,174.71,6391.99,1196236.05
2019-05-23,WAVESRUR,157.25,196.3,152.98,191,2623.55,429348.97
2019-05-22,WAVESRUR,159.6,163,155.06,157.25,706.25,111768.96
2019-05-21,WAVESRUR,159,161.7,153.85,159.6,1730.81,273813.99
2019-05-20,WAVESRUR,161.18,161.94,154,159,1163.84,182490.08
2019-05-19,WAVESRUR,159.8,165,155.4,163.15,1055.94,169176.68
2019-05-18,WAVESRUR,156,162.53,151.4,159.8,1402.78,221965.81
2019-05-17,WAVESRUR,161.81,164.39,150,156,1296.64,199131.09
2019-05-16,WAVESRUR,171.27,180,152.35,161.81,4080.36,685674.12
2019-05-15,WAVESRUR,155.56,179.5,151.3,171.27,3206.82,531342.81
2019-05-14,WAVESRUR,153.96,160.1,148.97,155.56,2204.47,345666.95
2019-05-13,WAVESRUR,155.9,161,152.4,153.96,2042.18,318337.38
2019-05-12,WAVESRUR,153.31,163.44,150.83,155.9,2342.41,369145.23
2019-05-11,WAVESRUR,150.2,160,147.86,153.31,1975.8,306809.76
2019-05-10,WAVESRUR,158.49,158.49,144.92,150.2,564.87,85391.78
2019-05-09,WAVESRUR,146.29,159,140.09,158.49,1686.43,247455.96
2019-05-08,WAVESRUR,140.1,147,134,146.29,1093.76,151297.25
2019-05-07,WAVESRUR,142.32,143.74,138.04,140.87,44.2,6168.65
2019-05-06,WAVESRUR,137.7,144.5,135,142.32,1157.34,159428.14
2019-05-05,WAVESRUR,141.98,143.63,135,137.7,1543.95,212888.47
2019-05-04,WAVESRUR,142,147.1,138.01,141.98,662.5,93790.22
2019-05-03,WAVESRUR,142.01,144,138,142,1079.19,152516.61
2019-05-02,WAVESRUR,142.65,143.88,136,142.01,644.92,90602.38
2019-05-01,WAVESRUR,147,149.32,135,142.65,1187.45,169691.58
2019-04-30,WAVESRUR,133.94,150.26,131.97,147,658.45,93325.57
2019-04-29,WAVESRUR,140.76,141.07,125,133.94,1108.78,148577.04
2019-04-28,WAVESRUR,145.89,145.9,138.14,140.76,536.53,75689.95
2019-04-27,WAVESRUR,147.4,147.62,141.01,145.89,490.0,70532.46
2019-04-26,WAVESRUR,149.1,155.55,142.1,147.4,1250.3,184367.15
2019-04-25,WAVESRUR,157.55,166.9,141,149.1,1437.07,228281.77
2019-04-24,WAVESRUR,173.24,174,155,157.55,1531.9,252991.84
2019-04-23,WAVESRUR,174,177.39,171.07,173.24,763.51,133291.98
2019-04-22,WAVESRUR,174.03,176,170,174,454.92,77980.87
