Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LIZ,Volume ARUR
2018-08-20 01-PM,LIZARUR,42.5,43,38.5,38.5,27.25,1051.46
2018-08-20 12-PM,LIZARUR,40.4,42.5,40.4,42.5,0.536,22.29
2018-08-20 11-AM,LIZARUR,40.4,40.4,40.4,40.4,7.46,301.54
2018-08-20 10-AM,LIZARUR,40.4,40.4,38.5,40.4,6.83,263.85
2018-08-20 09-AM,LIZARUR,38.5,40.4,38.5,40.4,4.1,165.64
2018-08-20 08-AM,LIZARUR,40.95,40.95,38.5,38.5,1002.0,41029.44
2018-08-20 07-AM,LIZARUR,38.5,40.95,38.5,40.95,1.06,42.27
2018-08-20 06-AM,LIZARUR,38.5,38.5,38.5,38.5,66.79,2571.61
2018-08-20 05-AM,LIZARUR,41.4,41.4,38.5,38.5,23.04,918.16
2018-08-20 04-AM,LIZARUR,41.4,41.4,41.4,41.4,15.69,649.42
2018-08-20 03-AM,LIZARUR,42.5,42.5,38.5,41.4,35.78,1393.17
2018-08-20 02-AM,LIZARUR,42.5,42.5,42.5,42.5,0.0,0.0
2018-08-20 01-AM,LIZARUR,40.5,42.5,40.5,42.5,0.004856,0.2064
2018-08-20 12-AM,LIZARUR,40.5,40.5,40.5,40.5,0.0,0.0
2018-08-19 11-PM,LIZARUR,40.5,40.5,40.5,40.5,0.0,0.0
2018-08-19 10-PM,LIZARUR,46.44,46.44,40.5,40.5,0.1025,4.15
2018-08-19 09-PM,LIZARUR,38.5,46.44,38.5,46.44,0.003,0.1393
2018-08-19 08-PM,LIZARUR,39.1,46.45,38.5,38.5,93.1,3616.7
2018-08-19 07-PM,LIZARUR,40,43.01,39.1,39.1,147.29,5883.18
2018-08-19 06-PM,LIZARUR,43.01,43.01,40,40,1.0,43.12
2018-08-19 05-PM,LIZARUR,43.01,43.01,43.01,43.01,0.009,0.3871
2018-08-19 04-PM,LIZARUR,43.01,43.01,43.01,43.01,0.0,0.0
2018-08-19 03-PM,LIZARUR,41.1,43.01,40,43.01,48.31,1932.79
2018-08-19 02-PM,LIZARUR,43.1,43.1,41.1,41.1,0.6715,28.81
2018-08-19 01-PM,LIZARUR,46.5,46.5,42.91,43.1,12.44,533.79
2018-08-19 12-PM,LIZARUR,46.5,46.5,41.2,46.5,15.3,703.95
2018-08-19 11-AM,LIZARUR,46.51,46.51,45,46.5,14.75,683.0
2018-08-19 10-AM,LIZARUR,46.7,46.7,43.51,46.51,0.004592,0.2065
2018-08-19 09-AM,LIZARUR,46.7,46.7,46.7,46.7,0.9513,44.43
2018-08-19 08-AM,LIZARUR,38.5,46.7,38.5,46.7,0.02133,0.996
2018-08-19 07-AM,LIZARUR,41.1,41.1,38.4,38.5,83.62,3383.13
