Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume USD
2019-07-03,EOSUSD,5.75,5.978,5.737,5.739,96.67,569.97
2019-07-02,EOSUSD,5.727,5.98,5.279,5.75,1077.16,6054.65
2019-07-01,EOSUSD,5.321,5.81,4.9,5.727,1452.73,7800.79
2019-06-30,EOSUSD,5.966,6.084,5.321,5.321,786.91,4558.0
2019-06-29,EOSUSD,5.8,5.966,5.737,5.966,263.8,1565.55
2019-06-28,EOSUSD,5.619,5.991,5.21,5.8,292.93,1688.17
2019-06-27,EOSUSD,5.93,5.999,5.199,5.619,831.33,4672.77
2019-06-26,EOSUSD,5.91,6.4,5.829,5.93,1767.72,10865.43
2019-06-25,EOSUSD,5.6,6.25,5.481,5.91,704.58,4258.76
2019-06-24,EOSUSD,5.88,7.137,5,5.6,2556.73,15753.72
2019-06-23,EOSUSD,5.99,6.15,5.6,5.88,828.43,4792.92
2019-06-22,EOSUSD,5.91,6.19,5.67,5.99,763.3,4566.91
2019-06-21,EOSUSD,5.9,6.19,5.81,5.91,219.76,1309.45
2019-06-20,EOSUSD,6.14,6.14,5.9,5.9,209.89,1260.78
2019-06-19,EOSUSD,6.25,6.25,6,6.14,426.8,2606.45
2019-06-18,EOSUSD,6.5,6.5,6.1,6.25,146.85,921.14
2019-06-17,EOSUSD,6.3,6.5,6.001,6.41,640.87,4020.69
2019-06-16,EOSUSD,6.06,6.34,5.94,6.3,341.56,2123.9
2019-06-15,EOSUSD,5.925,6.18,5.9,6.06,203.51,1227.26
2019-06-14,EOSUSD,6.192,6.25,5.9,5.925,685.11,4120.48
2019-06-13,EOSUSD,6.059,6.209,5.922,6.192,269.86,1638.71
2019-06-12,EOSUSD,6.04,6.214,5.8,6.059,532.2,3211.38
2019-06-11,EOSUSD,6.064,6.154,5.9,6.04,343.45,2065.12
2019-06-10,EOSUSD,5.7,6.365,5.7,6.064,542.63,3249.93
2019-06-09,EOSUSD,5.84,6.035,5.7,5.7,258.17,1496.42
2019-06-08,EOSUSD,5.9,6.075,5.8,5.84,112.7,664.78
2019-06-07,EOSUSD,5.96,6.19,5.73,5.9,310.79,1872.2
2019-06-06,EOSUSD,6.01,6.15,5.72,5.96,387.2,2340.71
2019-06-05,EOSUSD,5.86,6.15,5.7,6.01,169.08,1013.22
2019-06-04,EOSUSD,6.3,6.48,5.86,5.86,1237.62,7615.45
2019-06-03,EOSUSD,7.15,7.22,6.21,6.3,786.37,5311.46
2019-06-02,EOSUSD,7.01,7.26,6.91,7.15,470.81,3376.17
2019-06-01,EOSUSD,7.12,7.55,6.83,7.01,1342.25,9729.46
2019-05-31,EOSUSD,6.18,7.12,5.8,7.12,1032.27,6787.94
2019-05-30,EOSUSD,6.35,6.52,5.85,6.18,1948.38,12200.92
2019-05-29,EOSUSD,6.3,6.4,5.87,6.35,2819.81,17593.83
2019-05-28,EOSUSD,5.62,6.3,5.52,6.3,2301.14,13519.7
2019-05-27,EOSUSD,5.33,5.75,5.16,5.62,1654.72,9072.19
2019-05-26,EOSUSD,5.2,5.37,5.08,5.33,146.56,765.43
2019-05-25,EOSUSD,5.39,5.39,5.19,5.2,66.59,348.56
2019-05-24,EOSUSD,5.26,5.4,5,5.39,328.06,1735.38
2019-05-23,EOSUSD,5.4,5.4,5.02,5.26,216.38,1098.49
2019-05-22,EOSUSD,5.21,5.4,5.02,5.4,290.11,1494.9
2019-05-21,EOSUSD,5.17,5.27,5.08,5.21,309.99,1599.73
2019-05-20,EOSUSD,5.59,5.59,5.15,5.17,532.12,2786.6
2019-05-19,EOSUSD,4.92,5.59,4.92,5.59,1204.31,6280.98
2019-05-18,EOSUSD,5.02,5.3,4.81,4.92,295.48,1500.03
2019-05-17,EOSUSD,5.62,5.62,4.75,5.02,559.4,2801.43
2019-05-16,EOSUSD,5.77,5.77,5,5.62,2012.35,11134.07
2019-05-15,EOSUSD,5.22,5.78,5.01,5.77,1740.53,9520.72
2019-05-14,EOSUSD,5.22,5.22,4.95,5.22,1013.25,5250.68
2019-05-13,EOSUSD,5.2,5.22,5.01,5.22,581.72,3019.75
2019-05-12,EOSUSD,5.09,5.22,4.95,5.2,820.02,4245.76
2019-05-11,EOSUSD,4.6,5.09,4.6,5.09,394.37,1931.19
2019-05-10,EOSUSD,4.7,4.79,4.6,4.6,207.4,964.11
2019-05-09,EOSUSD,4.39,4.86,4.39,4.7,148.46,707.62
2019-05-08,EOSUSD,4.6,4.85,4.2,4.39,357.8,1641.59
2019-05-07,EOSUSD,4.48,4.84,4.48,4.84,28.45,137.23
2019-05-06,EOSUSD,4.55,4.85,4.48,4.48,93.1,427.82
2019-05-05,EOSUSD,4.56,4.74,4.47,4.55,171.09,784.44
2019-05-04,EOSUSD,4.45,4.9,4.33,4.56,257.23,1190.06
2019-05-03,EOSUSD,4.32,4.7,4.32,4.45,243.3,1103.58
2019-05-02,EOSUSD,4.32,4.6,4.32,4.32,210.82,939.96
2019-05-01,EOSUSD,4.64,4.64,4.32,4.32,114.16,510.52
2019-04-30,EOSUSD,4.5,4.72,4.48,4.64,252.61,1155.52
2019-04-29,EOSUSD,4.65,4.65,4.5,4.5,216.17,987.68
2019-04-28,EOSUSD,4.78,4.84,4.6,4.65,32.14,149.39
2019-04-27,EOSUSD,4.73,4.9,4.62,4.78,272.58,1290.35
2019-04-26,EOSUSD,4.5,4.83,4.5,4.73,24.29,114.24
