Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume EUR
2019-07-03 10-AM,LSKEUR,1.53,1.53,1.53,1.53,0.0,0.0
2019-07-03 09-AM,LSKEUR,1.63,1.63,1.53,1.53,19.37,29.63
2019-07-03 08-AM,LSKEUR,1.63,1.63,1.63,1.63,0.0,0.0
2019-07-03 07-AM,LSKEUR,1.63,1.63,1.63,1.63,0.0,0.0
2019-07-03 06-AM,LSKEUR,1.56,1.63,1.56,1.63,105.84,172.52
2019-07-03 05-AM,LSKEUR,1.63,1.63,1.56,1.56,6.41,10.0
2019-07-03 04-AM,LSKEUR,1.63,1.63,1.63,1.63,0.0,0.0
2019-07-03 03-AM,LSKEUR,1.63,1.63,1.63,1.63,0.0,0.0
2019-07-03 02-AM,LSKEUR,1.63,1.63,1.63,1.63,0.0,0.0
2019-07-03 01-AM,LSKEUR,1.63,1.63,1.63,1.63,0.0,0.0
2019-07-03 12-AM,LSKEUR,1.63,1.63,1.63,1.63,0.0,0.0
2019-07-02 11-PM,LSKEUR,1.63,1.63,1.63,1.63,0.0,0.0
2019-07-02 10-PM,LSKEUR,1.63,1.63,1.63,1.63,0.0,0.0
2019-07-02 09-PM,LSKEUR,1.63,1.63,1.63,1.63,0.0,0.0
2019-07-02 08-PM,LSKEUR,1.63,1.63,1.63,1.63,0.0,0.0
2019-07-02 07-PM,LSKEUR,1.63,1.63,1.63,1.63,0.0,0.0
2019-07-02 06-PM,LSKEUR,1.63,1.63,1.63,1.63,0.0,0.0
2019-07-02 05-PM,LSKEUR,1.63,1.63,1.63,1.63,0.0,0.0
2019-07-02 04-PM,LSKEUR,1.63,1.63,1.63,1.63,0.0,0.0
2019-07-02 03-PM,LSKEUR,1.52,1.63,1.52,1.63,60.0,97.8
2019-07-02 02-PM,LSKEUR,1.52,1.52,1.52,1.52,0.0,0.0
2019-07-02 01-PM,LSKEUR,1.52,1.52,1.52,1.52,0.0,0.0
