Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTG,Volume KRW
2019-08-07,BTGKRW,20590,20670,20240,20400,1252.51,25644927.67
2019-08-06,BTGKRW,21830,22020,20270,20590,23952.86,511788134.13
2019-08-05,BTGKRW,21230,22230,21020,21830,25480.5,553096338.86
2019-08-04,BTGKRW,21500,21650,20700,21230,8772.78,184787388.85
2019-08-03,BTGKRW,21710,21830,21350,21500,5251.21,113405738.57
2019-08-02,BTGKRW,21260,22050,21230,21710,13157.02,284016728.11
2019-08-01,BTGKRW,21870,22340,21000,21260,18956.49,408067702.4
2019-07-31,BTGKRW,21380,22090,21300,21870,14427.06,312167082.01
2019-07-30,BTGKRW,21890,21890,21100,21380,21308.26,458258538.75
2019-07-29,BTGKRW,23010,23460,21560,21890,17440.6,390196050.63
2019-07-28,BTGKRW,22940,23110,22030,23010,10409.72,236648875.85
2019-07-27,BTGKRW,24330,24750,22350,22940,25083.94,595471925.9
2019-07-26,BTGKRW,25080,25120,23520,24330,23500.4,564939632.47
2019-07-25,BTGKRW,25730,26310,25070,25080,17866.12,458477623.47
2019-07-24,BTGKRW,26100,26100,25000,25730,21963.29,557726804.23
2019-07-23,BTGKRW,28480,28680,25050,26100,31514.74,839968103.39
2019-07-22,BTGKRW,29240,29280,28060,28480,9569.67,274563881.56
2019-07-21,BTGKRW,30020,30470,27990,29240,10626.08,310520913.51
2019-07-20,BTGKRW,28900,30600,28600,30020,23762.53,704001023.12
2019-07-19,BTGKRW,29310,29610,28100,28900,11874.26,343683094.15
2019-07-18,BTGKRW,29000,29000,27750,28510,2431.7,68430143.7
2019-07-17,BTGKRW,27180,29200,27020,29000,20165.18,568542636.0
2019-07-16,BTGKRW,30180,30620,27000,27180,17516.67,513046779.31
2019-07-15,BTGKRW,28660,30800,27350,30180,28970.93,841449906.35
2019-07-14,BTGKRW,30690,31180,28600,28660,19340.84,573621810.17
2019-07-13,BTGKRW,32080,32470,29990,30690,21749.14,675180035.41
2019-07-12,BTGKRW,30360,33740,29590,32080,44959.46,1449292583.94
2019-07-11,BTGKRW,31770,32500,28000,30360,32729.75,989721748.75
2019-07-10,BTGKRW,32500,34500,30500,31770,63307.23,2085682354.27
2019-07-09,BTGKRW,31210,33300,30550,32500,28918.49,923773297.97
2019-07-08,BTGKRW,30710,31210,29950,31210,12415.0,378509654.59
2019-07-07,BTGKRW,30220,31000,29970,30710,8989.78,272880108.28
2019-07-06,BTGKRW,30160,31200,30160,30220,9267.55,282608427.3
2019-07-05,BTGKRW,30340,31050,29340,30160,9510.79,289095967.41
2019-07-04,BTGKRW,31300,31490,30100,30340,14293.82,439452777.13
2019-07-03,BTGKRW,30190,31400,30000,31300,14414.58,443574177.05
2019-07-02,BTGKRW,31010,31370,28610,30190,21730.68,650154352.95
2019-07-01,BTGKRW,31270,32330,29750,31010,19119.83,589082580.29
2019-06-30,BTGKRW,33400,33800,31270,31270,18952.25,620001102.45
2019-06-29,BTGKRW,34110,34440,32370,33400,22830.69,757957277.64
2019-06-28,BTGKRW,31500,34450,30790,34110,32949.71,1076165880.27
2019-06-27,BTGKRW,32170,32710,29500,31500,20861.63,652539017.88
2019-06-26,BTGKRW,32170,32170,32170,32170,0.0,0.0
2019-06-25,BTGKRW,32170,32170,32170,32170,0.0,0.0
2019-06-24,BTGKRW,32170,32170,32170,32170,0.0,0.0
2019-06-23,BTGKRW,32170,32170,32170,32170,0.0,0.0
2019-06-22,BTGKRW,32170,32170,32170,32170,0.0,0.0
2019-06-21,BTGKRW,32170,32170,32170,32170,0.0,0.0
2019-06-20,BTGKRW,32170,32170,32170,32170,0.0,0.0
2019-06-19,BTGKRW,32170,32170,32170,32170,0.0,0.0
2019-06-18,BTGKRW,32170,32170,32170,32170,0.0,0.0
2019-06-17,BTGKRW,32170,32170,32170,32170,0.0,0.0
2019-06-16,BTGKRW,32170,32170,32170,32170,0.0,0.0
2019-06-15,BTGKRW,32260,32710,31420,32170,15210.72,489565826.56
2019-06-14,BTGKRW,32030,32400,31500,32260,15923.22,508388204.74
2019-06-13,BTGKRW,31240,32390,30990,32030,28453.96,903187130.4
2019-06-12,BTGKRW,30680,31430,30200,31240,24534.35,759944824.62
2019-06-11,BTGKRW,31240,31300,30010,30680,11729.3,358299605.52
2019-06-10,BTGKRW,30080,31440,29300,31240,26905.5,816620558.82
2019-06-09,BTGKRW,31800,31800,30050,30080,13782.13,424729034.99
2019-06-08,BTGKRW,32250,33480,30920,31800,18022.94,579523577.28
2019-06-07,BTGKRW,30980,33000,30270,32250,27626.12,877847268.1
2019-06-06,BTGKRW,31920,32240,29300,30980,28713.67,874721840.44
2019-06-05,BTGKRW,31950,32880,30890,31920,22230.23,709306006.84
2019-06-04,BTGKRW,33550,34540,30190,31950,67083.94,2167609127.84
