Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XDN,Volume BTC
2018-06-15,XDNBTC,1.14e-06,1.15e-06,1.1e-06,1.11e-06,68246900.0,77.23
2018-06-14,XDNBTC,1.02e-06,1.15e-06,1.02e-06,1.14e-06,187703800.0,201.37
2018-06-13,XDNBTC,1.12e-06,1.12e-06,1.0e-06,1.02e-06,158762900.0,167.87
2018-06-12,XDNBTC,1.12e-06,1.14e-06,1.1e-06,1.12e-06,151908600.0,170.27
2018-06-11,XDNBTC,1.14e-06,1.14e-06,1.1e-06,1.12e-06,125585900.0,140.42
2018-06-10,XDNBTC,1.21e-06,1.23e-06,1.11e-06,1.14e-06,95802000.0,113.23
2018-06-09,XDNBTC,1.22e-06,1.23e-06,1.2e-06,1.21e-06,138062400.0,167.01
2018-06-08,XDNBTC,1.22e-06,1.26e-06,1.2e-06,1.22e-06,131065300.0,160.08
2018-06-07,XDNBTC,1.23e-06,1.25e-06,1.21e-06,1.22e-06,124594300.0,153.63
2018-06-06,XDNBTC,1.27e-06,1.28e-06,1.2e-06,1.23e-06,166008000.0,203.96
2018-06-05,XDNBTC,1.3e-06,1.3e-06,1.22e-06,1.27e-06,123638900.0,157.12
2018-06-04,XDNBTC,1.33e-06,1.33e-06,1.3e-06,1.3e-06,108982100.0,143.11
2018-06-03,XDNBTC,1.34e-06,1.37e-06,1.31e-06,1.33e-06,167132600.0,222.32
2018-06-02,XDNBTC,1.33e-06,1.35e-06,1.31e-06,1.34e-06,167773100.0,222.95
2018-06-01,XDNBTC,1.35e-06,1.36e-06,1.32e-06,1.33e-06,114573500.0,152.83
2018-05-31,XDNBTC,1.33e-06,1.37e-06,1.31e-06,1.35e-06,116092600.0,155.49
2018-05-30,XDNBTC,1.37e-06,1.41e-06,1.33e-06,1.33e-06,114891200.0,156.71
2018-05-29,XDNBTC,1.36e-06,1.41e-06,1.35e-06,1.37e-06,111159700.0,152.33
2018-05-28,XDNBTC,1.44e-06,1.45e-06,1.34e-06,1.36e-06,116158700.0,162.02
2018-05-27,XDNBTC,1.46e-06,1.47e-06,1.42e-06,1.44e-06,103649100.0,149.16
2018-05-26,XDNBTC,1.46e-06,1.49e-06,1.45e-06,1.46e-06,18801400.0,27.59
2018-05-25,XDNBTC,1.47e-06,1.48e-06,1.46e-06,1.46e-06,68165100.0,100.32
2018-05-24,XDNBTC,1.45e-06,1.49e-06,1.43e-06,1.47e-06,128949900.0,188.68
2018-05-23,XDNBTC,1.46e-06,1.48e-06,1.43e-06,1.45e-06,103794700.0,151.66
2018-05-22,XDNBTC,1.52e-06,1.52e-06,1.43e-06,1.46e-06,118539700.0,175.68
2018-05-21,XDNBTC,1.55e-06,1.55e-06,1.49e-06,1.52e-06,108456500.0,165.1
2018-05-20,XDNBTC,1.56e-06,1.6e-06,1.54e-06,1.55e-06,99255700.0,155.0
2018-05-19,XDNBTC,1.59e-06,1.61e-06,1.54e-06,1.56e-06,98029600.0,153.56
2018-05-18,XDNBTC,1.57e-06,1.61e-06,1.51e-06,1.59e-06,101658900.0,159.62
2018-05-17,XDNBTC,1.52e-06,1.68e-06,1.52e-06,1.57e-06,123447700.0,196.99
2018-05-16,XDNBTC,1.56e-06,1.58e-06,1.49e-06,1.52e-06,115640300.0,176.47
2018-05-15,XDNBTC,1.58e-06,1.64e-06,1.55e-06,1.56e-06,67996600.0,108.46
2018-05-14,XDNBTC,1.63e-06,1.63e-06,1.54e-06,1.58e-06,96355000.0,152.14
2018-05-13,XDNBTC,1.59e-06,1.66e-06,1.56e-06,1.63e-06,67686300.0,108.84
2018-05-12,XDNBTC,1.64e-06,1.68e-06,1.53e-06,1.59e-06,83214600.0,133.47
2018-05-11,XDNBTC,1.86e-06,1.86e-06,1.52e-06,1.64e-06,88675500.0,149.63
2018-05-10,XDNBTC,1.98e-06,1.99e-06,1.85e-06,1.86e-06,49117600.0,94.97
2018-05-09,XDNBTC,1.89e-06,2.03e-06,1.8e-06,1.98e-06,58189800.0,111.57
2018-05-08,XDNBTC,1.82e-06,2.03e-06,1.76e-06,1.89e-06,60087000.0,113.64
2018-05-07,XDNBTC,1.82e-06,1.9e-06,1.76e-06,1.82e-06,69047300.0,124.58
2018-05-06,XDNBTC,2.06e-06,2.1e-06,1.81e-06,1.82e-06,59202900.0,115.39
2018-05-05,XDNBTC,1.66e-06,2.11e-06,1.62e-06,2.06e-06,82141600.0,150.9
2018-05-04,XDNBTC,1.47e-06,1.7e-06,1.46e-06,1.66e-06,90206600.0,141.15
2018-05-03,XDNBTC,1.5e-06,1.51e-06,1.45e-06,1.47e-06,74068100.0,110.23
2018-05-02,XDNBTC,1.46e-06,1.54e-06,1.45e-06,1.5e-06,81549200.0,123.3
2018-05-01,XDNBTC,1.43e-06,1.47e-06,1.4e-06,1.46e-06,106718000.0,152.99
2018-04-30,XDNBTC,1.5e-06,1.5e-06,1.4e-06,1.43e-06,193207100.0,279.82
2018-04-29,XDNBTC,1.56e-06,1.56e-06,1.45e-06,1.5e-06,118473400.0,177.64
2018-04-28,XDNBTC,1.57e-06,1.59e-06,1.52e-06,1.56e-06,155798000.0,243.14
2018-04-27,XDNBTC,1.51e-06,1.69e-06,1.5e-06,1.57e-06,207466700.0,325.77
2018-04-26,XDNBTC,1.37e-06,1.59e-06,1.37e-06,1.51e-06,159410500.0,235.24
2018-04-25,XDNBTC,1.55e-06,1.56e-06,1.33e-06,1.37e-06,130834200.0,185.72
2018-04-24,XDNBTC,1.6e-06,1.65e-06,1.5e-06,1.55e-06,137145700.0,210.85
2018-04-23,XDNBTC,1.54e-06,1.6e-06,1.49e-06,1.6e-06,126677400.0,195.66
2018-04-22,XDNBTC,1.58e-06,1.62e-06,1.5e-06,1.54e-06,117715300.0,182.12
2018-04-21,XDNBTC,1.74e-06,1.75e-06,1.52e-06,1.58e-06,131658200.0,213.52
2018-04-20,XDNBTC,1.74e-06,1.78e-06,1.68e-06,1.74e-06,111367700.0,193.22
2018-04-19,XDNBTC,1.65e-06,1.81e-06,1.6e-06,1.74e-06,131682900.0,221.76
2018-04-18,XDNBTC,1.51e-06,1.65e-06,1.51e-06,1.65e-06,117512900.0,183.47
2018-04-17,XDNBTC,1.52e-06,1.6e-06,1.48e-06,1.51e-06,115194600.0,176.73
2018-04-16,XDNBTC,1.47e-06,1.66e-06,1.44e-06,1.52e-06,148951100.0,223.85
2018-04-15,XDNBTC,1.39e-06,1.48e-06,1.35e-06,1.47e-06,143938200.0,199.32
2018-04-14,XDNBTC,1.25e-06,1.43e-06,1.21e-06,1.39e-06,149553300.0,199.15
2018-04-13,XDNBTC,1.21e-06,1.3e-06,1.16e-06,1.25e-06,162807400.0,201.04
2018-04-12,XDNBTC,1.26e-06,1.41e-06,1.16e-06,1.21e-06,204844200.0,258.05
2018-04-11,XDNBTC,1.16e-06,1.42e-06,1.13e-06,1.26e-06,183484600.0,234.74
2018-04-10,XDNBTC,1.11e-06,1.18e-06,1.07e-06,1.16e-06,167015300.0,188.43
2018-04-09,XDNBTC,1.11e-06,1.13e-06,1.06e-06,1.11e-06,180939900.0,198.54
2018-04-08,XDNBTC,1.02e-06,1.16e-06,1.0e-06,1.11e-06,231519100.0,246.72
2018-04-07,XDNBTC,1.02e-06,1.03e-06,1.01e-06,1.02e-06,176152700.0,179.52
2018-04-06,XDNBTC,1.02e-06,1.05e-06,1.0e-06,1.02e-06,187321800.0,192.03
2018-04-05,XDNBTC,1.04e-06,1.08e-06,1.0e-06,1.02e-06,190584200.0,194.86
2018-04-04,XDNBTC,1.13e-06,1.15e-06,1.03e-06,1.04e-06,118597900.0,128.6
2018-04-03,XDNBTC,9.5e-07,1.19e-06,9.4e-07,1.13e-06,265916400.0,278.95
2018-04-02,XDNBTC,9.5e-07,9.6e-07,9.3e-07,9.5e-07,187605700.0,177.25
2018-04-01,XDNBTC,9.5e-07,9.8e-07,9.3e-07,9.5e-07,198995700.0,188.41
2018-03-31,XDNBTC,9.4e-07,1.05e-06,9.3e-07,9.5e-07,213997600.0,208.53
2018-03-30,XDNBTC,9.7e-07,9.8e-07,9.1e-07,9.4e-07,182708700.0,172.94
2018-03-29,XDNBTC,1.0e-06,1.02e-06,9.6e-07,9.7e-07,185987200.0,182.94
2018-03-28,XDNBTC,1.01e-06,1.04e-06,9.9e-07,1.0e-06,208954300.0,210.72
2018-03-27,XDNBTC,1.0e-06,1.21e-06,9.9e-07,1.01e-06,210898400.0,218.54
2018-03-26,XDNBTC,1.05e-06,1.1e-06,9.7e-07,1.0e-06,197072200.0,202.67
2018-03-25,XDNBTC,9.6e-07,1.1e-06,9.4e-07,1.05e-06,212977200.0,214.24
2018-03-24,XDNBTC,9.5e-07,9.7e-07,9.1e-07,9.6e-07,223510600.0,211.13
2018-03-23,XDNBTC,1.04e-06,1.04e-06,9.4e-07,9.5e-07,173881600.0,171.05
2018-03-22,XDNBTC,1.03e-06,1.04e-06,9.5e-07,1.04e-06,257097100.0,259.25
2018-03-21,XDNBTC,1.01e-06,1.13e-06,9.8e-07,1.03e-06,168890900.0,176.07
2018-03-20,XDNBTC,9.6e-07,1.03e-06,9.3e-07,1.01e-06,204359700.0,198.03
2018-03-19,XDNBTC,9.4e-07,1.01e-06,8.9e-07,9.6e-07,241479100.0,229.66
2018-03-18,XDNBTC,9.9e-07,9.9e-07,8.4e-07,9.4e-07,264348400.0,241.65
2018-03-17,XDNBTC,1.11e-06,1.11e-06,9.9e-07,9.9e-07,169423200.0,179.31
2018-03-16,XDNBTC,1.12e-06,1.19e-06,1.1e-06,1.11e-06,172781700.0,194.27
2018-03-15,XDNBTC,1.23e-06,1.23e-06,1.09e-06,1.12e-06,190944200.0,216.96
2018-03-14,XDNBTC,1.24e-06,1.32e-06,1.21e-06,1.23e-06,165335200.0,208.41
2018-03-13,XDNBTC,1.25e-06,1.29e-06,1.23e-06,1.24e-06,145757900.0,182.67
2018-03-12,XDNBTC,1.25e-06,1.27e-06,1.2e-06,1.25e-06,152369200.0,188.48
2018-03-11,XDNBTC,1.27e-06,1.3e-06,1.24e-06,1.25e-06,154915000.0,197.83
2018-03-10,XDNBTC,1.3e-06,1.34e-06,1.24e-06,1.27e-06,155923900.0,201.16
2018-03-09,XDNBTC,1.36e-06,1.37e-06,1.25e-06,1.3e-06,200315000.0,259.9
2018-03-08,XDNBTC,1.37e-06,1.43e-06,1.35e-06,1.36e-06,143533700.0,199.51
2018-03-07,XDNBTC,1.42e-06,1.48e-06,1.36e-06,1.37e-06,155494500.0,219.46
2018-03-06,XDNBTC,1.47e-06,1.57e-06,1.41e-06,1.42e-06,142129900.0,209.06
2018-03-05,XDNBTC,1.52e-06,1.53e-06,1.43e-06,1.47e-06,147266000.0,214.46
2018-03-04,XDNBTC,1.56e-06,1.6e-06,1.48e-06,1.52e-06,119673700.0,181.16
2018-03-03,XDNBTC,1.67e-06,1.67e-06,1.55e-06,1.56e-06,129917400.0,207.87
2018-03-02,XDNBTC,1.8e-06,1.8e-06,1.62e-06,1.67e-06,122627700.0,205.42
2018-03-01,XDNBTC,1.62e-06,1.97e-06,1.57e-06,1.8e-06,147672500.0,255.97
2018-02-28,XDNBTC,1.78e-06,1.8e-06,1.62e-06,1.62e-06,132933000.0,225.79
2018-02-27,XDNBTC,1.91e-06,1.92e-06,1.75e-06,1.78e-06,126693700.0,231.4
2018-02-26,XDNBTC,2.0e-06,2.02e-06,1.89e-06,1.91e-06,120164100.0,234.43
2018-02-25,XDNBTC,1.92e-06,2.15e-06,1.92e-06,2.0e-06,121203800.0,245.79
2018-02-24,XDNBTC,2.0e-06,2.02e-06,1.9e-06,1.92e-06,154735000.0,303.24
2018-02-23,XDNBTC,1.96e-06,2.07e-06,1.92e-06,2.0e-06,120386900.0,241.07
2018-02-22,XDNBTC,2.03e-06,2.09e-06,1.93e-06,1.96e-06,116093900.0,234.68
2018-02-21,XDNBTC,2.08e-06,2.18e-06,1.99e-06,2.03e-06,136007300.0,283.15
2018-02-20,XDNBTC,2.25e-06,2.43e-06,2.03e-06,2.08e-06,143576100.0,310.25
2018-02-19,XDNBTC,2.36e-06,2.46e-06,2.23e-06,2.25e-06,111188600.0,260.73
2018-02-18,XDNBTC,2.42e-06,2.53e-06,2.35e-06,2.36e-06,101306600.0,245.34
2018-02-17,XDNBTC,2.22e-06,2.48e-06,2.18e-06,2.42e-06,129904400.0,302.0
2018-02-16,XDNBTC,2.3e-06,2.37e-06,2.0e-06,2.22e-06,131073200.0,287.86
2018-02-15,XDNBTC,2.37e-06,2.38e-06,2.23e-06,2.3e-06,117687600.0,269.41
2018-02-14,XDNBTC,2.42e-06,2.48e-06,2.3e-06,2.37e-06,110192700.0,262.54
2018-02-13,XDNBTC,2.45e-06,2.49e-06,2.39e-06,2.42e-06,113678200.0,277.66
2018-02-12,XDNBTC,2.42e-06,2.5e-06,2.38e-06,2.45e-06,108066100.0,262.82
2018-02-11,XDNBTC,2.42e-06,2.5e-06,2.36e-06,2.42e-06,100942500.0,245.55
2018-02-10,XDNBTC,2.28e-06,2.63e-06,2.12e-06,2.42e-06,125943200.0,304.79
2018-02-09,XDNBTC,1.92e-06,2.3e-06,1.91e-06,2.28e-06,134264700.0,274.55
2018-02-08,XDNBTC,1.93e-06,2.09e-06,1.88e-06,1.92e-06,141573600.0,278.09
2018-02-07,XDNBTC,1.85e-06,2.1e-06,1.81e-06,1.93e-06,175753100.0,339.49
2018-02-06,XDNBTC,1.85e-06,1.87e-06,1.57e-06,1.85e-06,179935700.0,308.0
2018-02-05,XDNBTC,2.05e-06,2.12e-06,1.76e-06,1.85e-06,202355000.0,387.35
2018-02-04,XDNBTC,2.01e-06,2.16e-06,1.98e-06,2.05e-06,195340900.0,398.09
2018-02-03,XDNBTC,2.02e-06,2.06e-06,1.84e-06,2.01e-06,173523600.0,343.73
2018-02-02,XDNBTC,2.39e-06,2.39e-06,1.7e-06,2.02e-06,221479600.0,440.54
2018-02-01,XDNBTC,2.46e-06,2.5e-06,2.3e-06,2.39e-06,208374200.0,503.31
2018-01-31,XDNBTC,2.42e-06,2.47e-06,2.37e-06,2.46e-06,197097100.0,479.29
2018-01-30,XDNBTC,2.4e-06,2.47e-06,2.32e-06,2.42e-06,206579400.0,494.63
2018-01-29,XDNBTC,2.38e-06,2.47e-06,2.33e-06,2.4e-06,217649900.0,519.76
2018-01-28,XDNBTC,2.27e-06,2.38e-06,2.22e-06,2.38e-06,183928900.0,424.78
2018-01-27,XDNBTC,2.37e-06,2.43e-06,2.18e-06,2.27e-06,220244300.0,519.07
2018-01-26,XDNBTC,2.37e-06,2.5e-06,2.33e-06,2.37e-06,199266600.0,477.38
2018-01-25,XDNBTC,2.4e-06,2.45e-06,2.3e-06,2.37e-06,83175700.0,198.61
