Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZRX,Volume ETH
2018-06-15,ZRXETH,0.001822,0.001899,0.001797,0.001864,116146.4,214.24
2018-06-14,ZRXETH,0.00173,0.001907,0.001708,0.001822,305536.23,546.77
2018-06-13,ZRXETH,0.001824,0.001864,0.001722,0.00173,263655.25,469.25
2018-06-12,ZRXETH,0.002009,0.002013,0.001811,0.001824,253920.71,480.89
2018-06-11,ZRXETH,0.002018,0.002055,0.001939,0.002009,189575.66,377.81
2018-06-10,ZRXETH,0.002083,0.002095,0.00192,0.002018,267828.89,542.44
2018-06-09,ZRXETH,0.002136,0.002136,0.002083,0.002083,206829.03,437.52
2018-06-08,ZRXETH,0.002156,0.002172,0.002102,0.002136,217437.02,465.37
2018-06-07,ZRXETH,0.002207,0.002227,0.002153,0.002156,226897.24,494.87
2018-06-06,ZRXETH,0.002088,0.0025,0.002,0.002207,265643.66,569.01
2018-06-05,ZRXETH,0.002108,0.002125,0.002,0.002088,341814.11,713.3
2018-06-04,ZRXETH,0.00219,0.002212,0.002082,0.002108,83364.96,177.2
2018-06-03,ZRXETH,0.002183,0.002233,0.002103,0.00219,57747.84,125.8
2018-06-02,ZRXETH,0.002172,0.002239,0.002135,0.002183,50720.74,110.3
2018-06-01,ZRXETH,0.002223,0.002251,0.002151,0.002172,52946.58,116.36
2018-05-31,ZRXETH,0.002203,0.002331,0.002154,0.002223,56429.65,127.89
2018-05-30,ZRXETH,0.002216,0.002555,0.002176,0.002203,126695.85,294.92
2018-05-29,ZRXETH,0.002018,0.002317,0.001985,0.002216,87852.36,190.88
2018-05-28,ZRXETH,0.002069,0.0022,0.001978,0.002018,75663.44,157.96
2018-05-27,ZRXETH,0.002063,0.002091,0.002021,0.002069,61541.88,126.58
2018-05-26,ZRXETH,0.002173,0.002196,0.002061,0.002063,48448.17,103.1
2018-05-25,ZRXETH,0.002266,0.002336,0.002146,0.002173,59662.92,133.45
2018-05-24,ZRXETH,0.0023,0.0025,0.002098,0.002266,112273.63,257.0
2018-05-23,ZRXETH,0.001793,0.002687,0.001711,0.0023,141060.35,302.46
2018-05-22,ZRXETH,0.001919,0.001931,0.001778,0.001793,47466.47,89.03
2018-05-21,ZRXETH,0.002042,0.002062,0.001895,0.001919,45698.76,89.82
2018-05-20,ZRXETH,0.002095,0.002108,0.00194,0.002042,55532.07,112.11
2018-05-19,ZRXETH,0.001884,0.00215,0.00185,0.002095,95781.66,184.63
2018-05-18,ZRXETH,0.001862,0.001955,0.001833,0.001884,67225.14,127.09
2018-05-17,ZRXETH,0.001947,0.002106,0.001855,0.001862,78363.97,154.6
2018-05-16,ZRXETH,0.002096,0.002097,0.001912,0.001947,35015.45,68.53
2018-05-15,ZRXETH,0.002133,0.00219,0.002065,0.002096,20858.83,44.28
2018-05-14,ZRXETH,0.002403,0.002407,0.002109,0.002133,20147.06,44.61
2018-05-13,ZRXETH,0.002411,0.002467,0.002267,0.002403,5209.47,12.37
2018-05-12,ZRXETH,0.002463,0.002574,0.002371,0.002411,6963.08,17.23
2018-05-11,ZRXETH,0.002562,0.00265,0.002287,0.002463,28457.68,71.43
2018-05-10,ZRXETH,0.002307,0.002684,0.002295,0.002562,66263.55,162.32
2018-05-09,ZRXETH,0.002299,0.00242,0.002157,0.002307,21428.87,49.56
2018-05-08,ZRXETH,0.002286,0.002433,0.002211,0.002299,16558.53,38.4
2018-05-07,ZRXETH,0.00202,0.002359,0.001975,0.002286,19794.9,44.26
2018-05-06,ZRXETH,0.002029,0.002029,0.001827,0.00202,7558.59,14.4
2018-05-05,ZRXETH,0.002229,0.002232,0.001896,0.002029,38877.86,81.48
2018-05-04,ZRXETH,0.001901,0.002236,0.001868,0.002229,80739.55,166.91
2018-05-03,ZRXETH,0.001926,0.002089,0.001813,0.001901,31971.73,62.21
2018-05-02,ZRXETH,0.001787,0.001958,0.001769,0.001926,75033.14,138.41
2018-05-01,ZRXETH,0.001763,0.001792,0.001718,0.001787,74458.83,130.87
2018-04-30,ZRXETH,0.001879,0.001914,0.001712,0.001763,69020.29,124.37
2018-04-29,ZRXETH,0.001758,0.001899,0.001731,0.001879,93258.45,170.04
