Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LIZ,Volume ARUR
2019-07-03,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-07-02,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-07-01,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-30,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-29,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-28,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-27,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-26,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-25,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-24,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-23,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-22,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-21,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-20,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-19,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-18,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-17,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-16,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-15,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-14,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-13,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-12,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-11,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-10,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-09,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-08,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-07,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-06,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-05,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-04,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-03,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-02,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-06-01,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-05-31,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-05-30,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-05-29,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-05-28,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-05-27,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-05-26,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-05-25,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-05-24,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-05-23,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-05-22,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-05-21,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-05-20,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-05-19,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-05-18,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-05-17,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-05-16,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-05-15,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-05-14,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
2019-05-13,LIZARUR,4.0e-08,4.0e-08,4.0e-08,4.0e-08,0.0,0.0
