Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume BTC
2019-07-03,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-07-02,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-07-01,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-30,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-29,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-28,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-27,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-26,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-25,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-24,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-23,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-22,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-21,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-20,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-19,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-18,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-17,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-16,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-15,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-14,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-13,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-12,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-11,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-10,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-09,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-08,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-07,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-06,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-05,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-04,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-03,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-02,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-06-01,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-05-31,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-05-30,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-05-29,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-05-28,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-05-27,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-05-26,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-05-25,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-05-24,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-05-23,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-05-22,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-05-21,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-05-20,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
2019-05-19,EOSBTC,0.001513,0.001513,0.001513,0.001513,0.0,0.0
