Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume PLN
2019-07-02 07-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-02 06-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-02 05-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-02 04-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-02 03-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-02 02-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-02 01-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-02 12-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 11-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 10-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 09-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 08-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 07-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 06-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 05-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 04-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 03-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 02-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 01-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 12-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 11-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 10-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 09-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 08-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 07-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 06-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 05-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 04-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 03-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 02-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 01-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-07-01 12-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-30 11-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-30 10-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-30 09-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-30 08-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-30 07-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-30 06-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-30 05-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-30 04-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-30 03-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-30 02-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-30 01-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-30 12-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-30 11-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-30 10-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-30 09-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-30 08-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
