Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XLM,Volume BTC
2019-08-07,XLMBTC,6.83e-06,6.85e-06,6.72e-06,6.8e-06,1712155.0,11.62
2019-08-06,XLMBTC,6.97e-06,7.0e-06,6.61e-06,6.83e-06,30152719.0,204.38
2019-08-05,XLMBTC,7.49e-06,7.49e-06,6.91e-06,6.97e-06,28344404.0,200.6
2019-08-04,XLMBTC,7.62e-06,7.73e-06,7.44e-06,7.49e-06,15141574.0,114.75
2019-08-03,XLMBTC,7.79e-06,7.8e-06,7.56e-06,7.62e-06,19107231.0,145.94
2019-08-02,XLMBTC,7.97e-06,7.99e-06,7.75e-06,7.79e-06,15569052.0,122.59
2019-08-01,XLMBTC,8.33e-06,8.39e-06,7.87e-06,7.97e-06,14646981.0,119.77
2019-07-31,XLMBTC,8.71e-06,8.72e-06,8.23e-06,8.33e-06,18082001.0,153.37
2019-07-30,XLMBTC,8.76e-06,8.82e-06,8.64e-06,8.71e-06,12852227.0,112.15
2019-07-29,XLMBTC,8.82e-06,8.85e-06,8.71e-06,8.76e-06,11036279.0,96.84
2019-07-28,XLMBTC,8.88e-06,8.93e-06,8.73e-06,8.82e-06,12747478.0,112.42
2019-07-27,XLMBTC,8.95e-06,8.95e-06,8.66e-06,8.88e-06,18283663.0,161.04
2019-07-26,XLMBTC,8.67e-06,9.14e-06,8.6e-06,8.95e-06,19167443.0,170.02
2019-07-25,XLMBTC,8.79e-06,8.85e-06,8.5e-06,8.67e-06,20217228.0,174.24
2019-07-24,XLMBTC,8.54e-06,8.84e-06,8.44e-06,8.79e-06,21511916.0,185.56
2019-07-23,XLMBTC,8.57e-06,8.6e-06,8.3e-06,8.54e-06,22508832.0,190.86
2019-07-22,XLMBTC,8.62e-06,8.69e-06,8.42e-06,8.57e-06,31207813.0,266.7
2019-07-21,XLMBTC,8.83e-06,8.84e-06,8.53e-06,8.62e-06,27651451.0,239.66
2019-07-20,XLMBTC,8.89e-06,9.08e-06,8.7e-06,8.83e-06,49392875.0,436.02
