Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NXT,Volume ETH
2018-06-15,NXTETH,0.000235,0.000235,0.000233,0.000235,12860.0,3.02
2018-06-14,NXTETH,0.000233,0.000242,0.000222,0.000235,31930.0,7.44
2018-06-13,NXTETH,0.000235,0.000241,0.000229,0.000233,76470.0,18.09
2018-06-12,NXTETH,0.000247,0.000258,0.000229,0.000235,360410.0,86.93
2018-06-11,NXTETH,0.000228,0.000248,0.000222,0.000247,361950.0,84.0
2018-06-10,NXTETH,0.00023,0.000235,0.000221,0.000228,385550.0,87.85
2018-06-09,NXTETH,0.000231,0.000233,0.000228,0.00023,2070.0,0.4772
2018-06-08,NXTETH,0.000235,0.000238,0.000228,0.000231,128690.0,30.14
2018-06-07,NXTETH,0.000235,0.000245,0.000232,0.000235,221240.0,53.03
2018-06-06,NXTETH,0.000242,0.000247,0.000229,0.000235,131850.0,31.78
2018-06-05,NXTETH,0.000239,0.000245,0.000234,0.000242,28060.0,6.73
2018-06-04,NXTETH,0.000239,0.000246,0.00023,0.000239,903950.0,213.35
2018-06-03,NXTETH,0.00025,0.00026,0.000236,0.000239,357900.0,86.8
2018-06-02,NXTETH,0.00023,0.000255,0.000227,0.00025,957920.0,230.63
2018-06-01,NXTETH,0.000232,0.000237,0.000218,0.00023,545380.0,126.85
2018-05-31,NXTETH,0.000238,0.000244,0.000227,0.000232,615220.0,144.58
2018-05-30,NXTETH,0.00024,0.000244,0.000235,0.000238,213920.0,51.18
2018-05-29,NXTETH,0.000248,0.000248,0.000236,0.00024,821590.0,198.39
2018-05-28,NXTETH,0.000239,0.000259,0.000239,0.000248,811340.0,201.8
2018-05-27,NXTETH,0.00023,0.000248,0.000227,0.000239,199870.0,48.3
2018-05-26,NXTETH,0.000231,0.000236,0.000225,0.00023,191130.0,43.97
2018-05-25,NXTETH,0.000233,0.000236,0.000225,0.000231,393950.0,91.06
2018-05-24,NXTETH,0.000239,0.000243,0.000225,0.000233,549600.0,129.77
2018-05-23,NXTETH,0.000235,0.000242,0.000228,0.000239,729470.0,173.16
2018-05-22,NXTETH,0.000237,0.000252,0.000214,0.000235,565620.0,137.84
2018-05-21,NXTETH,0.00023,0.000239,0.000226,0.000237,421590.0,98.45
2018-05-20,NXTETH,0.000226,0.000235,0.00022,0.00023,391380.0,89.17
2018-05-19,NXTETH,0.00023,0.000239,0.000215,0.000226,821020.0,191.34
2018-05-18,NXTETH,0.000236,0.000239,0.000226,0.00023,255320.0,59.2
2018-05-17,NXTETH,0.000232,0.000247,0.000231,0.000236,183120.0,43.46
2018-05-16,NXTETH,0.00024,0.000243,0.000215,0.000232,255470.0,60.14
2018-05-15,NXTETH,0.000247,0.000264,0.000217,0.00024,362730.0,88.85
2018-05-14,NXTETH,0.000252,0.000257,0.000239,0.000247,174980.0,43.54
2018-05-13,NXTETH,0.000251,0.000262,0.000249,0.000252,309320.0,78.98
2018-05-12,NXTETH,0.000253,0.000263,0.000249,0.000251,241040.0,61.45
2018-05-11,NXTETH,0.000275,0.000281,0.000247,0.000253,286400.0,74.91
2018-05-10,NXTETH,0.000285,0.000288,0.000272,0.000275,129780.0,36.23
2018-05-09,NXTETH,0.000285,0.00029,0.000275,0.000285,157060.0,44.65
2018-05-08,NXTETH,0.000298,0.000329,0.00028,0.000285,321590.0,93.91
2018-05-07,NXTETH,0.000294,0.000321,0.000274,0.000298,293140.0,88.32
2018-05-06,NXTETH,0.000294,0.000314,0.000279,0.000294,417200.0,122.83
2018-05-05,NXTETH,0.000317,0.00032,0.000272,0.000294,283260.0,85.37
2018-05-04,NXTETH,0.000322,0.000333,0.000303,0.000317,379690.0,120.12
2018-05-03,NXTETH,0.000364,0.000366,0.000312,0.000322,331640.0,110.53
2018-05-02,NXTETH,0.000352,0.000388,0.000352,0.000364,94520.0,34.56
2018-05-01,NXTETH,0.000328,0.000366,0.000319,0.000352,310040.0,104.96
2018-04-30,NXTETH,0.000308,0.000346,0.000303,0.000328,262430.0,85.28
2018-04-29,NXTETH,0.00031,0.00032,0.000303,0.000308,291680.0,90.85
2018-04-28,NXTETH,0.000308,0.000319,0.000306,0.00031,228010.0,71.23
2018-04-27,NXTETH,0.000313,0.000332,0.000306,0.000308,271370.0,85.61
2018-04-26,NXTETH,0.000302,0.000318,0.000294,0.000313,354270.0,108.15
2018-04-25,NXTETH,0.000325,0.000332,0.000297,0.000302,267760.0,83.06
