Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume PLN
2019-07-02 09-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-02 08-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-02 07-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-02 06-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-02 05-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-02 04-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-02 03-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-02 02-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-02 01-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-02 12-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 11-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 10-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 09-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 08-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 07-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 06-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 05-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 04-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 03-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 02-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 01-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 12-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 11-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 10-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 09-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 08-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 07-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 06-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 05-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 04-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 03-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 02-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 01-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01 12-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 11-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 10-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 09-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 08-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 07-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 06-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 05-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 04-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 03-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 02-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 01-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 12-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 11-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 10-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 09-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 08-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 07-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 06-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 05-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 04-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 03-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 02-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 01-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30 12-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 11-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 10-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 09-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 08-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 07-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 06-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 05-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 04-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 03-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 02-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 01-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 12-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 11-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 10-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 09-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
