Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume WAV,Volume ESUSD
2019-07-03,WAVESUSD,1.93,1.982,1.866,1.982,1011.9,1957.72
2019-07-02,WAVESUSD,1.949,2,1.81,1.93,7094.65,13349.95
2019-07-01,WAVESUSD,1.93,2.04,1.883,1.949,3020.87,5907.83
2019-06-30,WAVESUSD,2.009,2.041,1.93,1.93,2848.64,5661.55
2019-06-29,WAVESUSD,2.05,2.06,1.971,2.009,1595.35,3206.51
2019-06-28,WAVESUSD,1.88,2.1,1.87,2.05,3802.65,7585.65
2019-06-27,WAVESUSD,2.21,2.251,1.88,1.88,18764.55,38426.74
2019-06-26,WAVESUSD,2.33,2.43,2.17,2.21,28339.62,67013.32
2019-06-25,WAVESUSD,2.43,2.439,2.33,2.33,2390.41,5657.95
2019-06-24,WAVESUSD,2.386,2.44,2.36,2.43,2518.6,6067.08
2019-06-23,WAVESUSD,2.454,2.496,2.385,2.386,3045.07,7355.94
2019-06-22,WAVESUSD,2.375,2.512,2.33,2.454,5518.36,13397.07
2019-06-21,WAVESUSD,2.429,2.46,2.35,2.375,2325.35,5597.1
2019-06-20,WAVESUSD,2.457,2.489,2.39,2.429,2338.31,5677.29
2019-06-19,WAVESUSD,2.437,2.467,2.41,2.457,1549.77,3786.3
2019-06-18,WAVESUSD,2.472,2.5,2.411,2.437,1165.26,2839.54
2019-06-17,WAVESUSD,2.42,2.51,2.42,2.472,1117.44,2780.9
2019-06-16,WAVESUSD,2.471,2.575,2.35,2.42,5995.92,14602.93
2019-06-15,WAVESUSD,2.469,2.48,2.43,2.471,1711.92,4215.9
2019-06-14,WAVESUSD,2.576,2.609,2.4,2.469,3304.31,8151.88
2019-06-13,WAVESUSD,2.523,2.609,2.523,2.576,1952.02,5036.69
2019-06-12,WAVESUSD,2.513,2.585,2.469,2.523,1296.76,3259.42
2019-06-11,WAVESUSD,2.497,2.513,2.425,2.513,612.45,1511.96
2019-06-10,WAVESUSD,2.392,2.514,2.385,2.46,2359.32,5833.97
2019-06-09,WAVESUSD,2.428,2.49,2.38,2.38,1729.74,4225.91
2019-06-08,WAVESUSD,2.429,2.489,2.427,2.428,161.73,399.09
2019-06-07,WAVESUSD,2.42,2.5,2.36,2.43,762.53,1862.59
2019-06-06,WAVESUSD,2.4,2.48,2.33,2.42,2611.91,6316.61
2019-06-05,WAVESUSD,2.37,2.43,2.36,2.4,2154.63,5160.0
2019-06-04,WAVESUSD,2.51,2.54,2.35,2.37,2273.11,5548.18
2019-06-03,WAVESUSD,2.67,2.68,2.53,2.53,2081.6,5418.7
2019-06-02,WAVESUSD,2.68,2.71,2.63,2.67,1175.68,3134.14
2019-06-01,WAVESUSD,2.68,2.75,2.63,2.68,2402.97,6464.07
2019-05-31,WAVESUSD,2.57,2.68,2.57,2.68,1486.74,3905.7
2019-05-30,WAVESUSD,2.74,2.79,2.55,2.57,8009.65,21728.66
2019-05-29,WAVESUSD,2.77,2.79,2.71,2.74,3590.42,9828.14
2019-05-28,WAVESUSD,2.73,2.85,2.69,2.77,4105.91,11355.66
2019-05-27,WAVESUSD,2.7,2.76,2.67,2.73,3082.32,8371.7
2019-05-26,WAVESUSD,2.71,2.74,2.62,2.7,2404.72,6437.05
2019-05-25,WAVESUSD,2.7,2.77,2.64,2.71,6724.17,18239.09
2019-05-24,WAVESUSD,3.15,3.4,2.7,2.7,10005.79,29225.29
2019-05-23,WAVESUSD,2.46,3.16,2.36,3.15,4269.87,11450.26
2019-05-22,WAVESUSD,2.47,2.53,2.39,2.46,2436.69,5975.91
2019-05-21,WAVESUSD,2.45,2.53,2.4,2.47,2667.8,6610.37
2019-05-20,WAVESUSD,2.52,2.52,2.37,2.45,1806.7,4354.94
2019-05-19,WAVESUSD,2.4,2.57,2.39,2.52,2507.71,6230.63
2019-05-18,WAVESUSD,2.42,2.5,2.34,2.4,2932.99,7039.18
2019-05-17,WAVESUSD,2.55,2.55,2.33,2.42,3597.51,8601.45
2019-05-16,WAVESUSD,2.65,2.76,2.46,2.55,3027.83,7859.17
2019-05-15,WAVESUSD,2.42,2.75,2.38,2.65,6638.22,16962.67
2019-05-14,WAVESUSD,2.4,2.46,2.36,2.42,3862.39,9306.2
2019-05-13,WAVESUSD,2.43,2.54,2.33,2.4,4741.49,11457.91
2019-05-12,WAVESUSD,2.44,2.57,2.37,2.43,2414.38,5895.08
2019-05-11,WAVESUSD,2.25,2.5,2.25,2.44,2958.33,7119.07
2019-05-10,WAVESUSD,2.33,2.4,2.22,2.25,1075.32,2455.28
2019-05-09,WAVESUSD,2.23,2.41,2.18,2.33,1572.06,3569.83
2019-05-08,WAVESUSD,2.21,2.32,2.11,2.23,1960.49,4217.25
2019-05-07,WAVESUSD,2.26,2.26,2.18,2.22,47.46,106.72
2019-05-06,WAVESUSD,2.15,2.26,2.12,2.26,989.18,2141.77
2019-05-05,WAVESUSD,2.21,2.25,2.11,2.15,1982.29,4259.0
2019-05-04,WAVESUSD,2.26,2.31,2.18,2.21,1596.85,3547.11
2019-05-03,WAVESUSD,2.25,2.28,2.2,2.26,2925.29,6527.9
2019-05-02,WAVESUSD,2.27,2.3,2.21,2.25,1368.86,3066.88
2019-05-01,WAVESUSD,2.4,2.4,2.27,2.27,1355.26,3104.61
2019-04-30,WAVESUSD,2.15,2.45,2.13,2.4,4179.07,9847.05
2019-04-29,WAVESUSD,2.24,2.28,2,2.15,5846.88,12361.99
2019-04-28,WAVESUSD,2.32,2.35,2.2,2.24,1171.63,2631.34
2019-04-27,WAVESUSD,2.34,2.36,2.25,2.28,2095.63,4836.28
2019-04-26,WAVESUSD,2.35,2.38,2.28,2.34,2661.1,6178.5
2019-04-25,WAVESUSD,2.52,2.6,2.35,2.35,3362.14,8381.65
2019-04-24,WAVESUSD,2.76,2.81,2.5,2.52,3361.94,8886.89
2019-04-23,WAVESUSD,2.79,2.82,2.74,2.76,2718.2,7561.87
2019-04-22,WAVESUSD,2.74,2.79,2.7,2.79,939.47,2598.17
2019-04-21,WAVESUSD,2.77,2.8,2.69,2.74,2092.2,5701.94
2019-04-20,WAVESUSD,2.83,2.83,2.77,2.77,1192.83,3343.05
2019-04-19,WAVESUSD,2.81,2.84,2.8,2.83,2003.31,5634.0
2019-04-18,WAVESUSD,2.82,2.85,2.8,2.81,702.82,1980.62
2019-04-17,WAVESUSD,2.81,2.85,2.77,2.82,441.71,1244.5
2019-04-16,WAVESUSD,2.76,2.85,2.74,2.81,2667.48,7464.75
2019-04-15,WAVESUSD,2.89,2.94,2.6,2.76,12266.72,33902.3
2019-04-14,WAVESUSD,2.81,2.9,2.7,2.89,7309.8,20508.85
2019-04-13,WAVESUSD,2.81,2.85,2.65,2.81,6819.0,18718.18
2019-04-12,WAVESUSD,2.75,3,2.67,2.81,7223.26,20393.66
2019-04-11,WAVESUSD,2.87,3.14,2.6,2.75,11551.4,32867.55
2019-04-10,WAVESUSD,2.93,3.08,2.82,2.87,5420.47,15792.79
2019-04-09,WAVESUSD,2.96,3.1,2.76,2.93,6336.04,18510.04
2019-04-08,WAVESUSD,3.04,3.11,2.96,2.96,125.37,380.77
2019-04-07,WAVESUSD,3.1,3.24,3.03,3.04,225.77,720.84
2019-04-06,WAVESUSD,2.97,3.1,2.97,3.1,56.33,171.48
2019-04-05,WAVESUSD,2.9,3.05,2.85,2.97,395.72,1184.4
2019-04-04,WAVESUSD,2.95,3.05,2.8,2.9,207.1,596.4
2019-04-03,WAVESUSD,3.13,3.3,2.95,2.95,645.37,2050.94
2019-04-02,WAVESUSD,2.98,3.13,2.91,3.13,238.97,712.66
2019-04-01,WAVESUSD,2.91,2.98,2.89,2.98,346.39,1016.02
2019-03-31,WAVESUSD,2.89,2.92,2.85,2.91,55.65,159.95
2019-03-30,WAVESUSD,2.9,2.93,2.85,2.89,53.74,155.16
2019-03-29,WAVESUSD,2.86,2.93,2.86,2.9,355.6,1018.87
2019-03-28,WAVESUSD,2.85,2.89,2.83,2.86,268.03,766.97
2019-03-27,WAVESUSD,2.82,2.9,2.82,2.85,311.15,888.21
2019-03-26,WAVESUSD,2.82,2.87,2.79,2.82,24.6,69.94
2019-03-25,WAVESUSD,2.91,2.91,2.82,2.82,218.69,624.56
2019-03-24,WAVESUSD,2.93,2.93,2.86,2.91,148.22,433.6
2019-03-23,WAVESUSD,2.91,2.95,2.9,2.93,49.99,146.58
2019-03-22,WAVESUSD,2.92,2.95,2.85,2.91,59.05,170.43
2019-03-21,WAVESUSD,2.95,2.95,2.88,2.92,52.32,152.5
2019-03-20,WAVESUSD,2.86,2.96,2.84,2.95,69.48,203.27
2019-03-19,WAVESUSD,2.83,2.92,2.83,2.86,222.27,646.32
2019-03-18,WAVESUSD,2.86,2.86,2.83,2.83,1.51,4.31
2019-03-17,WAVESUSD,2.89,2.92,2.86,2.86,1.51,4.33
2019-03-16,WAVESUSD,2.95,2.95,2.89,2.89,1.22,3.52
2019-03-15,WAVESUSD,2.88,2.95,2.88,2.95,12.77,37.39
2019-03-14,WAVESUSD,2.88,2.88,2.83,2.88,110.49,313.83
2019-03-13,WAVESUSD,2.82,2.9,2.82,2.88,0.3061,0.8829
2019-03-12,WAVESUSD,2.76,2.83,2.75,2.82,5.32,15.01
2019-03-11,WAVESUSD,2.82,2.87,2.76,2.76,10.1,28.15
2019-03-10,WAVESUSD,2.85,2.85,2.76,2.82,142.28,393.41
2019-03-09,WAVESUSD,2.84,2.87,2.81,2.85,9.65,27.44
2019-03-08,WAVESUSD,2.71,2.91,2.69,2.84,1.69,4.87
2019-03-07,WAVESUSD,2.69,2.72,2.67,2.71,8.95,24.24
2019-03-06,WAVESUSD,2.82,2.82,2.69,2.69,88.71,238.63
2019-03-05,WAVESUSD,2.76,2.82,2.76,2.82,4.89,13.79
2019-03-04,WAVESUSD,2.83,2.85,2.76,2.76,8.46,23.68
2019-03-03,WAVESUSD,2.83,2.88,2.83,2.83,0.811,2.31
2019-03-02,WAVESUSD,2.91,2.94,2.83,2.83,4.13,11.86
2019-03-01,WAVESUSD,2.91,2.94,2.84,2.91,17.31,50.51
2019-02-28,WAVESUSD,2.86,2.91,2.83,2.91,20.5,59.55
2019-02-27,WAVESUSD,2.9,2.9,2.85,2.86,4.31,12.34
2019-02-26,WAVESUSD,2.86,2.9,2.85,2.9,16.08,46.01
2019-02-25,WAVESUSD,2.9,2.92,2.84,2.86,17.51,49.94
2019-02-24,WAVESUSD,3.03,3.07,2.9,2.9,71.87,220.21
2019-02-23,WAVESUSD,3.02,3.07,3.02,3.03,46.52,142.49
2019-02-22,WAVESUSD,3,3.04,3,3.02,59.2,178.56
2019-02-21,WAVESUSD,3,3.04,3,3,103.66,311.35
2019-02-20,WAVESUSD,3,3,2.97,3,3.37,10.09
2019-02-19,WAVESUSD,2.89,3,2.87,3,922.81,2712.22
2019-02-18,WAVESUSD,2.8,2.98,2.8,2.89,2648.38,7661.95
2019-02-17,WAVESUSD,2.85,2.85,2.79,2.8,850.51,2392.97
2019-02-16,WAVESUSD,2.89,2.91,2.82,2.85,1464.33,4190.71
2019-02-15,WAVESUSD,2.91,2.95,2.87,2.89,311.57,903.54
2019-02-14,WAVESUSD,2.97,2.97,2.87,2.91,608.24,1766.69
2019-02-13,WAVESUSD,3.01,3.04,2.93,2.97,664.3,1984.76
2019-02-12,WAVESUSD,3.03,3.07,2.9,3.01,1252.56,3740.86
2019-02-11,WAVESUSD,2.89,3.03,2.78,3.03,2442.42,7189.95
2019-02-10,WAVESUSD,2.78,2.89,2.73,2.89,1091.22,3050.14
2019-02-09,WAVESUSD,2.74,2.83,2.72,2.78,720.2,1994.97
2019-02-08,WAVESUSD,2.68,2.89,2.6,2.74,3041.36,8329.73
2019-02-07,WAVESUSD,2.67,2.9,2.63,2.68,943.76,2591.71
2019-02-06,WAVESUSD,2.84,2.91,2.64,2.67,2762.29,7543.92
2019-02-05,WAVESUSD,3.02,3.02,2.84,2.84,1343.5,3926.33
2019-02-04,WAVESUSD,3.03,3.08,2.95,3.02,594.25,1779.03
2019-02-03,WAVESUSD,2.9,3.1,2.9,3.03,335.19,1018.77
2019-02-02,WAVESUSD,2.97,3,2.9,2.9,806.98,2381.78
2019-02-01,WAVESUSD,3.05,3.05,2.9,2.97,1248.1,3705.64
2019-01-31,WAVESUSD,3.17,3.17,3.03,3.05,1183.82,3662.27
2019-01-30,WAVESUSD,3.21,3.26,2.99,3.17,1945.42,6091.86
2019-01-29,WAVESUSD,3.17,3.28,2.99,3.21,2961.84,9273.43
2019-01-28,WAVESUSD,2.94,3.2,2.79,3.17,6988.04,20656.48
2019-01-27,WAVESUSD,2.96,3.15,2.85,2.94,2368.22,7174.54
2019-01-26,WAVESUSD,3.08,3.08,2.81,2.96,1623.19,4823.07
2019-01-25,WAVESUSD,3.05,3.19,2.94,3.08,907.95,2788.34
2019-01-24,WAVESUSD,3.24,3.35,2.84,3.05,3477.08,10751.68
2019-01-23,WAVESUSD,3.03,3.46,2.98,3.24,7471.78,24592.2
2019-01-22,WAVESUSD,2.72,3.03,2.69,3.03,6408.19,18584.71
2019-01-21,WAVESUSD,2.75,2.77,2.7,2.72,2993.25,8157.12
2019-01-20,WAVESUSD,2.8,2.87,2.71,2.75,1307.64,3614.81
2019-01-19,WAVESUSD,2.75,2.84,2.73,2.8,782.85,2182.65
2019-01-18,WAVESUSD,2.81,2.82,2.72,2.75,1321.02,3672.49
2019-01-17,WAVESUSD,2.8,2.84,2.78,2.81,1353.39,3796.68
2019-01-16,WAVESUSD,2.8,2.9,2.76,2.8,1192.09,3361.36
2019-01-15,WAVESUSD,2.95,3,2.8,2.8,1167.05,3403.46
2019-01-14,WAVESUSD,2.85,3.1,2.78,2.95,1587.12,4703.47
2019-01-13,WAVESUSD,2.81,2.85,2.65,2.85,1642.3,4525.42
2019-01-12,WAVESUSD,2.9,2.9,2.7,2.81,2537.2,7028.78
2019-01-11,WAVESUSD,2.85,2.9,2.72,2.9,707.95,1996.56
2019-01-10,WAVESUSD,3.04,3.04,2.7,2.85,1743.45,5064.19
2019-01-09,WAVESUSD,3.15,3.28,3.03,3.04,723.84,2247.04
2019-01-08,WAVESUSD,3.16,3.29,3,3.15,1127.48,3532.81
2019-01-07,WAVESUSD,3.36,3.4,3.15,3.16,1644.98,5348.51
2019-01-06,WAVESUSD,3.33,3.42,3.28,3.36,1648.2,5538.75
2019-01-05,WAVESUSD,3.37,3.5,3.3,3.33,2407.52,8128.5
2019-01-04,WAVESUSD,3.35,3.4,3.31,3.37,476.06,1596.2
2019-01-03,WAVESUSD,3.36,3.42,3.3,3.35,1180.65,3969.1
2019-01-02,WAVESUSD,3.38,3.42,3.3,3.36,1305.41,4350.9
2019-01-01,WAVESUSD,3.43,3.49,3.28,3.38,902.53,3047.48
2018-12-31,WAVESUSD,3.27,3.53,3.17,3.43,3078.7,10493.36
2018-12-30,WAVESUSD,3.2,3.4,3.1,3.27,912.59,2965.53
2018-12-29,WAVESUSD,3.38,3.44,3.2,3.2,978.53,3247.76
2018-12-28,WAVESUSD,3.21,3.47,3.17,3.38,1980.92,6637.25
2018-12-27,WAVESUSD,3.38,3.5,3.15,3.21,2246.03,7568.83
2018-12-26,WAVESUSD,3.45,3.64,3.32,3.38,2344.76,8125.22
2018-12-25,WAVESUSD,3.95,3.95,3.4,3.45,6338.15,23585.85
2018-12-24,WAVESUSD,3.9,4.16,3.8,3.95,3914.49,15623.06
2018-12-23,WAVESUSD,4.14,4.3,3.83,3.9,4812.77,19525.45
2018-12-22,WAVESUSD,3.59,4.32,3.31,4.14,7606.81,29936.32
2018-12-21,WAVESUSD,4.3,4.4,3.35,3.59,6809.66,25258.97
2018-12-20,WAVESUSD,4.12,4.8,3.75,4.3,10936.57,47378.7
2018-12-19,WAVESUSD,3.64,5,3.55,4.12,18502.32,78965.55
2018-12-18,WAVESUSD,2.68,3.83,2.64,3.64,16436.01,52156.77
2018-12-17,WAVESUSD,2.51,2.75,2.45,2.68,5073.75,13387.92
2018-12-16,WAVESUSD,2.63,2.63,2.4,2.51,3314.4,8442.5
2018-12-15,WAVESUSD,2.51,2.68,2.42,2.63,1353.45,3509.18
2018-12-14,WAVESUSD,2.31,2.72,2.26,2.51,10486.04,26051.83
2018-12-13,WAVESUSD,2.08,2.48,1.9,2.31,14985.08,34071.08
2018-12-12,WAVESUSD,1.76,2.11,1.73,2.08,5726.25,11441.56
2018-12-11,WAVESUSD,1.63,1.77,1.61,1.76,684.78,1159.8
2018-12-10,WAVESUSD,1.74,1.78,1.6,1.63,1190.6,1982.78
2018-12-09,WAVESUSD,1.66,1.79,1.63,1.74,2215.05,3806.19
2018-12-08,WAVESUSD,1.57,1.72,1.55,1.66,983.61,1574.91
2018-12-07,WAVESUSD,1.66,1.7,1.45,1.57,3443.22,5364.37
2018-12-06,WAVESUSD,2.01,2.2,1.66,1.66,4162.93,7725.98
2018-12-05,WAVESUSD,2.26,2.46,1.92,2.01,9517.71,20789.67
2018-12-04,WAVESUSD,1.59,2.48,1.52,2.26,22382.4,47457.96
2018-12-03,WAVESUSD,1.62,1.7,1.48,1.59,4458.6,6936.19
2018-12-02,WAVESUSD,1.4,1.68,1.4,1.62,1693.66,2654.53
2018-12-01,WAVESUSD,1.28,1.56,1.28,1.4,4531.9,6391.12
2018-11-30,WAVESUSD,1.23,1.33,1.19,1.28,3304.22,4164.83
2018-11-29,WAVESUSD,1.18,1.3,1.12,1.23,1446.96,1765.84
2018-11-28,WAVESUSD,1.07,1.26,1.07,1.18,1915.94,2229.55
2018-11-27,WAVESUSD,1.06,1.1,1.04,1.07,1297.82,1384.84
2018-11-26,WAVESUSD,1.11,1.2,1.03,1.06,4017.87,4439.26
2018-11-25,WAVESUSD,1.08,1.18,1.01,1.11,2789.72,3107.86
2018-11-24,WAVESUSD,1.2,1.25,1.08,1.08,1661.72,1950.02
2018-11-23,WAVESUSD,1.2,1.24,1.15,1.2,823.53,974.57
2018-11-22,WAVESUSD,1.21,1.26,1.2,1.2,3019.81,3714.25
2018-11-21,WAVESUSD,1.19,1.28,1.12,1.21,3577.05,4352.75
2018-11-20,WAVESUSD,1.34,1.4,1.15,1.19,4167.74,5162.95
2018-11-19,WAVESUSD,1.69,1.72,1.33,1.34,6046.01,9170.89
2018-11-18,WAVESUSD,1.62,1.8,1.6,1.69,1125.65,1861.69
2018-11-17,WAVESUSD,1.64,1.65,1.59,1.62,811.08,1311.26
2018-11-16,WAVESUSD,1.66,1.7,1.6,1.64,1586.5,2596.11
2018-11-15,WAVESUSD,1.68,1.75,1.59,1.66,1089.62,1791.58
2018-11-14,WAVESUSD,1.81,1.81,1.6,1.68,4319.01,7171.23
2018-11-13,WAVESUSD,1.8,1.82,1.74,1.81,1073.67,1914.82
2018-11-12,WAVESUSD,1.83,1.83,1.76,1.8,911.2,1646.49
2018-11-11,WAVESUSD,1.88,1.88,1.8,1.83,434.73,794.09
2018-11-10,WAVESUSD,1.88,1.88,1.8,1.88,436.49,801.7
2018-11-09,WAVESUSD,1.88,1.91,1.8,1.88,973.65,1814.09
2018-11-08,WAVESUSD,1.88,1.91,1.86,1.88,708.77,1329.4
2018-11-07,WAVESUSD,1.87,1.92,1.87,1.88,446.12,844.99
2018-11-06,WAVESUSD,1.89,1.92,1.86,1.87,834.72,1577.97
2018-11-05,WAVESUSD,1.94,1.94,1.88,1.89,770.19,1459.79
2018-11-04,WAVESUSD,1.9,1.95,1.89,1.94,787.05,1514.24
2018-11-03,WAVESUSD,1.91,1.96,1.9,1.9,441.07,847.31
2018-11-02,WAVESUSD,1.93,1.96,1.9,1.91,459.2,888.89
2018-11-01,WAVESUSD,1.86,1.98,1.86,1.93,1353.68,2605.32
2018-10-31,WAVESUSD,1.88,1.92,1.83,1.86,841.37,1584.7
2018-10-30,WAVESUSD,1.94,1.94,1.82,1.88,1263.45,2339.19
2018-10-29,WAVESUSD,1.98,2.05,1.8,1.94,1360.23,2582.04
2018-10-28,WAVESUSD,2.02,2.1,1.95,1.98,1037.44,2065.2
2018-10-27,WAVESUSD,2.03,2.03,1.98,2.02,727.59,1460.08
2018-10-26,WAVESUSD,2.05,2.07,1.99,2.03,1322.1,2666.56
2018-10-25,WAVESUSD,2.08,2.08,2.02,2.05,509.07,1045.48
2018-10-24,WAVESUSD,2.05,2.15,2.05,2.08,479.89,1001.28
2018-10-23,WAVESUSD,2.07,2.18,2.02,2.05,948.21,1984.31
2018-10-22,WAVESUSD,2.08,2.09,2.01,2.07,659.82,1350.31
2018-10-21,WAVESUSD,2.05,2.1,2.04,2.08,449.07,932.07
2018-10-20,WAVESUSD,2.06,2.09,2,2.05,462.92,945.55
2018-10-19,WAVESUSD,2.09,2.09,2,2.06,972.87,1990.34
2018-10-18,WAVESUSD,2.07,2.11,2.01,2.09,760.33,1576.76
2018-10-17,WAVESUSD,2.05,2.12,2.05,2.07,476.99,997.38
2018-10-16,WAVESUSD,2.05,2.1,2.01,2.05,1431.1,2934.56
2018-10-15,WAVESUSD,2,2.08,1.98,2.05,1238.45,2511.86
2018-10-14,WAVESUSD,2.02,2.06,1.99,2,1104.49,2217.39
2018-10-13,WAVESUSD,1.98,2.05,1.98,2.02,536.01,1076.59
2018-10-12,WAVESUSD,2,2.05,1.97,1.98,676.06,1358.97
2018-10-11,WAVESUSD,2.15,2.18,1.92,2,1290.4,2635.46
2018-10-10,WAVESUSD,2.15,2.18,2.13,2.15,345.85,746.46
2018-10-09,WAVESUSD,2.14,2.19,2.13,2.15,621.86,1342.38
2018-10-08,WAVESUSD,2.14,2.17,2.09,2.14,394.03,846.45
2018-10-07,WAVESUSD,2.12,2.18,2.06,2.14,471.61,1007.24
2018-10-06,WAVESUSD,2.22,2.22,2.11,2.12,344.59,748.32
2018-10-05,WAVESUSD,2.16,2.22,2.05,2.22,1547.91,3297.5
2018-10-04,WAVESUSD,2.11,2.2,2.11,2.16,1535.2,3283.72
2018-10-03,WAVESUSD,2.2,2.2,2.1,2.11,1602.22,3425.44
2018-10-02,WAVESUSD,2.21,2.24,2.15,2.2,1290.17,2826.37
2018-10-01,WAVESUSD,2.25,2.32,2.18,2.21,3540.81,7895.54
2018-09-30,WAVESUSD,2.26,2.34,2.24,2.25,857.44,1956.98
2018-09-29,WAVESUSD,2.25,2.28,2.2,2.26,1120.92,2515.9
2018-09-28,WAVESUSD,2.35,2.39,2.25,2.25,2649.87,6073.5
2018-09-27,WAVESUSD,2.42,2.43,2.3,2.35,733.95,1723.72
2018-09-26,WAVESUSD,2.28,2.45,2.17,2.42,1529.82,3555.54
2018-09-25,WAVESUSD,2.33,2.38,2.17,2.28,1773.96,3980.89
2018-09-24,WAVESUSD,2.31,2.38,2.24,2.33,1238.78,2829.15
2018-09-23,WAVESUSD,2.27,2.48,2.26,2.31,1863.71,4406.96
2018-09-22,WAVESUSD,2.37,2.38,2.22,2.27,2027.57,4670.26
2018-09-21,WAVESUSD,2.34,2.4,2.28,2.37,1603.73,3776.8
