Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DOG,Volume EUSD
2019-07-03,DOGEUSD,0.003288,0.00337,0.003195,0.00327,721421.34,2374.61
2019-07-02,DOGEUSD,0.003355,0.003396,0.00312,0.003288,3083265.3,9966.57
2019-07-01,DOGEUSD,0.003395,0.00349,0.003168,0.003355,1986496.92,6563.29
2019-06-30,DOGEUSD,0.003425,0.003528,0.00339,0.003395,1768629.12,6089.32
2019-06-29,DOGEUSD,0.00349,0.003518,0.00339,0.003425,2122473.12,7303.16
2019-06-28,DOGEUSD,0.003255,0.0036,0.003251,0.00349,4259616.99,14771.01
2019-06-27,DOGEUSD,0.003384,0.00355,0.003035,0.003255,7182255.15,23735.37
2019-06-26,DOGEUSD,0.003393,0.003558,0.003281,0.003384,4780993.01,16124.69
2019-06-25,DOGEUSD,0.00335,0.003393,0.00331,0.003393,1328547.48,4472.14
2019-06-24,DOGEUSD,0.003347,0.003379,0.003216,0.00335,1593769.3,5259.89
2019-06-23,DOGEUSD,0.0033,0.003391,0.003213,0.003347,2656086.56,8774.79
2019-06-22,DOGEUSD,0.0032,0.003395,0.0032,0.0033,3589875.49,11906.9
2019-06-21,DOGEUSD,0.003154,0.003245,0.00313,0.0032,4187080.41,13284.05
2019-06-20,DOGEUSD,0.003145,0.00318,0.003122,0.00313,891794.56,2807.8
2019-06-19,DOGEUSD,0.003184,0.003201,0.00313,0.003145,1509190.45,4775.43
2019-06-18,DOGEUSD,0.003229,0.00325,0.00315,0.003184,1102794.39,3514.65
2019-06-17,DOGEUSD,0.00327,0.00327,0.003182,0.003229,865952.06,2774.26
2019-06-16,DOGEUSD,0.003192,0.003303,0.003166,0.00327,945375.78,3053.12
2019-06-15,DOGEUSD,0.003175,0.0032,0.003135,0.003192,564853.37,1797.24
2019-06-14,DOGEUSD,0.003157,0.003202,0.00312,0.003175,851303.37,2696.26
2019-06-13,DOGEUSD,0.00318,0.00321,0.00312,0.003157,881180.81,2784.68
2019-06-12,DOGEUSD,0.00318,0.00321,0.003128,0.00318,1117361.58,3544.45
2019-06-11,DOGEUSD,0.00317,0.003199,0.003089,0.00318,881068.7,2774.45
2019-06-10,DOGEUSD,0.003119,0.003223,0.003108,0.00317,1193148.98,3780.88
2019-06-09,DOGEUSD,0.003166,0.00321,0.00306,0.003119,960126.87,3020.24
2019-06-08,DOGEUSD,0.00322,0.003227,0.00315,0.003166,724948.96,2307.07
2019-06-07,DOGEUSD,0.003162,0.00325,0.00312,0.00322,1022921.08,3269.79
2019-06-06,DOGEUSD,0.00315,0.003169,0.003075,0.003162,815801.83,2541.85
2019-06-05,DOGEUSD,0.00306,0.003176,0.003045,0.00315,870824.0,2700.61
2019-06-04,DOGEUSD,0.003243,0.0033,0.003051,0.00306,2148517.31,6785.93
2019-06-03,DOGEUSD,0.003405,0.003478,0.003243,0.003243,2359730.2,7879.0
2019-06-02,DOGEUSD,0.003382,0.003467,0.003355,0.003405,821669.86,2799.7
2019-06-01,DOGEUSD,0.003463,0.0035,0.00336,0.003382,994172.04,3424.95
2019-05-31,DOGEUSD,0.003279,0.003463,0.003203,0.003463,1034877.67,3467.23
2019-05-30,DOGEUSD,0.003153,0.003649,0.003153,0.003279,3223671.83,10843.14
2019-05-29,DOGEUSD,0.003089,0.00319,0.003002,0.003153,2174366.51,6723.92
2019-05-28,DOGEUSD,0.00307,0.00312,0.003035,0.003089,1594554.29,4919.53
2019-05-27,DOGEUSD,0.00302,0.003139,0.003,0.00307,2452309.07,7515.38
2019-05-26,DOGEUSD,0.002997,0.003085,0.002945,0.00302,2162025.14,6509.77
2019-05-25,DOGEUSD,0.002977,0.003011,0.00292,0.002997,1321156.18,3903.35
2019-05-24,DOGEUSD,0.002942,0.003035,0.00292,0.002977,1368322.37,4096.09
2019-05-23,DOGEUSD,0.002976,0.00307,0.002827,0.002942,1152029.07,3376.51
2019-05-22,DOGEUSD,0.003022,0.00308,0.00292,0.002976,865206.9,2583.56
2019-05-21,DOGEUSD,0.00298,0.0031,0.002942,0.003022,660366.82,1997.21
2019-05-20,DOGEUSD,0.003057,0.00316,0.00288,0.00298,1895008.72,5688.3
2019-05-19,DOGEUSD,0.003005,0.00316,0.002934,0.003057,1250497.78,3863.25
2019-05-18,DOGEUSD,0.002903,0.0031,0.002827,0.003005,867291.05,2559.07
2019-05-17,DOGEUSD,0.00319,0.00319,0.0028,0.002903,2313700.6,6851.04
2019-05-16,DOGEUSD,0.003329,0.0036,0.003048,0.00319,4277238.86,14159.6
2019-05-15,DOGEUSD,0.00298,0.003345,0.00291,0.003329,2821076.79,9014.01
2019-05-14,DOGEUSD,0.002716,0.00327,0.002705,0.00298,5156436.15,15348.99
2019-05-13,DOGEUSD,0.002704,0.002821,0.002624,0.002716,2757127.48,7547.67
2019-05-12,DOGEUSD,0.0027,0.002842,0.00262,0.002682,3535123.57,9682.72
2019-05-11,DOGEUSD,0.00252,0.002749,0.002499,0.0027,3027613.48,7871.35
2019-05-10,DOGEUSD,0.002553,0.00259,0.002481,0.00252,972840.6,2444.28
2019-05-09,DOGEUSD,0.002586,0.002597,0.002462,0.002553,1016020.37,2568.24
2019-05-08,DOGEUSD,0.002556,0.002624,0.0025,0.002586,735079.26,1875.33
2019-05-07,DOGEUSD,0.002601,0.002666,0.002601,0.002636,290173.16,761.42
2019-05-06,DOGEUSD,0.002659,0.002692,0.002585,0.002601,1114914.73,2916.6
2019-05-05,DOGEUSD,0.002732,0.002732,0.002625,0.002659,487354.09,1307.11
2019-05-04,DOGEUSD,0.002758,0.002776,0.00262,0.002732,720378.44,1944.69
2019-05-03,DOGEUSD,0.002704,0.002738,0.002645,0.002701,611201.13,1659.08
2019-05-02,DOGEUSD,0.00266,0.002704,0.00262,0.002704,821024.31,2182.69
2019-05-01,DOGEUSD,0.002651,0.00269,0.002608,0.00266,1084922.26,2880.35
2019-04-30,DOGEUSD,0.00264,0.002718,0.002608,0.002651,932388.2,2481.91
2019-04-29,DOGEUSD,0.002681,0.002713,0.002598,0.002644,1217616.23,3206.81
2019-04-28,DOGEUSD,0.002724,0.002738,0.002653,0.002681,1309571.18,3516.47
2019-04-27,DOGEUSD,0.002712,0.002725,0.0026,0.0027,522650.06,1402.8
2019-04-26,DOGEUSD,0.002625,0.002725,0.00255,0.002712,1392759.14,3687.11
2019-04-25,DOGEUSD,0.00273,0.002799,0.002625,0.002625,1774970.31,4783.85
2019-04-24,DOGEUSD,0.002904,0.003,0.002655,0.00273,5161834.39,14532.34
2019-04-23,DOGEUSD,0.00295,0.00303,0.0029,0.002904,1400148.36,4163.22
2019-04-22,DOGEUSD,0.002906,0.002993,0.002871,0.00295,824508.65,2408.33
2019-04-21,DOGEUSD,0.00296,0.003081,0.00286,0.002906,1800493.79,5262.14
2019-04-20,DOGEUSD,0.00301,0.0031,0.002952,0.00296,1422423.73,4269.88
2019-04-19,DOGEUSD,0.003023,0.003108,0.002959,0.00301,684814.44,2064.98
2019-04-18,DOGEUSD,0.002951,0.003212,0.002903,0.003023,2327999.19,7046.06
2019-04-17,DOGEUSD,0.00296,0.002984,0.00289,0.002951,729352.53,2136.9
2019-04-16,DOGEUSD,0.002922,0.00299,0.00286,0.00296,912278.9,2665.53
2019-04-15,DOGEUSD,0.002956,0.0031,0.002874,0.002922,1341382.17,3950.98
2019-04-14,DOGEUSD,0.00297,0.003,0.002921,0.002956,420986.2,1247.02
2019-04-13,DOGEUSD,0.002935,0.003051,0.002935,0.00297,937799.57,2792.43
2019-04-12,DOGEUSD,0.002869,0.003,0.00279,0.002935,992313.77,2881.47
2019-04-11,DOGEUSD,0.0031,0.00311,0.00275,0.002869,3165023.92,9141.96
2019-04-10,DOGEUSD,0.003046,0.0032,0.002973,0.0031,1637301.69,5063.61
2019-04-09,DOGEUSD,0.00302,0.00312,0.0029,0.003046,1039971.91,3124.56
2019-04-08,DOGEUSD,0.003531,0.00355,0.00302,0.00302,63832.42,207.7
2019-04-07,DOGEUSD,0.003516,0.003648,0.003387,0.003531,74496.41,266.57
2019-04-06,DOGEUSD,0.003634,0.00369,0.00345,0.003516,202411.98,720.67
2019-04-05,DOGEUSD,0.00367,0.003863,0.003426,0.003634,56035.52,203.67
2019-04-04,DOGEUSD,0.0032,0.00415,0.0032,0.00367,213361.26,829.79
2019-04-03,DOGEUSD,0.002961,0.00375,0.002875,0.0032,118707.55,400.39
2019-04-02,DOGEUSD,0.00245,0.002961,0.00245,0.002961,197843.61,502.62
2019-04-01,DOGEUSD,0.002141,0.00259,0.002141,0.00245,107998.51,256.82
2019-03-31,DOGEUSD,0.002156,0.002166,0.00213,0.002141,260074.91,557.31
2019-03-30,DOGEUSD,0.002178,0.00218,0.002131,0.002156,79621.78,171.21
2019-03-29,DOGEUSD,0.002141,0.002178,0.00214,0.002178,119644.06,257.36
2019-03-28,DOGEUSD,0.00214,0.002162,0.002138,0.002141,77407.88,166.38
2019-03-27,DOGEUSD,0.002111,0.002158,0.002111,0.00214,82806.45,177.23
2019-03-26,DOGEUSD,0.002126,0.002136,0.002101,0.002111,81552.26,172.36
2019-03-25,DOGEUSD,0.002122,0.00214,0.0021,0.002126,49939.13,105.93
2019-03-24,DOGEUSD,0.002145,0.002158,0.002121,0.002122,123461.86,264.07
2019-03-23,DOGEUSD,0.002156,0.00218,0.002145,0.002145,198957.24,429.05
2019-03-22,DOGEUSD,0.002143,0.00218,0.002143,0.002156,59288.45,128.49
2019-03-21,DOGEUSD,0.00215,0.002173,0.00214,0.002143,158252.51,340.35
2019-03-20,DOGEUSD,0.00216,0.00218,0.002133,0.00215,154091.42,330.5
2019-03-19,DOGEUSD,0.002151,0.00219,0.00215,0.00216,27064.81,58.66
2019-03-18,DOGEUSD,0.002136,0.002151,0.00213,0.002151,1255.57,2.69
2019-03-17,DOGEUSD,0.002154,0.002154,0.002125,0.002136,2523.57,5.4
2019-03-16,DOGEUSD,0.00215,0.002173,0.002071,0.002154,35532.29,74.75
2019-03-15,DOGEUSD,0.002098,0.00215,0.002098,0.00215,15456.59,32.81
2019-03-14,DOGEUSD,0.002106,0.002108,0.002091,0.002098,7831.6,16.47
2019-03-13,DOGEUSD,0.002123,0.002125,0.0021,0.002106,3816.73,8.04
2019-03-12,DOGEUSD,0.00203,0.002123,0.00203,0.002123,1416.45,2.96
2019-03-11,DOGEUSD,0.002042,0.002046,0.00203,0.00203,10544.91,21.52
2019-03-10,DOGEUSD,0.002042,0.002059,0.002042,0.002042,1731.85,3.55
2019-03-09,DOGEUSD,0.00208,0.00208,0.002042,0.002042,15472.05,31.71
2019-03-08,DOGEUSD,0.002051,0.00208,0.002042,0.00208,22822.9,47.08
2019-03-07,DOGEUSD,0.002035,0.002066,0.002035,0.002051,16594.97,34.28
2019-03-06,DOGEUSD,0.002045,0.002058,0.002035,0.002035,12222.49,24.98
2019-03-05,DOGEUSD,0.002067,0.002067,0.002041,0.002045,4442.77,9.07
2019-03-04,DOGEUSD,0.00211,0.002119,0.00205,0.002067,7303.58,15.09
2019-03-03,DOGEUSD,0.002129,0.002129,0.00211,0.00211,13883.95,29.29
