Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETN,Volume LTC
2019-07-03 10-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-03 09-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-03 08-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-03 07-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-03 06-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-03 05-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-03 04-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-03 03-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-03 02-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-03 01-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-03 12-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 11-PM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 10-PM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 09-PM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 08-PM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 07-PM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 06-PM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 05-PM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 04-PM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 03-PM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 02-PM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 01-PM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 12-PM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 11-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 10-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 09-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 08-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 07-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 06-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 05-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 04-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 03-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 02-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-07-02 01-AM,ETNLTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
