Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XEM,Volume USD
2019-07-03,XEMUSD,0.0929,0.09478,0.09109,0.09478,28.96,2.676
2019-07-02,XEMUSD,0.09578,0.09578,0.08624,0.0929,14161.92,1236.84
2019-07-01,XEMUSD,0.096,0.09757,0.0876,0.09578,1323.3,121.09
2019-06-30,XEMUSD,0.1032,0.1032,0.0751,0.096,4665.98,418.88
2019-06-29,XEMUSD,0.09978,0.1035,0.09477,0.1032,467.06,48.01
2019-06-28,XEMUSD,0.08485,0.1031,0.08485,0.09978,5106.24,504.17
2019-06-27,XEMUSD,0.0954,0.1073,0.07,0.08485,16017.31,1358.82
2019-06-26,XEMUSD,0.09007,0.1109,0.09007,0.0954,18576.22,1938.96
2019-06-25,XEMUSD,0.09,0.0906,0.09,0.09007,1101.11,99.33
2019-06-24,XEMUSD,0.09138,0.09587,0.0896,0.09,1137.35,106.18
2019-06-23,XEMUSD,0.09254,0.0962,0.0898,0.09138,4284.91,398.39
2019-06-22,XEMUSD,0.08643,0.096,0.08643,0.09254,4814.43,433.63
2019-06-21,XEMUSD,0.08627,0.0885,0.08627,0.08643,5665.44,489.76
2019-06-20,XEMUSD,0.088,0.0906,0.08627,0.08627,931.37,80.82
2019-06-19,XEMUSD,0.08843,0.08843,0.08689,0.088,5.844,0.5093
2019-06-18,XEMUSD,0.08846,0.09128,0.08843,0.08843,2174.19,192.28
2019-06-17,XEMUSD,0.0874,0.08888,0.0874,0.08846,2278.72,201.87
2019-06-16,XEMUSD,0.08666,0.09244,0.08666,0.0874,6086.97,546.67
2019-06-15,XEMUSD,0.08668,0.08668,0.08666,0.08666,1.486,0.1287
2019-06-14,XEMUSD,0.08927,0.08997,0.08668,0.08668,794.77,69.65
2019-06-13,XEMUSD,0.08942,0.09098,0.08927,0.08927,1779.84,158.92
2019-06-12,XEMUSD,0.09,0.09195,0.08632,0.08942,1940.35,174.59
2019-06-11,XEMUSD,0.08605,0.09513,0.08,0.09,3277.22,284.62
2019-06-10,XEMUSD,0.08439,0.08787,0.08439,0.08605,1965.02,168.4
2019-06-09,XEMUSD,0.08692,0.09,0.08422,0.08439,539.16,46.49
2019-06-08,XEMUSD,0.09148,0.09148,0.08665,0.08692,221.25,19.23
2019-06-07,XEMUSD,0.08272,0.09148,0.08272,0.09148,996.49,87.88
2019-06-06,XEMUSD,0.08272,0.08376,0.08272,0.08272,2144.04,177.68
2019-06-05,XEMUSD,0.08275,0.08816,0.08272,0.08272,17378.97,1496.3
2019-06-04,XEMUSD,0.09115,0.09364,0.08272,0.08275,3913.53,350.04
2019-06-03,XEMUSD,0.09512,0.0986,0.09141,0.09157,2004.87,193.13
2019-06-02,XEMUSD,0.09713,0.0986,0.09489,0.09512,1034.49,99.73
2019-06-01,XEMUSD,0.095,0.09862,0.09421,0.09713,1608.1,157.52
2019-05-31,XEMUSD,0.09131,0.1024,0.086,0.095,3303.25,316.24
2019-05-30,XEMUSD,0.09582,0.1027,0.08677,0.09131,9644.75,948.15
2019-05-29,XEMUSD,0.09,0.09582,0.08708,0.09582,3087.43,285.88
2019-05-28,XEMUSD,0.09045,0.09178,0.086,0.09,844.51,75.13
2019-05-27,XEMUSD,0.086,0.09045,0.08418,0.09045,3431.52,305.83
2019-05-26,XEMUSD,0.08174,0.08816,0.08,0.086,2388.88,202.83
2019-05-25,XEMUSD,0.0895,0.0895,0.08174,0.08174,628.17,52.19
2019-05-24,XEMUSD,0.08144,0.09023,0.08144,0.0895,5954.76,518.46
2019-05-23,XEMUSD,0.082,0.082,0.075,0.08144,5775.25,439.2
2019-05-22,XEMUSD,0.08918,0.09189,0.082,0.082,2242.56,188.06
2019-05-21,XEMUSD,0.09154,0.09325,0.08638,0.08918,1873.56,173.1
2019-05-20,XEMUSD,0.09109,0.09271,0.0888,0.09154,618.97,55.81
2019-05-19,XEMUSD,0.08533,0.09582,0.08533,0.09109,1623.51,147.68
2019-05-18,XEMUSD,0.08819,0.09289,0.082,0.08533,1632.63,146.74
2019-05-17,XEMUSD,0.09988,0.1026,0.0747,0.08819,44997.03,3813.64
2019-05-16,XEMUSD,0.0794,0.114,0.0794,0.09988,24674.55,2392.91
2019-05-15,XEMUSD,0.06877,0.0794,0.06702,0.0794,8888.23,628.3
2019-05-14,XEMUSD,0.06,0.06988,0.06,0.06877,1367.22,85.48
2019-05-13,XEMUSD,0.05852,0.07,0.05852,0.06,7421.7,472.66
2019-05-12,XEMUSD,0.06,0.06158,0.05497,0.05852,1378.55,80.95
2019-05-11,XEMUSD,0.05106,0.062,0.05106,0.06,3956.02,229.1
2019-05-10,XEMUSD,0.05201,0.0572,0.05,0.05106,2820.51,149.86
2019-05-09,XEMUSD,0.05333,0.05667,0.05201,0.05201,5907.11,316.38
2019-05-08,XEMUSD,0.05759,0.06314,0.05301,0.05333,802.17,43.01
2019-05-07,XEMUSD,0.054,0.06442,0.054,0.05457,535.95,30.2
2019-05-06,XEMUSD,0.05777,0.05777,0.054,0.054,593.66,32.73
2019-05-05,XEMUSD,0.05915,0.05915,0.05777,0.05777,3.87,0.2235
2019-05-04,XEMUSD,0.06289,0.06289,0.05661,0.05915,721.46,41.16
2019-05-03,XEMUSD,0.05631,0.06289,0.05631,0.06289,48.77,3.01
2019-05-02,XEMUSD,0.06,0.0614,0.05625,0.05631,578.06,33.52
2019-05-01,XEMUSD,0.06,0.06393,0.05905,0.06,200.0,12.31
2019-04-30,XEMUSD,0.0605,0.06443,0.05877,0.06,8357.26,519.02
2019-04-29,XEMUSD,0.06106,0.06106,0.0605,0.0605,1216.84,73.69
2019-04-28,XEMUSD,0.06183,0.06413,0.06106,0.06106,844.41,52.16
2019-04-27,XEMUSD,0.06138,0.064,0.06138,0.06183,891.31,55.84
2019-04-26,XEMUSD,0.06316,0.06557,0.06138,0.06138,31.82,1.96
2019-04-25,XEMUSD,0.0619,0.06514,0.0619,0.06316,1070.25,69.11
2019-04-24,XEMUSD,0.069,0.07306,0.0619,0.0619,10618.24,696.24
2019-04-23,XEMUSD,0.068,0.07306,0.068,0.069,6054.32,435.5
2019-04-22,XEMUSD,0.068,0.068,0.06798,0.068,341.24,23.2
2019-04-21,XEMUSD,0.06885,0.06999,0.066,0.068,1424.07,95.52
2019-04-20,XEMUSD,0.06828,0.06931,0.0661,0.06885,1617.38,110.09
2019-04-19,XEMUSD,0.06732,0.06831,0.059,0.06828,3994.64,245.28
2019-04-18,XEMUSD,0.07394,0.07462,0.06732,0.06732,538.99,37.67
2019-04-17,XEMUSD,0.0723,0.074,0.068,0.07394,624.89,43.47
2019-04-16,XEMUSD,0.07,0.0723,0.06902,0.0723,713.93,49.28
2019-04-15,XEMUSD,0.07,0.07247,0.07,0.07,1245.01,88.61
2019-04-14,XEMUSD,0.07136,0.0714,0.068,0.07,2563.48,180.78
2019-04-13,XEMUSD,0.06759,0.07157,0.06732,0.07136,1344.99,92.42
2019-04-12,XEMUSD,0.07443,0.07443,0.064,0.06759,2791.29,194.17
2019-04-11,XEMUSD,0.0756,0.07748,0.069,0.07443,13847.79,1035.36
2019-04-10,XEMUSD,0.076,0.07864,0.07515,0.0756,844.28,64.34
2019-04-09,XEMUSD,0.07324,0.07887,0.07324,0.076,308.92,23.61
2019-04-08,XEMUSD,0.078,0.07802,0.07305,0.07324,717.52,52.95
2019-04-07,XEMUSD,0.0722,0.078,0.0722,0.078,1123.38,83.09
2019-04-06,XEMUSD,0.07228,0.07557,0.072,0.0722,1092.36,78.77
2019-04-05,XEMUSD,0.06515,0.0751,0.06515,0.07228,644.26,44.99
2019-04-04,XEMUSD,0.0735,0.076,0.06515,0.06515,840.15,60.27
2019-04-03,XEMUSD,0.07,0.077,0.06318,0.0735,2039.42,150.09
2019-04-02,XEMUSD,0.05406,0.07,0.05406,0.07,3110.51,189.95
2019-04-01,XEMUSD,0.0545,0.0598,0.05406,0.05406,271.08,15.12
2019-03-31,XEMUSD,0.054,0.0545,0.054,0.0545,237.27,12.93
2019-03-30,XEMUSD,0.05406,0.06,0.054,0.054,193.84,10.66
2019-03-29,XEMUSD,0.05068,0.06,0.05068,0.05406,436.65,23.89
2019-03-28,XEMUSD,0.05281,0.05444,0.05042,0.05068,41.54,2.11
2019-03-27,XEMUSD,0.05014,0.05288,0.05014,0.05281,201.58,10.66
2019-03-26,XEMUSD,0.05429,0.05429,0.05014,0.05014,277.79,13.96
2019-03-25,XEMUSD,0.05471,0.05471,0.052,0.05429,22.3,1.2
2019-03-24,XEMUSD,0.05164,0.05471,0.05164,0.05471,30.76,1.68
2019-03-23,XEMUSD,0.05471,0.05471,0.05164,0.05164,758.05,39.37
2019-03-22,XEMUSD,0.05472,0.05472,0.05,0.05471,133.34,7.25
2019-03-21,XEMUSD,0.051,0.05476,0.051,0.05472,2741.81,150.04
2019-03-20,XEMUSD,0.051,0.051,0.051,0.051,0.0,0.0
2019-03-19,XEMUSD,0.052,0.052,0.051,0.051,249.71,12.74
2019-03-18,XEMUSD,0.05498,0.055,0.05098,0.052,73.86,3.98
2019-03-17,XEMUSD,0.05001,0.05498,0.05001,0.05498,51.0,2.63
2019-03-16,XEMUSD,0.05319,0.0539,0.05001,0.05001,324.26,17.01
2019-03-15,XEMUSD,0.05,0.05319,0.05,0.05319,74.48,3.85
2019-03-14,XEMUSD,0.04759,0.05,0.04632,0.05,523.89,25.7
