Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume WAV,Volume ESRUR
2018-08-22 11-PM,WAVESRUR,144,144,144,144,0.0,0.0
2018-08-22 10-PM,WAVESRUR,144,146.33,144,144,100.8,14528.04
2018-08-22 09-PM,WAVESRUR,144.71,146.35,144,144,93.55,13498.38
2018-08-22 08-PM,WAVESRUR,144.38,147.17,144.38,144.71,126.06,18251.47
2018-08-22 07-PM,WAVESRUR,144.51,147.15,144.38,144.38,18.98,2745.56
2018-08-22 06-PM,WAVESRUR,146,146,144.38,144.51,62.28,9041.86
2018-08-22 05-PM,WAVESRUR,146,146,145,146,93.68,13594.71
2018-08-22 04-PM,WAVESRUR,148,148,145,146,70.85,10311.95
2018-08-22 03-PM,WAVESRUR,145.11,148,145.11,148,33.56,4901.97
2018-08-22 02-PM,WAVESRUR,144.54,146.62,144.54,145.11,1.95,282.56
2018-08-22 01-PM,WAVESRUR,144.8,147.47,144,144.54,128.62,18598.47
2018-08-22 12-PM,WAVESRUR,144.8,145.75,144.8,144.8,57.6,8369.04
2018-08-22 11-AM,WAVESRUR,148,148,144.8,144.8,159.92,23307.96
2018-08-22 10-AM,WAVESRUR,146.34,148,146.1,148,78.9,11633.28
2018-08-22 09-AM,WAVESRUR,146.56,149.07,146,146.34,360.69,52841.14
2018-08-22 08-AM,WAVESRUR,150.8,150.8,146.56,146.56,16.19,2406.1
2018-08-22 07-AM,WAVESRUR,148.58,150.8,146.5,150.8,294.61,43833.11
2018-08-22 06-AM,WAVESRUR,147.5,148.58,147.5,148.58,19.69,2906.86
2018-08-22 05-AM,WAVESRUR,147.38,148.6,146.5,147.5,31.19,4603.75
2018-08-22 04-AM,WAVESRUR,147.2,148.6,147.2,147.38,20.03,2967.7
2018-08-22 03-AM,WAVESRUR,148.59,148.59,147.2,147.2,3.19,473.83
2018-08-22 02-AM,WAVESRUR,147.6,148.6,147.2,148.59,2.42,359.78
2018-08-22 01-AM,WAVESRUR,145.06,149,145.06,147.6,45.25,6721.95
2018-08-22 12-AM,WAVESRUR,149,149,145.06,145.06,51.51,7658.37
2018-08-21 11-PM,WAVESRUR,149,149,146.61,149,3.34,490.9
2018-08-21 10-PM,WAVESRUR,149,149,146.44,149,10.59,1573.76
2018-08-21 09-PM,WAVESRUR,146.44,149,146.44,149,10.37,1542.27
2018-08-21 08-PM,WAVESRUR,149,149.48,146.2,146.44,24.58,3622.42
2018-08-21 07-PM,WAVESRUR,147.04,149,147,149,96.7,14222.07
2018-08-21 06-PM,WAVESRUR,145.97,150.05,145.97,147.04,312.57,46589.03
2018-08-21 05-PM,WAVESRUR,145.35,147.9,145.35,145.97,55.45,8178.54
2018-08-21 04-PM,WAVESRUR,147.8,147.9,144.87,145.35,83.71,12367.17
2018-08-21 03-PM,WAVESRUR,146.17,148,144.3,147.8,60.79,8929.16
2018-08-21 02-PM,WAVESRUR,148,148,145.66,146.17,6.22,916.39
2018-08-21 01-PM,WAVESRUR,147.59,148,145.6,148,57.81,8543.97
2018-08-21 12-PM,WAVESRUR,148,148,144.5,147.59,15.78,2315.52
2018-08-21 11-AM,WAVESRUR,146.74,148.24,146.74,148,16.06,2371.07
2018-08-21 10-AM,WAVESRUR,147.6,148.24,146.74,146.74,112.22,16558.27
2018-08-21 09-AM,WAVESRUR,145.67,147.7,144.2,147.6,36.3,5304.61
2018-08-21 08-AM,WAVESRUR,145.66,147.88,145.66,145.67,13.63,2011.17
2018-08-21 07-AM,WAVESRUR,147,147.89,144.78,145.66,10.97,1617.44
2018-08-21 06-AM,WAVESRUR,146.95,147,144,147,6.83,999.32
2018-08-21 05-AM,WAVESRUR,144.65,147,143.16,146.95,11.72,1703.85
2018-08-21 04-AM,WAVESRUR,143.25,144.65,142.85,144.65,0.4735,68.16
2018-08-21 03-AM,WAVESRUR,143.29,144.81,143.25,143.25,2.37,341.12
2018-08-21 02-AM,WAVESRUR,145.65,145.65,140.5,143.29,129.8,18532.8
2018-08-21 01-AM,WAVESRUR,144.11,145.65,144.11,145.65,14.85,2141.36
2018-08-21 12-AM,WAVESRUR,144.11,144.21,144.11,144.11,11.15,1607.2
2018-08-20 11-PM,WAVESRUR,146.69,146.69,144.1,144.11,0.6243,89.96
2018-08-20 10-PM,WAVESRUR,146.74,146.74,144.1,146.69,1.87,271.08
2018-08-20 09-PM,WAVESRUR,144.5,146.74,143.2,146.74,11.59,1678.31
2018-08-20 08-PM,WAVESRUR,144.5,145,143.13,144.5,14.67,2122.05
2018-08-20 07-PM,WAVESRUR,144.95,144.95,142.6,144.5,3.21,461.01
2018-08-20 06-PM,WAVESRUR,142.45,145,142.45,144.95,18.75,2708.6
2018-08-20 05-PM,WAVESRUR,143.13,144.47,141.53,142.45,15.57,2233.2
2018-08-20 04-PM,WAVESRUR,141.37,145,141.37,143.13,9.59,1377.61
2018-08-20 03-PM,WAVESRUR,143.42,145,141.37,141.37,4.71,676.09
2018-08-20 02-PM,WAVESRUR,143.88,145,141.37,143.42,66.51,9531.79
2018-08-20 01-PM,WAVESRUR,143.36,145.69,143.36,143.88,7.23,1043.33
2018-08-20 12-PM,WAVESRUR,145.69,145.69,143,143.36,12.24,1765.01
2018-08-20 11-AM,WAVESRUR,144.57,145.69,143.9,145.69,12.09,1755.75
2018-08-20 10-AM,WAVESRUR,145,145.69,143.9,144.57,15.46,2241.07
2018-08-20 09-AM,WAVESRUR,146.09,146.4,143.9,145,64.56,9372.16
2018-08-20 08-AM,WAVESRUR,147.6,147.6,145.1,146.09,11.96,1752.8
2018-08-20 07-AM,WAVESRUR,146.76,147.66,144.85,147.6,48.2,7057.01
2018-08-20 06-AM,WAVESRUR,147.34,147.34,145.47,146.76,25.07,3668.3
2018-08-20 05-AM,WAVESRUR,146.11,150,146.11,147.34,8.46,1250.7
