Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume MON,Volume AJPY
2019-07-03,MONAJPY,251,263.3,250,263.3,65391.0,16753912.4
2019-07-02,MONAJPY,260,261.7,231,251,243020.0,59583211.3
2019-07-01,MONAJPY,263.5,270.9,252.5,260,122978.0,32338070.9
2019-06-30,MONAJPY,265.7,290.4,260.2,263.5,251320.0,68912182.7
2019-06-29,MONAJPY,272.8,273.4,260,265.7,76648.0,20358732.7
2019-06-28,MONAJPY,266.3,276.8,260,272.8,180905.0,48437025.6
2019-06-27,MONAJPY,298,302.9,254.1,266.3,351222.0,96280219.3
2019-06-26,MONAJPY,308.3,315,290.1,298,368854.0,112196697.0
2019-06-25,MONAJPY,290.1,314.8,290.1,308.3,398017.0,120816590.5
2019-06-24,MONAJPY,289,296,280.2,290.1,140624.0,40873431.4
2019-06-23,MONAJPY,290,294.9,271.5,289,215459.0,61172141.4
2019-06-22,MONAJPY,303.5,305.8,270,290,435130.0,126847366.0
2019-06-21,MONAJPY,252.3,314.9,251.1,303.5,1060734.0,304805377.0
2019-06-20,MONAJPY,256,258.5,245,252.3,148096.0,37366402.5
2019-06-19,MONAJPY,242.7,262,242.7,256,199070.0,50306313.0
2019-06-18,MONAJPY,249.3,276,235.1,242.7,511407.0,130213026.0
2019-06-17,MONAJPY,228.6,249.3,224.4,249.3,281749.0,66972046.3
2019-06-16,MONAJPY,215.1,240.5,215.1,228.6,239736.0,53768779.1
2019-06-15,MONAJPY,214,222.9,213.8,215.1,74538.0,16181610.6
2019-06-14,MONAJPY,222,223,210.2,214,74577.0,16089409.2
2019-06-13,MONAJPY,218,231,215,222,117855.0,26194021.3
2019-06-12,MONAJPY,226.3,228,205.4,218,270960.0,58299327.9
2019-06-11,MONAJPY,240.3,243,225.2,226.3,164560.0,38101828.0
2019-06-10,MONAJPY,239.2,243.9,230.1,240.3,113394.0,26969883.9
2019-06-09,MONAJPY,267,267.2,232,239.2,202263.0,49913544.3
2019-06-08,MONAJPY,249.8,280,239.5,267,644819.0,167674483.1
2019-06-07,MONAJPY,245.5,250,220,249.8,410518.0,95943982.3
2019-06-06,MONAJPY,264,268.4,220,245.5,751819.0,184038544.3
2019-06-05,MONAJPY,313,409,253.6,264,2872279.0,948762870.2
2019-06-04,MONAJPY,295,320.9,291,313,366850.0,113349356.3
2019-06-03,MONAJPY,324,327,285,295,497672.0,151200843.0
2019-06-02,MONAJPY,384,388,260.6,324,2212256.0,712510322.6
2019-06-01,MONAJPY,255,390,242,384,2185085.0,675122385.5
2019-05-31,MONAJPY,120,364,118.8,255,2477981.0,539057644.8
2019-05-30,MONAJPY,122.1,129,117.1,120,83348.0,10332673.7
2019-05-29,MONAJPY,119.6,126.6,118.3,122.1,76756.0,9411544.9
2019-05-28,MONAJPY,121.6,123,118,119.6,32759.0,3941309.3
2019-05-27,MONAJPY,119,129.7,117.5,121.6,176357.0,21634632.5
2019-05-26,MONAJPY,114.9,119.3,113,119,63661.0,7366008.7
2019-05-25,MONAJPY,113.8,116.3,113.8,114.9,62619.0,7193346.7
2019-05-24,MONAJPY,113.6,116.7,111.7,113.8,65027.0,7415666.3
2019-05-23,MONAJPY,111.5,113.6,108.8,113.6,50280.0,5581651.9
2019-05-22,MONAJPY,117.9,119,111.5,111.5,52846.0,6111944.8
2019-05-21,MONAJPY,119,119,115.2,117.9,42673.0,4999160.4
2019-05-20,MONAJPY,130,130,113,119,55624.0,6672855.1
2019-05-19,MONAJPY,108.5,130,108.5,130,118563.0,14227179.3
2019-05-18,MONAJPY,116,116.7,107.8,108.5,28324.0,3163290.2
2019-05-17,MONAJPY,121.5,123.5,108,116,86064.0,9701715.7
2019-05-16,MONAJPY,124,135.6,118,121.5,112479.0,14148819.1
2019-05-15,MONAJPY,116.7,124.9,113.1,124,76279.0,9121768.1
2019-05-14,MONAJPY,108.2,128.5,106.2,116.7,163802.0,19214569.4
2019-05-13,MONAJPY,106.7,109,103.5,108.2,31819.0,3399986.8
2019-05-12,MONAJPY,111.9,113,103.1,106.7,28398.0,3054527.6
2019-05-11,MONAJPY,100.4,111.9,100.4,111.9,75946.0,7940934.2
2019-05-10,MONAJPY,102.3,107,99.1,100.4,44316.0,4501929.2
2019-05-09,MONAJPY,107,109.3,100.6,102.3,46764.0,4882417.2
2019-05-08,MONAJPY,109.7,109.8,105,107,34779.0,3744679.3
2019-05-07,MONAJPY,110.1,115,109.2,111.5,11610.0,1290495.9
2019-05-06,MONAJPY,115,115,109,110.1,35528.0,3939138.2
2019-05-05,MONAJPY,116,119.4,114.1,115,8888.0,1038485.2
2019-05-04,MONAJPY,120,120,111.5,116,15977.0,1842683.3
2019-05-03,MONAJPY,117,121.2,113.6,120,36782.0,4317606.1
2019-05-02,MONAJPY,120,120.9,117,117,19470.0,2309087.8
2019-05-01,MONAJPY,121,123.6,115.5,120,30338.0,3648323.1
2019-04-30,MONAJPY,112.1,128.8,112.1,121,104163.0,12775200.2
2019-04-29,MONAJPY,120,124,111.5,112.1,46416.0,5440287.2
2019-04-28,MONAJPY,103.2,122,103.2,120,89868.0,10216453.3
2019-04-27,MONAJPY,104.9,106.8,99,103.3,59998.0,6176565.2
2019-04-26,MONAJPY,107.2,113,100,104.9,71213.0,7584262.9
2019-04-25,MONAJPY,114,115.5,106.1,107.2,48111.0,5310571.2
2019-04-24,MONAJPY,124,127,104.7,114,100252.0,11481018.4
2019-04-23,MONAJPY,134,144,116,124,192768.0,24298681.1
2019-04-22,MONAJPY,134,134,134,134,0.0,0.0
2019-04-21,MONAJPY,134,134,134,134,0.0,0.0
2019-04-20,MONAJPY,134,134,134,134,0.0,0.0
2019-04-19,MONAJPY,134,134,134,134,0.0,0.0
2019-04-18,MONAJPY,134,134,134,134,0.0,0.0
2019-04-17,MONAJPY,134,134,134,134,0.0,0.0
2019-04-16,MONAJPY,134,134,134,134,0.0,0.0
2019-04-15,MONAJPY,134,134,134,134,0.0,0.0
2019-04-14,MONAJPY,134,134,134,134,0.0,0.0
2019-04-13,MONAJPY,134,134,134,134,0.0,0.0
2019-04-12,MONAJPY,134,134,134,134,0.0,0.0
2019-04-11,MONAJPY,134,134,134,134,0.0,0.0
2019-04-10,MONAJPY,134,134,134,134,0.0,0.0
2019-04-09,MONAJPY,134,134,134,134,0.0,0.0
2019-04-08,MONAJPY,134,134,134,134,0.0,0.0
2019-04-07,MONAJPY,134,134,134,134,0.0,0.0
2019-04-06,MONAJPY,134,134,134,134,0.0,0.0
