Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume AUD
2019-07-02 04-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-02 03-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-02 02-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-02 01-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-02 12-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 11-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 10-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 09-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 08-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 07-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 06-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 05-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 04-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 03-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 02-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 01-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 12-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 11-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 10-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 09-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 08-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 07-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 06-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 05-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 04-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 03-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 02-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 01-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01 12-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-30 11-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-30 10-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-30 09-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-30 08-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-30 07-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-30 06-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-30 05-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-30 04-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-30 03-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-30 02-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-30 01-PM,BCHAUD,580,580,580,580,0.0,0.0
