Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ADX,Volume ETH
2019-07-03,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-07-02,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-07-01,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-30,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-29,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-28,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-27,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-26,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-25,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-24,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-23,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-22,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-21,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-20,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-19,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-18,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-17,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-16,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-15,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-14,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-13,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-12,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-11,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-10,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-09,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-08,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-07,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-06,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-05,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-04,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-03,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-02,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-06-01,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-05-31,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-05-30,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-05-29,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-05-28,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-05-27,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-05-26,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-05-25,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-05-24,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-05-23,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-05-22,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-05-21,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-05-20,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-05-19,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-05-18,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-05-17,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
2019-05-16,ADXETH,0.0008487,0.0008487,0.0008487,0.0008487,0.0,0.0
