Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume PLN
2019-07-03,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-02,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-07-01,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-30,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-18,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-17,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-16,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-15,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-14,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-13,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-12,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-11,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-10,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-09,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-08,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-07,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-06,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-05,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-04,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-03,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-02,BCHPLN,5527,5527,5527,5527,0.0,0.0
