Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTG,Volume KRW
2019-07-30 07-AM,BTGKRW,21470,21690,21400,21630,1686.04,36411612.83
2019-07-30 06-AM,BTGKRW,21390,21570,21290,21470,564.19,12073736.01
2019-07-30 05-AM,BTGKRW,21320,21390,21260,21390,301.84,6434629.91
2019-07-30 04-AM,BTGKRW,21640,21670,21320,21320,757.96,16292774.1
2019-07-30 03-AM,BTGKRW,21620,21640,21530,21640,331.17,7140032.84
2019-07-30 02-AM,BTGKRW,21630,21690,21500,21620,2503.55,53933973.54
2019-07-30 01-AM,BTGKRW,21820,21820,21630,21630,1089.14,23625146.43
2019-07-30 12-AM,BTGKRW,21890,21890,21540,21820,2433.91,52973075.83
2019-07-29 11-PM,BTGKRW,21900,22040,21710,21890,1109.0,24326592.3
2019-07-29 10-PM,BTGKRW,21980,21980,21710,21900,92.04,2009644.13
2019-07-29 09-PM,BTGKRW,21990,21990,21980,21980,172.19,3786471.71
2019-07-29 08-PM,BTGKRW,21650,22000,21600,21990,268.63,5890835.3
2019-07-29 07-PM,BTGKRW,21830,21830,21560,21650,264.26,5712808.34
2019-07-29 06-PM,BTGKRW,21890,21900,21770,21830,83.84,1831177.91
2019-07-29 05-PM,BTGKRW,22020,22020,21810,21890,147.64,3235643.26
2019-07-29 04-PM,BTGKRW,21700,22210,21610,22020,1149.22,25128327.12
2019-07-29 03-PM,BTGKRW,22050,22180,21700,21700,409.14,8947980.43
2019-07-29 02-PM,BTGKRW,21970,22290,21970,22050,595.86,13243564.81
2019-07-29 01-PM,BTGKRW,22060,22210,21820,21970,1960.55,43030586.98
2019-07-29 12-PM,BTGKRW,22070,22240,21840,22060,1348.0,29701362.32
2019-07-29 11-AM,BTGKRW,22290,22290,22070,22070,306.0,6773217.49
2019-07-29 10-AM,BTGKRW,22130,22290,22130,22290,321.21,7141782.74
2019-07-29 09-AM,BTGKRW,22350,22450,22130,22130,961.09,21398921.17
2019-07-29 08-AM,BTGKRW,22410,22600,22350,22350,409.41,9186611.7
2019-07-29 07-AM,BTGKRW,22380,22450,22320,22410,211.44,4728613.04
2019-07-29 06-AM,BTGKRW,22330,22420,22300,22380,541.6,12111268.16
2019-07-29 05-AM,BTGKRW,22690,22690,22250,22330,1204.57,26950327.49
2019-07-29 04-AM,BTGKRW,22750,22940,22510,22690,1934.93,43732186.09
2019-07-29 03-AM,BTGKRW,23020,23180,22750,22750,133.91,3068573.75
2019-07-29 02-AM,BTGKRW,23270,23460,23020,23020,764.2,17806976.37
2019-07-29 01-AM,BTGKRW,23000,23370,22840,23270,1067.65,24709482.33
2019-07-29 12-AM,BTGKRW,23010,23190,22840,23000,1984.2,45743095.7
2019-07-28 11-PM,BTGKRW,22910,23010,22500,23010,1426.16,32497918.78
2019-07-28 10-PM,BTGKRW,22430,22990,22030,22910,1642.1,36565511.11
2019-07-28 09-PM,BTGKRW,22700,22700,22400,22430,398.28,8985188.72
2019-07-28 08-PM,BTGKRW,22740,22750,22700,22700,265.63,6036223.22
2019-07-28 07-PM,BTGKRW,22860,22860,22740,22740,89.92,2053077.97
2019-07-28 06-PM,BTGKRW,22910,22910,22860,22860,54.47,1245452.77
2019-07-28 05-PM,BTGKRW,22900,22910,22900,22910,102.19,2340755.2
2019-07-28 04-PM,BTGKRW,22730,23100,22700,22900,486.57,11164511.86
2019-07-28 03-PM,BTGKRW,22690,23020,22640,22730,790.96,18132885.33
2019-07-28 02-PM,BTGKRW,22500,22790,22420,22690,668.2,15092383.3
2019-07-28 01-PM,BTGKRW,23050,23110,22500,22500,1144.38,25971422.88
2019-07-28 12-PM,BTGKRW,23030,23050,22880,23050,444.18,10235089.51
2019-07-28 11-AM,BTGKRW,22870,23030,22860,23030,149.33,3431298.41
2019-07-28 10-AM,BTGKRW,23060,23060,22700,22870,850.21,19374174.76
2019-07-28 09-AM,BTGKRW,23020,23060,22920,23060,87.35,2013197.37
2019-07-28 08-AM,BTGKRW,23090,23090,22870,23020,279.01,6405374.69
2019-07-28 07-AM,BTGKRW,23100,23100,23090,23090,134.21,3099972.55
2019-07-28 06-AM,BTGKRW,23050,23100,22960,23100,175.25,4039539.14
2019-07-28 05-AM,BTGKRW,23010,23080,22950,23050,287.09,6605226.05
2019-07-28 04-AM,BTGKRW,22930,23090,22930,23010,272.13,6253116.72
2019-07-28 03-AM,BTGKRW,22770,22930,22760,22930,128.8,2946995.48
2019-07-28 02-AM,BTGKRW,22860,22930,22770,22770,135.01,3091637.91
2019-07-28 01-AM,BTGKRW,22840,22860,22820,22860,65.56,1497356.64
2019-07-28 12-AM,BTGKRW,22940,22940,22700,22840,332.74,7570565.46
2019-07-27 11-PM,BTGKRW,22920,22940,22700,22940,314.74,7187382.39
2019-07-27 10-PM,BTGKRW,22970,23000,22700,22920,286.57,6535894.78
2019-07-27 09-PM,BTGKRW,22870,22970,22720,22970,107.55,2462581.39
2019-07-27 08-PM,BTGKRW,22700,22870,22700,22870,26.51,606047.15
2019-07-27 07-PM,BTGKRW,22740,22880,22700,22700,489.8,11124213.85
2019-07-27 06-PM,BTGKRW,22750,22760,22740,22740,90.59,2060160.18
2019-07-27 05-PM,BTGKRW,22880,22880,22750,22750,243.55,5552888.59
2019-07-27 04-PM,BTGKRW,22820,22970,22820,22880,156.77,3593049.32
2019-07-27 03-PM,BTGKRW,22720,23000,22710,22820,498.16,11433093.14
2019-07-27 02-PM,BTGKRW,22950,22950,22720,22720,231.81,5276674.58
2019-07-27 01-PM,BTGKRW,22490,22960,22490,22950,358.07,8150507.74
2019-07-27 12-PM,BTGKRW,22720,22880,22350,22490,3082.48,69734348.94
2019-07-27 11-AM,BTGKRW,23040,23800,22680,22720,2839.17,65153651.99
2019-07-27 10-AM,BTGKRW,24100,24270,22800,23040,3893.41,91809834.03
2019-07-27 09-AM,BTGKRW,24200,24300,24100,24100,417.54,10099998.23
2019-07-27 08-AM,BTGKRW,24250,24390,24180,24200,152.72,3699416.3
2019-07-27 07-AM,BTGKRW,24430,24430,24250,24250,707.0,17171501.92
2019-07-27 06-AM,BTGKRW,24290,24450,24280,24430,966.44,23534252.11
2019-07-27 05-AM,BTGKRW,24360,24590,24290,24290,1243.87,30338821.91
2019-07-27 04-AM,BTGKRW,24600,24640,24350,24360,653.36,15963936.76
2019-07-27 03-AM,BTGKRW,24570,24670,24500,24600,1170.58,28751284.58
2019-07-27 02-AM,BTGKRW,24380,24570,24280,24570,650.81,15889048.2
2019-07-27 01-AM,BTGKRW,24580,24750,24380,24380,2112.36,51879841.09
2019-07-27 12-AM,BTGKRW,24330,24740,24250,24580,4390.1,107463496.75
2019-07-26 11-PM,BTGKRW,24210,24330,24100,24330,111.76,2707957.68
2019-07-26 10-PM,BTGKRW,24270,24280,24080,24210,638.22,15452598.48
2019-07-26 09-PM,BTGKRW,24220,24270,23990,24270,526.58,12649870.08
2019-07-26 08-PM,BTGKRW,24060,24250,23990,24220,148.58,3580446.14
2019-07-26 07-PM,BTGKRW,24110,24140,23970,24060,341.06,8198956.31
2019-07-26 06-PM,BTGKRW,23870,24110,23870,24110,313.15,7535552.7
2019-07-26 05-PM,BTGKRW,24190,24610,23870,23870,406.14,9731006.43
2019-07-26 04-PM,BTGKRW,23860,24800,23860,24190,1045.03,25340970.0
2019-07-26 03-PM,BTGKRW,23620,23860,23620,23860,97.94,2334592.06
2019-07-26 02-PM,BTGKRW,24030,24030,23620,23620,1450.77,34480074.21
2019-07-26 01-PM,BTGKRW,24080,24120,23880,24030,1022.92,24536605.84
2019-07-26 12-PM,BTGKRW,24210,24350,24030,24080,817.11,19716511.68
2019-07-26 11-AM,BTGKRW,23980,24210,23980,24210,686.5,16573768.37
2019-07-26 10-AM,BTGKRW,23690,24000,23680,23980,1118.11,26609996.33
2019-07-26 09-AM,BTGKRW,23910,23910,23650,23690,982.76,23372469.02
2019-07-26 08-AM,BTGKRW,23630,24030,23630,23910,2093.22,49963875.07
2019-07-26 07-AM,BTGKRW,23970,24230,23520,23630,5682.4,134662993.56
2019-07-26 06-AM,BTGKRW,24700,24700,23810,23970,857.78,20828666.29
2019-07-26 05-AM,BTGKRW,24600,24700,24510,24700,174.33,4280748.39
2019-07-26 04-AM,BTGKRW,24470,24730,24350,24600,551.63,13539298.56
2019-07-26 03-AM,BTGKRW,24320,24580,24310,24470,615.89,15038382.05
2019-07-26 02-AM,BTGKRW,24550,24700,24300,24320,1044.8,25503180.76
2019-07-26 01-AM,BTGKRW,24360,24550,24250,24550,835.21,20318527.11
2019-07-26 12-AM,BTGKRW,25080,25120,24360,24360,1938.49,47982585.33
2019-07-25 11-PM,BTGKRW,25140,25260,25080,25080,207.28,5206838.72
2019-07-25 10-PM,BTGKRW,25080,25140,25070,25140,163.54,4103192.81
2019-07-25 09-PM,BTGKRW,25350,25350,25070,25080,268.61,6743157.41
2019-07-25 08-PM,BTGKRW,25130,25350,25130,25350,126.75,3202020.46
2019-07-25 07-PM,BTGKRW,25350,25350,25130,25130,108.76,2739586.86
2019-07-25 06-PM,BTGKRW,25290,25400,25290,25350,21.25,538926.52
2019-07-25 05-PM,BTGKRW,25210,25480,25210,25290,89.5,2257838.9
2019-07-25 04-PM,BTGKRW,25530,25530,25210,25210,573.39,14579701.63
2019-07-25 03-PM,BTGKRW,25250,25530,25200,25530,160.88,4072434.6
2019-07-25 02-PM,BTGKRW,25220,25400,25120,25250,760.4,19129920.28
2019-07-25 01-PM,BTGKRW,25670,25760,25180,25220,1387.61,35423739.38
2019-07-25 12-PM,BTGKRW,25570,25670,25460,25670,981.51,25111346.05
2019-07-25 11-AM,BTGKRW,25500,25600,25500,25570,196.3,5010790.74
2019-07-25 10-AM,BTGKRW,25630,25630,25440,25500,486.59,12385141.51
2019-07-25 09-AM,BTGKRW,25430,25650,25430,25630,722.56,18498836.99
2019-07-25 08-AM,BTGKRW,25650,25660,25100,25430,2103.47,53153824.73
2019-07-25 07-AM,BTGKRW,25670,25680,25510,25650,509.35,13046476.01
2019-07-25 06-AM,BTGKRW,25350,25680,25350,25670,404.73,10335909.37
