Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume AUD
2019-07-03,BCHAUD,580,580,580,580,0.0,0.0
2019-07-02,BCHAUD,580,580,580,580,0.0,0.0
2019-07-01,BCHAUD,580,580,580,580,0.0,0.0
2019-06-30,BCHAUD,580,580,580,580,0.0,0.0
2019-06-29,BCHAUD,580,580,580,580,0.0,0.0
2019-06-28,BCHAUD,580,580,580,580,0.0,0.0
2019-06-27,BCHAUD,580,580,580,580,0.0,0.0
2019-06-26,BCHAUD,580,580,580,580,0.0,0.0
2019-06-25,BCHAUD,580,580,580,580,0.0,0.0
2019-06-24,BCHAUD,580,580,580,580,0.0,0.0
2019-06-23,BCHAUD,580,580,580,580,0.0,0.0
2019-06-22,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18,BCHAUD,580,580,580,580,0.0,0.0
2019-06-17,BCHAUD,580,580,580,580,0.0,0.0
2019-06-16,BCHAUD,580,580,580,580,0.0,0.0
2019-06-15,BCHAUD,580,580,580,580,0.0,0.0
2019-06-14,BCHAUD,580,580,580,580,0.0,0.0
2019-06-13,BCHAUD,580,580,580,580,0.0,0.0
2019-06-12,BCHAUD,580,580,580,580,0.0,0.0
2019-06-11,BCHAUD,580,580,580,580,0.0,0.0
2019-06-10,BCHAUD,580,580,580,580,0.0,0.0
2019-06-09,BCHAUD,580,580,580,580,0.0,0.0
2019-06-08,BCHAUD,580,580,580,580,0.0,0.0
2019-06-07,BCHAUD,580,580,580,580,0.0,0.0
2019-06-06,BCHAUD,580,580,580,580,0.0,0.0
2019-06-05,BCHAUD,580,580,580,580,0.0,0.0
2019-06-04,BCHAUD,580,580,580,580,0.0,0.0
2019-06-03,BCHAUD,580,580,580,580,0.0,0.0
2019-06-02,BCHAUD,580,580,580,580,0.0,0.0
2019-06-01,BCHAUD,580,580,580,580,0.0,0.0
2019-05-31,BCHAUD,580,580,580,580,0.0,0.0
2019-05-30,BCHAUD,580,580,580,580,0.0,0.0
2019-05-29,BCHAUD,580,580,580,580,0.0,0.0
2019-05-28,BCHAUD,580,580,580,580,0.0,0.0
2019-05-27,BCHAUD,580,580,580,580,0.0,0.0
2019-05-26,BCHAUD,580,580,580,580,0.0,0.0
2019-05-25,BCHAUD,580,580,580,580,0.0,0.0
2019-05-24,BCHAUD,580,580,580,580,0.0,0.0
2019-05-23,BCHAUD,580,580,580,580,0.0,0.0
2019-05-22,BCHAUD,580,580,580,580,0.0,0.0
2019-05-21,BCHAUD,580,580,580,580,0.0,0.0
2019-05-20,BCHAUD,580,580,580,580,0.0,0.0
2019-05-19,BCHAUD,580,580,580,580,0.0,0.0
2019-05-18,BCHAUD,580,580,580,580,0.0,0.0
2019-05-17,BCHAUD,580,580,580,580,0.0,0.0
2019-05-16,BCHAUD,580,580,580,580,0.0,0.0
2019-05-15,BCHAUD,580,580,580,580,0.0,0.0
2019-05-14,BCHAUD,580,580,580,580,0.0,0.0
2019-05-13,BCHAUD,580,580,580,580,0.0,0.0
2019-05-12,BCHAUD,580,580,580,580,0.0,0.0
2019-05-11,BCHAUD,580,580,580,580,0.0,0.0
2019-05-10,BCHAUD,580,580,580,580,0.0,0.0
2019-05-09,BCHAUD,580,580,580,580,0.0,0.0
2019-05-08,BCHAUD,580,580,580,580,0.0,0.0
2019-05-07,BCHAUD,580,580,580,580,0.0,0.0
2019-05-06,BCHAUD,580,580,580,580,0.0,0.0
2019-05-05,BCHAUD,580,580,580,580,0.0,0.0
2019-05-04,BCHAUD,580,580,580,580,0.0,0.0
2019-05-03,BCHAUD,580,580,580,580,0.0,0.0
2019-05-02,BCHAUD,580,580,580,580,0.0,0.0
2019-05-01,BCHAUD,580,580,580,580,0.0,0.0
2019-04-30,BCHAUD,580,580,580,580,0.0,0.0
2019-04-29,BCHAUD,580,580,580,580,0.0,0.0
2019-04-28,BCHAUD,580,580,580,580,0.0,0.0
2019-04-27,BCHAUD,580,580,580,580,0.0,0.0
2019-04-26,BCHAUD,580,580,580,580,0.0,0.0
2019-04-25,BCHAUD,580,580,580,580,0.0,0.0
2019-04-24,BCHAUD,580,580,580,580,0.0,0.0
2019-04-23,BCHAUD,580,580,580,580,0.0,0.0
2019-04-22,BCHAUD,580,580,580,580,0.0,0.0
2019-04-21,BCHAUD,580,580,580,580,0.0,0.0
2019-04-20,BCHAUD,580,580,580,580,0.0,0.0
2019-04-19,BCHAUD,580,580,580,580,0.0,0.0
2019-04-18,BCHAUD,580,580,580,580,0.0,0.0
2019-04-17,BCHAUD,580,580,580,580,0.0,0.0
2019-04-16,BCHAUD,580,580,580,580,0.0,0.0
2019-04-15,BCHAUD,580,580,580,580,0.0,0.0
2019-04-14,BCHAUD,580,580,580,580,0.0,0.0
2019-04-13,BCHAUD,580,580,580,580,0.0,0.0
2019-04-12,BCHAUD,580,580,580,580,0.0,0.0
2019-04-11,BCHAUD,580,580,580,580,0.0,0.0
2019-04-10,BCHAUD,580,580,580,580,0.0,0.0
2019-04-09,BCHAUD,580,580,580,580,0.0,0.0
2019-04-08,BCHAUD,580,580,580,580,0.0,0.0
2019-04-07,BCHAUD,580,580,580,580,0.0,0.0
2019-04-06,BCHAUD,580,580,580,580,0.0,0.0
2019-04-05,BCHAUD,580,580,580,580,0.0,0.0
2019-04-04,BCHAUD,580,580,580,580,0.0,0.0
2019-04-03,BCHAUD,580,580,580,580,0.0,0.0
2019-04-02,BCHAUD,580,580,580,580,0.0,0.0
2019-04-01,BCHAUD,580,580,580,580,0.0,0.0
