Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HUSD
2018-04-16,DASHUSD,390.71,391.68,361.64,373.18,7406.71,2778449.19
2018-04-15,DASHUSD,365.97,397.53,365.97,390.71,5547.52,2117047.05
2018-04-14,DASHUSD,362.77,384.67,358.71,365.97,7809.41,2892928.86
2018-04-13,DASHUSD,367.14,400.93,356.36,362.77,6968.23,2612836.04
2018-04-12,DASHUSD,317.24,367.17,312.24,367.14,7870.18,2644699.61
2018-04-11,DASHUSD,310.37,317.4,306,317.24,7439.14,2305664.76
2018-04-10,DASHUSD,310,312.3,302.16,310.37,3150.18,970431.89
2018-04-09,DASHUSD,320.02,332.17,303.69,310,207.83,65992.61
2018-04-08,DASHUSD,307.21,323.46,306.33,320.02,2862.19,886283.08
2018-04-07,DASHUSD,295.73,318.35,294.52,307.21,6350.05,1976101.88
2018-04-06,DASHUSD,309.4,312.86,291.53,295.73,7646.68,2284631.95
2018-04-05,DASHUSD,310.55,316.02,299.8,309.4,7731.49,2401695.91
2018-04-04,DASHUSD,350.03,350.54,307.37,310.55,8579.83,2807713.95
2018-04-03,DASHUSD,321,351,321,350.03,6628.8,2250709.59
2018-04-02,DASHUSD,301.98,324.89,297.91,321,5732.92,1787375.08
2018-04-01,DASHUSD,315.79,321.5,295.76,301.98,7895.12,2439049.44
2018-03-31,DASHUSD,321.34,339.71,313.01,315.79,6073.06,1993749.29
2018-03-30,DASHUSD,339.12,344.38,317.88,321.34,6024.31,1992756.52
2018-03-29,DASHUSD,354.74,357.49,324.22,339.12,8628.72,2937571.57
2018-03-28,DASHUSD,359.91,373.42,352.12,354.74,5566.85,2013600.11
2018-03-27,DASHUSD,397.26,400.44,358.51,359.91,6683.93,2520355.64
2018-03-26,DASHUSD,420.18,423.84,378.24,397.26,7044.2,2825054.79
2018-03-25,DASHUSD,429.33,431.49,417.36,420.18,5078.2,2154699.27
2018-03-24,DASHUSD,442.13,472,429.28,429.33,5198.13,2345371.02
2018-03-23,DASHUSD,419.93,443.54,400.79,442.13,5710.88,2381285.16
2018-03-22,DASHUSD,444.46,449.85,406.8,419.93,5492.37,2357995.53
2018-03-21,DASHUSD,436.81,463.04,433.2,444.46,4886.87,2187770.05
2018-03-20,DASHUSD,422.73,456.41,407.71,436.81,5614.86,2397676.54
2018-03-19,DASHUSD,410.8,423.07,380,422.73,5758.69,2296034.33
2018-03-18,DASHUSD,401.23,412.02,358.03,410.8,6541.45,2513139.71
2018-03-17,DASHUSD,440.84,441.35,396.05,401.23,5220.79,2192502.64
2018-03-16,DASHUSD,423.57,448,410,440.84,5243.56,2249203.56
2018-03-15,DASHUSD,444.48,448.48,406.99,423.57,4873.79,2095831.14
2018-03-14,DASHUSD,495.9,500.88,439,444.48,4927.86,2350289.41
2018-03-13,DASHUSD,509.7,519.21,486,495.9,3883.51,1943093.33
2018-03-12,DASHUSD,534.87,555,492.08,509.7,4512.4,2394354.29
2018-03-11,DASHUSD,496.15,556.49,482.81,534.87,4508.24,2315938.43
2018-03-10,DASHUSD,517.18,543.47,490.29,496.15,3806.25,1969867.57
2018-03-09,DASHUSD,508.91,520.88,467.02,517.18,5682.64,2775419.49
2018-03-08,DASHUSD,530.81,543.77,505.06,508.91,3676.01,1927445.74
2018-03-07,DASHUSD,590.33,601,523.82,530.81,3982.47,2222516.74
2018-03-06,DASHUSD,623.78,623.78,567.11,590.33,4291.78,2556798.79
2018-03-05,DASHUSD,627.16,631.77,615.62,623.78,3833.09,2395570.26
2018-03-04,DASHUSD,618.77,629.1,602.65,627.16,3397.18,2088909.08
2018-03-03,DASHUSD,612.56,629.77,602.17,618.77,3820.06,2354613.17
2018-03-02,DASHUSD,625.6,630,605.56,612.56,3338.3,2063538.96
2018-03-01,DASHUSD,594.02,629.54,586.7,625.6,3244.95,1966728.02
2018-02-28,DASHUSD,618.12,625.48,591.9,594.02,4076.23,2486036.93
2018-02-27,DASHUSD,625.29,648.22,610.31,618.12,4200.89,2627959.08
2018-02-26,DASHUSD,600.16,637.57,588.29,625.29,3526.35,2163990.99
2018-02-25,DASHUSD,608.57,614.02,587,600.16,3629.91,2185244.97
2018-02-24,DASHUSD,646.86,658.81,592.68,608.57,3466.98,2154836.73
2018-02-23,DASHUSD,643.25,669.31,610.27,646.86,3495.95,2230471.03
2018-02-22,DASHUSD,693.09,709.7,617.85,643.25,3579.96,2358553.56
2018-02-21,DASHUSD,708.32,742.67,682.94,693.09,4017.4,2846309.1
2018-02-20,DASHUSD,731.48,750,705.96,708.32,4765.89,3500703.9
2018-02-19,DASHUSD,695.38,735.77,692.12,731.48,2919.26,2093649.02
2018-02-18,DASHUSD,741.21,748.22,666.4,695.38,3562.39,2528250.07
2018-02-17,DASHUSD,694.09,757.13,689.62,741.21,3666.04,2670501.12
2018-02-16,DASHUSD,698.54,726.31,678.93,694.09,3082.44,2149971.29
2018-02-15,DASHUSD,676.65,705.59,660.02,698.54,4212.16,2888109.29
2018-02-14,DASHUSD,594.61,688.36,594.46,676.65,4863.57,3151768.41
2018-02-13,DASHUSD,621.52,627.54,581.46,594.61,3298.06,1984029.99
2018-02-12,DASHUSD,579.71,625.66,578.84,621.52,3548.37,2175789.0
2018-02-11,DASHUSD,632.57,632.8,557.87,579.71,3439.8,2033709.7
2018-02-10,DASHUSD,638.72,676.73,601.61,632.57,4249.53,2730135.85
2018-02-09,DASHUSD,611.36,641.41,585.4,638.72,4483.96,2737790.38
2018-02-08,DASHUSD,523.86,614.38,522.55,611.36,4644.22,2678345.05
2018-02-07,DASHUSD,532.45,585.96,496.82,523.86,4603.62,2498123.07
2018-02-06,DASHUSD,457.25,540.91,388.85,532.45,8564.22,3849778.59
2018-02-05,DASHUSD,545.37,558.19,444.78,457.25,6870.05,3459000.91
2018-02-04,DASHUSD,638.09,652.75,539.89,545.37,5263.96,3130036.89
2018-02-03,DASHUSD,597.91,650.67,537.14,638.09,4530.4,2743666.58
2018-02-02,DASHUSD,621.17,624.58,454.82,597.91,7615.49,4211265.39
2018-02-01,DASHUSD,705.64,710,590.21,621.17,5784.51,3791062.59
2018-01-31,DASHUSD,683.18,706.99,651.28,705.64,5311.0,3623557.31
2018-01-30,DASHUSD,767.47,781.02,674.2,683.18,5756.36,4214251.09
2018-01-29,DASHUSD,822.66,828.31,750.5,767.47,5724.56,4466255.7
2018-01-28,DASHUSD,777.43,822.72,766.25,822.66,4886.59,3893702.13
2018-01-27,DASHUSD,776.28,786.79,745.97,777.43,4896.51,3766529.88
2018-01-26,DASHUSD,788.57,811.71,731.64,776.28,4893.52,3770541.18
2018-01-25,DASHUSD,784.17,826.11,778.17,788.57,2919.22,2332687.04
2018-01-24,DASHUSD,755.97,793.28,726.63,782.33,4849.53,3675137.33
2018-01-23,DASHUSD,755.83,794.81,685.18,755.97,4905.19,3653670.13
2018-01-22,DASHUSD,813.54,837.37,701,755.83,4837.0,3770002.83
2018-01-21,DASHUSD,920.43,924.82,785.08,813.54,4895.81,4151911.62
2018-01-20,DASHUSD,840.14,964.02,829.29,920.43,4450.36,4028568.01
2018-01-19,DASHUSD,811.82,861.24,776.8,840.14,5077.25,4190296.31
2018-01-18,DASHUSD,791.57,883.81,744.48,811.82,4154.96,3419690.25
2018-01-17,DASHUSD,748.68,829.79,611.84,791.57,5226.07,3731435.65
2018-01-16,DASHUSD,929.44,935.18,626.18,748.68,6656.12,5349032.83
2018-01-15,DASHUSD,995.44,1019.37,925.18,929.44,3783.07,3724360.11
2018-01-14,DASHUSD,1095.89,1109.45,969.1,995.44,3646.78,3751396.22
2018-01-13,DASHUSD,1040.96,1127.78,1036.08,1095.89,3284.46,3586378.61
2018-01-12,DASHUSD,990.77,1059,956.9,1040.96,3552.42,3655105.04
2018-01-11,DASHUSD,1096.75,1108.01,950.01,990.77,4664.32,4783244.3
2018-01-10,DASHUSD,1097.16,1104.33,1013,1096.75,4050.51,4301255.67
2018-01-09,DASHUSD,1072.69,1135.47,1040.85,1097.16,3691.28,4040925.45
2018-01-08,DASHUSD,1159.68,1180,968.86,1072.69,4089.75,4487894.92
2018-01-07,DASHUSD,1157.87,1248.05,1141.91,1159.68,3159.12,3774086.12
2018-01-06,DASHUSD,1075.56,1179.69,1055.43,1157.87,3397.03,3857452.87
2018-01-05,DASHUSD,1114.7,1154.88,1061.31,1075.56,3815.55,4264380.58
2018-01-04,DASHUSD,1125,1195,1038.08,1114.7,3886.44,4302706.95
2018-01-03,DASHUSD,1153.03,1165.19,1085.05,1125,3201.12,3583812.07
2018-01-02,DASHUSD,1014.36,1199,1014.36,1153.03,5328.13,5838010.06
2018-01-01,DASHUSD,1010.67,1032.79,965.44,1014.36,3900.38,3904659.4
2017-12-31,DASHUSD,939.38,1051.57,920.81,1010.67,3997.03,3933699.92
2017-12-30,DASHUSD,1087.68,1094.67,875.52,939.38,5022.74,4856516.22
2017-12-29,DASHUSD,1095.97,1141.98,1023.68,1087.68,3057.22,3318347.29
2017-12-28,DASHUSD,1134.74,1138.69,985,1095.97,3863.92,4005304.42
2017-12-27,DASHUSD,1176.75,1201.66,1096.46,1134.74,4603.44,5334309.14
2017-12-26,DASHUSD,1108.06,1176.75,1103.2,1176.75,3967.44,4536565.92
2017-12-25,DASHUSD,1096.39,1174.98,1071.31,1108.06,3311.63,3693514.89
2017-12-24,DASHUSD,1157.64,1158.87,953.79,1096.39,3920.41,4129999.77
2017-12-23,DASHUSD,1161.91,1255.36,1079.99,1157.64,3214.98,3797296.81
2017-12-22,DASHUSD,1350.69,1400.33,797.18,1161.91,8952.37,9713329.2
2017-12-21,DASHUSD,1416.26,1516.66,1271.19,1350.69,5783.22,7949360.15
2017-12-20,DASHUSD,1125.72,1561.17,10,1416.26,6156.68,7460300.96
2017-12-19,DASHUSD,1138.82,1221.09,1063.15,1125.72,6901.37,7953109.33
2017-12-18,DASHUSD,1084.96,1180,1014.93,1138.82,4003.38,4359453.09
2017-12-17,DASHUSD,987.71,1143.63,980.68,1084.96,5082.34,5400356.15
2017-12-16,DASHUSD,891.58,989.74,870,987.71,4899.81,4420956.47
2017-12-15,DASHUSD,925.39,935.59,829.53,891.58,4914.31,4295550.8
2017-12-14,DASHUSD,866.6,957.14,839.43,925.39,3941.66,3562289.45
2017-12-13,DASHUSD,893.91,907,780.01,866.6,5730.0,4984113.97
2017-12-12,DASHUSD,756.81,937.38,732.19,893.91,7291.64,5979309.96
2017-12-11,DASHUSD,673.95,759.01,673.95,756.81,6503.71,4673432.08
2017-12-10,DASHUSD,704.67,704.67,624.88,673.95,8612.97,5773676.41
2017-12-09,DASHUSD,698.48,750,687.62,704.67,7432.23,5364987.64
2017-12-08,DASHUSD,660.7,750,621.15,698.48,7866.73,5326049.77
2017-12-07,DASHUSD,670.16,689.48,619.59,660.7,7782.77,5089455.39
2017-12-06,DASHUSD,734.42,762.1,652.07,670.16,8646.61,6155866.52
2017-12-05,DASHUSD,763.96,769.02,730.89,734.42,6158.05,4627752.33
2017-12-04,DASHUSD,759.67,769.17,725,763.96,5103.06,3840271.93
2017-12-03,DASHUSD,766.33,808.12,723.06,759.67,8587.69,6603157.87
2017-12-02,DASHUSD,782.92,790.15,750.81,766.58,5801.28,4447030.25
2017-12-01,DASHUSD,757.82,795.91,727.33,782.92,6256.05,4773859.64
2017-11-30,DASHUSD,680.28,819,645.65,757.82,7868.08,5796945.73
2017-11-29,DASHUSD,611.55,762.51,599.78,680.28,6374.97,4143558.47
2017-11-28,DASHUSD,623.43,630.19,598.93,611.55,7348.06,4523395.97
2017-11-27,DASHUSD,620,638.64,604.02,623.43,5712.63,3561380.03
2017-11-26,DASHUSD,639.28,645.34,610.01,620,6526.98,4074722.16
2017-11-25,DASHUSD,560.18,655,559.4,639.28,8715.6,5293951.89
2017-11-24,DASHUSD,559.83,568.09,542.84,560.18,7005.0,3902015.27
2017-11-23,DASHUSD,574.39,581.48,551,559.83,7693.99,4358005.5
2017-11-22,DASHUSD,491.98,592.96,491.22,574.39,9681.36,5290581.63
2017-11-21,DASHUSD,476.9,524.92,453.39,491.98,12512.5,6167420.95
2017-11-20,DASHUSD,442.49,493.3,437.85,476.9,10887.86,4922589.4
2017-11-19,DASHUSD,454.6,458.42,430.01,442.49,8179.96,3637263.65
2017-11-18,DASHUSD,423.31,477.32,420.54,454.6,10323.37,4620460.72
2017-11-17,DASHUSD,420.08,442.59,411.01,423.31,9106.53,3835036.42
2017-11-16,DASHUSD,421.29,425.57,409.19,420.08,10566.66,4402401.58
2017-11-15,DASHUSD,421.77,442.52,410,421.29,8908.64,3778513.16
2017-11-14,DASHUSD,420.8,439.93,403.54,421.77,8404.01,3526644.14
2017-11-13,DASHUSD,495.42,503.22,394.3,420.8,12206.92,5236049.6
2017-11-12,DASHUSD,342.81,505.91,322.67,495.42,18935.32,7324903.56
2017-11-11,DASHUSD,326.49,350.17,315.47,342.81,11910.69,3991336.64
2017-11-10,DASHUSD,324.13,352.48,303.47,326.49,14120.26,4635646.52
2017-11-09,DASHUSD,313.26,337.68,311.32,324.13,11789.89,3848663.93
2017-11-08,DASHUSD,289.43,316.23,285.41,313.26,16512.16,4970540.07
2017-11-07,DASHUSD,273.42,302.36,273.31,289.43,10823.3,3111697.04
2017-11-06,DASHUSD,272.36,279.22,267.17,273.42,14159.26,3868674.08
2017-11-05,DASHUSD,274.02,276.51,269.27,272.36,12791.35,3484982.61
2017-11-04,DASHUSD,277.9,281.55,266.76,274.02,13598.01,3712623.35
2017-11-03,DASHUSD,262.49,279.82,259.28,277.9,13329.97,3569566.58
2017-11-02,DASHUSD,269.65,271.5,246.89,262.49,19047.02,4986023.63
2017-11-01,DASHUSD,277.18,278.99,269.08,269.65,12314.31,3372359.9
2017-10-31,DASHUSD,285.53,285.91,276.3,277.18,12551.65,3535726.79
2017-10-30,DASHUSD,282.99,288.5,281.77,285.53,11015.95,3140947.34
2017-10-29,DASHUSD,272.74,288.96,272,282.99,84932.8,23666507.42
