Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HETH
2019-07-03,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-07-02,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-07-01,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-30,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-29,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-28,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-27,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-26,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-25,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-24,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-23,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-22,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-21,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-20,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-19,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-18,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-17,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-16,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-15,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-14,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-13,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-12,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-11,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-10,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-09,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-08,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-07,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-06,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-05,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-04,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-03,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-02,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-06-01,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-31,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-30,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-29,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-28,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-27,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-26,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-25,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-24,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-23,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-22,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-21,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-20,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-19,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-18,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-17,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-16,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-15,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-14,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-13,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-12,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-11,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-10,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-09,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-08,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-07,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-06,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-05,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
2019-05-04,DASHETH,0.6216,0.6216,0.6216,0.6216,0.0,0.0
