Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume EUR
2019-07-03,BCHEUR,358.79,358.79,358.79,358.79,0.0,0.0
2019-07-02,BCHEUR,364.28,364.28,345.92,358.79,5.319,1869.91
2019-07-01,BCHEUR,349.71,364.28,348.51,364.28,13.87,4945.9
2019-06-30,BCHEUR,394,394,349.71,349.71,7.232,2551.65
2019-06-29,BCHEUR,381.2,394,381.2,394,0.1483,58.44
2019-06-28,BCHEUR,367,381.2,352.15,381.2,0.8901,332.25
2019-06-27,BCHEUR,423.01,429.36,346.3,367,84.86,31528.38
2019-06-26,BCHEUR,419.02,451.51,400,423.01,46.72,20201.42
2019-06-25,BCHEUR,412.31,537,407.57,419.02,22.34,9300.13
2019-06-24,BCHEUR,416.8,416.8,412.31,412.31,2.61,1081.42
2019-06-23,BCHEUR,400.84,417.99,400.84,416.8,0.3633,151.68
2019-06-22,BCHEUR,384.52,420.99,357.98,400.84,3.982,1514.4
2019-06-21,BCHEUR,367.12,384.52,367.12,384.52,22.87,8634.65
2019-06-20,BCHEUR,365.01,378,361.27,367.12,28.92,10563.9
2019-06-19,BCHEUR,366.26,373.24,365.01,365.01,20.0,7430.63
2019-06-18,BCHEUR,385.86,413.86,361.2,366.26,63.86,23546.56
2019-06-17,BCHEUR,382.91,415,351.01,385.86,92.0,35291.01
2019-06-16,BCHEUR,362.23,382.96,362.23,382.91,21.6,8230.24
2019-06-15,BCHEUR,362.23,362.23,362.23,362.23,0.0,0.0
2019-06-14,BCHEUR,371.04,371.04,362.23,362.23,12.13,4407.79
2019-06-13,BCHEUR,347.31,372.67,347.31,371.04,7.559,2775.91
2019-06-12,BCHEUR,344.33,353.14,342.71,347.31,8.846,3092.15
2019-06-11,BCHEUR,342.31,344.33,341.99,344.33,3.819,1313.51
2019-06-10,BCHEUR,336.6,342.31,336.6,342.31,0.07917,27.1
2019-06-09,BCHEUR,336.6,336.6,336.6,336.6,0.0,0.0
2019-06-08,BCHEUR,360.43,360.43,336.6,336.6,0.272,93.33
2019-06-07,BCHEUR,330,360.43,330,360.43,1.98,701.71
2019-06-06,BCHEUR,357,357,330,330,0.225,76.22
2019-06-05,BCHEUR,337,357,337,357,0.03,10.71
2019-06-04,BCHEUR,387.08,398.03,337,337,3.38,1195.36
2019-06-03,BCHEUR,391.7,393,387.08,387.08,0.09689,37.64
2019-06-02,BCHEUR,391.7,391.7,391.7,391.7,0.0,0.0
2019-06-01,BCHEUR,379.28,391.7,379.28,391.7,0.0662,25.93
2019-05-31,BCHEUR,379.28,379.28,379.28,379.28,0.0,0.0
2019-05-30,BCHEUR,409.2,427.46,369.2,379.28,29.99,11809.48
2019-05-29,BCHEUR,385.83,409.2,385.83,409.2,1.09,437.29
2019-05-28,BCHEUR,389.76,392,382.82,385.83,6.96,2711.0
2019-05-27,BCHEUR,386.4,399.98,380.4,389.76,18.05,7024.22
2019-05-26,BCHEUR,355.02,390,355.01,386.4,1.66,631.49
2019-05-25,BCHEUR,371.33,371.33,355.02,355.02,0.06941,24.64
2019-05-24,BCHEUR,363,371.33,363,371.33,1.58,575.81
2019-05-23,BCHEUR,370.96,399.95,335.7,363,14.33,4986.48
2019-05-22,BCHEUR,385,459.99,352.49,370.96,9.96,3644.59
2019-05-21,BCHEUR,363.09,459.99,360,385,16.93,6502.85
2019-05-20,BCHEUR,379.06,379.06,363.09,363.09,0.3591,131.43
2019-05-19,BCHEUR,357.97,379.06,357.73,379.06,1.14,407.96
2019-05-18,BCHEUR,310,357.97,310,357.97,0.491,175.76
2019-05-17,BCHEUR,360.6,360.6,310,310,7.44,2361.76
2019-05-16,BCHEUR,366.42,375.1,353.21,360.6,0.8732,316.0
2019-05-15,BCHEUR,344.2,366.42,325.12,366.42,6.53,2277.78
2019-05-14,BCHEUR,350,594,328.57,344.2,38.6,13727.21
2019-05-13,BCHEUR,286.25,360,286.25,350,37.67,13243.97
2019-05-12,BCHEUR,305,329.99,286.25,286.25,3.18,993.36
2019-05-11,BCHEUR,257.57,317.19,255.01,305,7.3,2118.19
2019-05-10,BCHEUR,246.07,261.33,246.07,257.57,12.67,3292.51
2019-05-09,BCHEUR,251.98,281.79,246.07,246.07,9.34,2382.78
2019-05-08,BCHEUR,252.44,255.69,230.11,251.98,12.79,3187.21
2019-05-07,BCHEUR,256.14,256.14,256.14,256.14,0.03801,9.74
2019-05-06,BCHEUR,254.8,258.71,254.8,256.14,3.09,797.33
2019-05-05,BCHEUR,254.8,254.8,254.8,254.8,0.06895,17.57
