Created on 08-11-2019,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1565481600.0,2019-08-11 00:00:00,XRPAUD,0.4403,0.4403,0.4403,0.4403,0.0
1565395200.0,2019-08-10 00:00:00,XRPAUD,0.437,0.4897,0.4303,0.4403,151146.0
1565308800.0,2019-08-09 00:00:00,XRPAUD,0.4532,0.4886,0.43,0.437,157686.2321
1565222400.0,2019-08-08 00:00:00,XRPAUD,0.4552,0.4682,0.4449,0.4532,132680.768
1565136000.0,2019-08-07 00:00:00,XRPAUD,0.4571,0.4653,0.45,0.4552,74622.0
1565049600.0,2019-08-06 00:00:00,XRPAUD,0.471,0.4966,0.4465,0.4525,129055.0235
1564963200.0,2019-08-05 00:00:00,XRPAUD,0.4672,0.4908,0.4672,0.471,93181.6667
1564876800.0,2019-08-04 00:00:00,XRPAUD,0.4672,0.4672,0.4672,0.4672,0.0
1564790400.0,2019-08-03 00:00:00,XRPAUD,0.4601,0.471,0.4542,0.4672,45022.75
1564704000.0,2019-08-02 00:00:00,XRPAUD,0.4612,0.4716,0.4508,0.4601,73144.0
1564617600.0,2019-08-01 00:00:00,XRPAUD,0.4651,0.4659,0.4514,0.4612,96539.5574
1564531200.0,2019-07-31 00:00:00,XRPAUD,0.4637,0.4659,0.4574,0.4651,53236.0
1564444800.0,2019-07-30 00:00:00,XRPAUD,0.4469,0.4664,0.4456,0.4637,57783.0
1564358400.0,2019-07-29 00:00:00,XRPAUD,0.4525,0.4607,0.4449,0.4469,52634.5
1564272000.0,2019-07-28 00:00:00,XRPAUD,0.4571,0.4652,0.4445,0.4525,55636.0
1564185600.0,2019-07-27 00:00:00,XRPAUD,0.4696,0.5171,0.4453,0.4571,63866.0
1564099200.0,2019-07-26 00:00:00,XRPAUD,0.4538,0.478,0.4504,0.4696,63643.0
1564012800.0,2019-07-25 00:00:00,XRPAUD,0.4541,0.4743,0.4504,0.4561,60645.7337
1563926400.0,2019-07-24 00:00:00,XRPAUD,0.4443,0.461,0.4354,0.4541,62565.0
1563840000.0,2019-07-23 00:00:00,XRPAUD,0.4607,0.6026,0.4372,0.4435,68340.99
1563753600.0,2019-07-22 00:00:00,XRPAUD,0.4673,0.4766,0.4458,0.4607,64670.6088
1563667200.0,2019-07-21 00:00:00,XRPAUD,0.4766,0.4793,0.4546,0.4673,70743.0
1563580800.0,2019-07-20 00:00:00,XRPAUD,0.4561,0.4892,0.4518,0.4766,74035.0
1563494400.0,2019-07-19 00:00:00,XRPAUD,0.4509,0.4625,0.4404,0.4561,63901.1893
1563408000.0,2019-07-18 00:00:00,XRPAUD,0.4499,0.4669,0.4344,0.4509,83485.0
1563321600.0,2019-07-17 00:00:00,XRPAUD,0.4222,0.698,0.4189,0.4484,68527.0
1563235200.0,2019-07-16 00:00:00,XRPAUD,0.451,0.4582,0.4181,0.4222,71493.0011
1563148800.0,2019-07-15 00:00:00,XRPAUD,0.4449,0.4622,0.4257,0.451,85047.8065
1563062400.0,2019-07-14 00:00:00,XRPAUD,0.4767,0.4785,0.4378,0.439,76935.4
1562976000.0,2019-07-13 00:00:00,XRPAUD,0.4926,0.4981,0.4681,0.4767,70820.0
1562889600.0,2019-07-12 00:00:00,XRPAUD,0.4748,0.5072,0.4627,0.4926,76661.0
1562803200.0,2019-07-11 00:00:00,XRPAUD,0.5201,0.6328,0.4638,0.4719,200973.8878
1562716800.0,2019-07-10 00:00:00,XRPAUD,0.5577,0.5966,0.5,0.5201,100079.0
1562630400.0,2019-07-09 00:00:00,XRPAUD,0.5674,0.7698,0.5499,0.5577,76778.6206
1562544000.0,2019-07-08 00:00:00,XRPAUD,0.5637,0.7896,0.5555,0.5674,78266.1
1562457600.0,2019-07-07 00:00:00,XRPAUD,0.5565,0.5742,0.5533,0.5638,63743.7921
1562371200.0,2019-07-06 00:00:00,XRPAUD,0.545,0.7748,0.5421,0.5565,60843.0
1562284800.0,2019-07-05 00:00:00,XRPAUD,0.5505,0.5566,0.5345,0.545,69937.7273
1562198400.0,2019-07-04 00:00:00,XRPAUD,0.5793,0.5793,0.5505,0.5505,63285.4449
1562112000.0,2019-07-03 00:00:00,XRPAUD,0.5617,0.5833,0.5606,0.5793,50116.1967
1562025600.0,2019-07-02 00:00:00,XRPAUD,0.5769,0.5908,0.5436,0.5617,126158.1137
1561939200.0,2019-07-01 00:00:00,XRPAUD,0.561,0.7369,0.55,0.5769,104008.2915
1561852800.0,2019-06-30 00:00:00,XRPAUD,0.589,0.6085,0.561,0.561,8593.423
1561766400.0,2019-06-29 00:00:00,XRPAUD,0.5988,0.6001,0.589,0.589,260.0
1561680000.0,2019-06-28 00:00:00,XRPAUD,0.5796,0.9099,0.564,0.5988,41861.2889
1561593600.0,2019-06-27 00:00:00,XRPAUD,0.6619,0.9662,0.5578,0.5803,115081.2108
1561507200.0,2019-06-26 00:00:00,XRPAUD,0.7,2.0659,0.6304,0.6619,55646.4707
1561420800.0,2019-06-25 00:00:00,XRPAUD,0.6727,0.7359,0.6644,0.7,36369.2331
1561334400.0,2019-06-24 00:00:00,XRPAUD,0.6746,0.6954,0.6451,0.6727,22182.1749
1561248000.0,2019-06-23 00:00:00,XRPAUD,0.6797,0.7008,0.665,0.6746,16818.4631
1561161600.0,2019-06-22 00:00:00,XRPAUD,0.6408,0.7341,0.6374,0.6773,24292.2665
1561075200.0,2019-06-21 00:00:00,XRPAUD,0.6269,0.6519,0.6188,0.6408,12994.9199
1560988800.0,2019-06-20 00:00:00,XRPAUD,0.6338,0.6371,0.6065,0.6269,29947.0523
1560902400.0,2019-06-19 00:00:00,XRPAUD,0.621,0.6418,0.6135,0.6338,23443.0
1560816000.0,2019-06-18 00:00:00,XRPAUD,0.6504,0.666,0.6046,0.621,21951.5324
1560729600.0,2019-06-17 00:00:00,XRPAUD,0.6155,0.6706,0.5966,0.6504,16859.1691
1560643200.0,2019-06-16 00:00:00,XRPAUD,0.5925,0.6381,0.5923,0.6155,26176.1797
1560556800.0,2019-06-15 00:00:00,XRPAUD,0.5797,0.6022,0.5723,0.5925,24761.3037
1560470400.0,2019-06-14 00:00:00,XRPAUD,0.5801,0.5835,0.5666,0.5775,20482.3859
1560384000.0,2019-06-13 00:00:00,XRPAUD,0.5791,0.5946,0.5742,0.5804,17133.28
1560297600.0,2019-06-12 00:00:00,XRPAUD,0.5621,0.5841,0.5561,0.5791,14629.5103
1560211200.0,2019-06-11 00:00:00,XRPAUD,0.5711,0.5772,0.5527,0.5621,17580.4587
1560124800.0,2019-06-10 00:00:00,XRPAUD,0.5569,0.6835,0.5422,0.5711,40743.011
1560038400.0,2019-06-09 00:00:00,XRPAUD,0.6175,0.6841,0.5386,0.5569,36495.8324
1559952000.0,2019-06-08 00:00:00,XRPAUD,0.6036,0.6917,0.5815,0.6175,19038.75
1559865600.0,2019-06-07 00:00:00,XRPAUD,0.611,0.62,0.592,0.6036,11201.0
1559779200.0,2019-06-06 00:00:00,XRPAUD,0.5744,0.6149,0.5635,0.6028,12220.9897
1559692800.0,2019-06-05 00:00:00,XRPAUD,0.5598,0.5875,0.5598,0.579,12895.4611
1559606400.0,2019-06-04 00:00:00,XRPAUD,0.6097,0.7286,0.5593,0.5598,23556.845
1559520000.0,2019-06-03 00:00:00,XRPAUD,0.6389,0.6688,0.61,0.61,29873.0943
1559433600.0,2019-06-02 00:00:00,XRPAUD,0.6188,0.6407,0.6188,0.6389,23391.7798
1559347200.0,2019-06-01 00:00:00,XRPAUD,0.6198,0.751,0.6188,0.6188,10262.601
1559260800.0,2019-05-31 00:00:00,XRPAUD,0.619,0.695,0.5916,0.6198,25517.7597
1559174400.0,2019-05-30 00:00:00,XRPAUD,0.65,0.6862,0.595,0.619,40242.7532
1559088000.0,2019-05-29 00:00:00,XRPAUD,0.648,0.6663,0.615,0.65,26215.9682
1559001600.0,2019-05-28 00:00:00,XRPAUD,0.6409,0.6682,0.609,0.648,28678.0542
1558915200.0,2019-05-27 00:00:00,XRPAUD,0.5881,0.6411,0.5863,0.6409,20909.3569
1558828800.0,2019-05-26 00:00:00,XRPAUD,0.5587,0.6036,0.5412,0.5881,13301.6161
1558742400.0,2019-05-25 00:00:00,XRPAUD,0.5497,0.5855,0.5497,0.5587,17298.2403
1558656000.0,2019-05-24 00:00:00,XRPAUD,0.5496,0.5739,0.538,0.5497,17590.8993
1558569600.0,2019-05-23 00:00:00,XRPAUD,0.55,0.5751,0.5297,0.5496,19904.4151
1558483200.0,2019-05-22 00:00:00,XRPAUD,0.5772,0.5952,0.5397,0.5533,16412.2535
1558396800.0,2019-05-21 00:00:00,XRPAUD,0.5762,0.5911,0.5701,0.5772,35121.3625
1558310400.0,2019-05-20 00:00:00,XRPAUD,0.6152,0.6199,0.5157,0.5825,70038.8235
1558224000.0,2019-05-19 00:00:00,XRPAUD,0.546,0.7189,0.4613,0.617,100911.0412
1558137600.0,2019-05-18 00:00:00,XRPAUD,0.5694,0.5798,0.5326,0.546,68927.0
1558051200.0,2019-05-17 00:00:00,XRPAUD,0.6041,0.6206,0.5149,0.5694,112698.8328
1557964800.0,2019-05-16 00:00:00,XRPAUD,0.65,0.6902,0.5737,0.6068,75339.9551
1557878400.0,2019-05-15 00:00:00,XRPAUD,0.6424,0.6521,0.4004,0.65,14098.3945
1557792000.0,2019-05-14 00:00:00,XRPAUD,0.4727,0.7087,0.4653,0.6424,70084.7546
1557705600.0,2019-05-13 00:00:00,XRPAUD,0.4469,0.4784,0.4116,0.4727,16316.3
1557619200.0,2019-05-12 00:00:00,XRPAUD,0.4633,0.4733,0.4339,0.4469,23849.0596
1557532800.0,2019-05-11 00:00:00,XRPAUD,0.4257,0.4857,0.4239,0.4633,22185.0
1557446400.0,2019-05-10 00:00:00,XRPAUD,0.4218,0.4341,0.4137,0.4257,18039.831
1557360000.0,2019-05-09 00:00:00,XRPAUD,0.4263,0.4307,0.4114,0.4218,11444.0
1557273600.0,2019-05-08 00:00:00,XRPAUD,0.4209,0.4296,0.4134,0.4263,12991.0
1557187200.0,2019-05-07 00:00:00,XRPAUD,0.4266,0.5354,0.4086,0.4208,17140.0
1557100800.0,2019-05-06 00:00:00,XRPAUD,0.4242,0.4369,0.4008,0.4245,34211.0
1557014400.0,2019-05-05 00:00:00,XRPAUD,0.4228,0.4271,0.4169,0.4242,34729.0
1556928000.0,2019-05-04 00:00:00,XRPAUD,0.4318,0.4457,0.4165,0.4228,34617.0
1556841600.0,2019-05-03 00:00:00,XRPAUD,0.4221,0.4433,0.4203,0.432,33912.0
1556755200.0,2019-05-02 00:00:00,XRPAUD,0.4309,0.4336,0.4183,0.4221,34242.0
1556668800.0,2019-05-01 00:00:00,XRPAUD,0.4336,0.4367,0.4198,0.4284,33715.0
1556582400.0,2019-04-30 00:00:00,XRPAUD,0.4132,0.4421,0.406,0.4336,42533.0
1556496000.0,2019-04-29 00:00:00,XRPAUD,0.421,0.4252,0.4052,0.4117,34481.15
1556409600.0,2019-04-28 00:00:00,XRPAUD,0.4248,0.4286,0.4108,0.421,34711.0
1556323200.0,2019-04-27 00:00:00,XRPAUD,0.4204,0.4383,0.415,0.4248,37408.0
1556236800.0,2019-04-26 00:00:00,XRPAUD,0.417,0.4281,0.4075,0.4204,34472.0
1556150400.0,2019-04-25 00:00:00,XRPAUD,0.4278,0.4445,0.4077,0.417,34789.0
1556064000.0,2019-04-24 00:00:00,XRPAUD,0.4568,0.4605,0.416,0.4278,32638.0
1555977600.0,2019-04-23 00:00:00,XRPAUD,0.4579,0.4887,0.4483,0.4568,34720.0
1555891200.0,2019-04-22 00:00:00,XRPAUD,0.4548,0.469,0.4451,0.4548,43269.0
1555804800.0,2019-04-21 00:00:00,XRPAUD,0.4604,0.4672,0.4452,0.4548,33842.0
1555718400.0,2019-04-20 00:00:00,XRPAUD,0.4697,0.4732,0.4551,0.4604,34425.0
1555632000.0,2019-04-19 00:00:00,XRPAUD,0.47,0.4769,0.4579,0.4697,37867.0
1555545600.0,2019-04-18 00:00:00,XRPAUD,0.4715,0.4888,0.4663,0.4711,34062.4667
1555459200.0,2019-04-17 00:00:00,XRPAUD,0.4534,0.5457,0.4471,0.4715,36910.0
1555372800.0,2019-04-16 00:00:00,XRPAUD,0.4463,0.46,0.4444,0.4534,33294.0
1555286400.0,2019-04-15 00:00:00,XRPAUD,0.4597,0.4642,0.4385,0.45,34138.9029
1555200000.0,2019-04-14 00:00:00,XRPAUD,0.4549,0.4638,0.4521,0.4593,34223.0
1555113600.0,2019-04-13 00:00:00,XRPAUD,0.4524,0.4705,0.4495,0.4549,34902.0
1555027200.0,2019-04-12 00:00:00,XRPAUD,0.4641,0.4661,0.4471,0.4586,39233.0
1554940800.0,2019-04-11 00:00:00,XRPAUD,0.4926,0.4975,0.4495,0.4651,53299.0
1554854400.0,2019-04-10 00:00:00,XRPAUD,0.4893,0.5035,0.4869,0.4961,34465.8405
1554768000.0,2019-04-09 00:00:00,XRPAUD,0.5032,0.506,0.4866,0.4893,36679.315
1554681600.0,2019-04-08 00:00:00,XRPAUD,0.5108,0.5197,0.49,0.5032,47572.1367
1554595200.0,2019-04-07 00:00:00,XRPAUD,0.496,0.5159,0.4888,0.5112,35871.0
1554508800.0,2019-04-06 00:00:00,XRPAUD,0.5077,0.5593,0.4249,0.496,33859.0
1554422400.0,2019-04-05 00:00:00,XRPAUD,0.4667,0.528,0.423,0.5077,37288.4849
1554336000.0,2019-04-04 00:00:00,XRPAUD,0.485,0.5084,0.4406,0.4667,21499.0131
1554249600.0,2019-04-03 00:00:00,XRPAUD,0.4823,0.5158,0.44,0.485,25304.8944
1554163200.0,2019-04-02 00:00:00,XRPAUD,0.4351,0.4985,0.4337,0.4823,10221.5613
1554076800.0,2019-04-01 00:00:00,XRPAUD,0.4341,0.4674,0.4337,0.4345,22218.0
1553990400.0,2019-03-31 00:00:00,XRPAUD,0.4389,0.4408,0.4337,0.4341,31123.0
1553904000.0,2019-03-30 00:00:00,XRPAUD,0.4329,0.4469,0.429,0.4389,23857.0
1553817600.0,2019-03-29 00:00:00,XRPAUD,0.4322,0.4387,0.4263,0.4291,24107.5157
1553731200.0,2019-03-28 00:00:00,XRPAUD,0.441,0.441,0.427,0.4327,23302.0
1553644800.0,2019-03-27 00:00:00,XRPAUD,0.4281,0.5587,0.4145,0.441,22781.4142
1553558400.0,2019-03-26 00:00:00,XRPAUD,0.4258,0.5592,0.4146,0.4281,22583.0
1553472000.0,2019-03-25 00:00:00,XRPAUD,0.4312,0.4379,0.4197,0.4258,21963.0
1553385600.0,2019-03-24 00:00:00,XRPAUD,0.4421,0.4421,0.4292,0.4312,11213.0
1553299200.0,2019-03-23 00:00:00,XRPAUD,0.4418,0.4439,0.433,0.4421,13817.5584
1553212800.0,2019-03-22 00:00:00,XRPAUD,0.4357,0.4446,0.431,0.4405,11315.0
1553126400.0,2019-03-21 00:00:00,XRPAUD,0.4479,0.4499,0.4303,0.4357,18324.3011
1553040000.0,2019-03-20 00:00:00,XRPAUD,0.4432,0.4509,0.4369,0.4479,11191.0
1552953600.0,2019-03-19 00:00:00,XRPAUD,0.4415,0.4485,0.4358,0.4432,9592.3957
1552867200.0,2019-03-18 00:00:00,XRPAUD,0.4459,0.4518,0.4362,0.4415,13269.6763
1552780800.0,2019-03-17 00:00:00,XRPAUD,0.4467,0.4501,0.4441,0.4459,11090.0
1552694400.0,2019-03-16 00:00:00,XRPAUD,0.4449,0.455,0.4394,0.4467,11440.0
1552608000.0,2019-03-15 00:00:00,XRPAUD,0.4376,0.4466,0.4362,0.4449,20776.36
1552521600.0,2019-03-14 00:00:00,XRPAUD,0.4393,0.4457,0.4345,0.4376,11364.0
1552435200.0,2019-03-13 00:00:00,XRPAUD,0.4392,0.4548,0.4336,0.4393,8794.0
1552348800.0,2019-03-12 00:00:00,XRPAUD,0.4629,0.4629,0.4353,0.4392,4536.8826
1552262400.0,2019-03-11 00:00:00,XRPAUD,0.4436,0.6332,0.4313,0.4629,11232.0
1552176000.0,2019-03-10 00:00:00,XRPAUD,0.442,0.4475,0.4354,0.4436,12676.0
1552089600.0,2019-03-09 00:00:00,XRPAUD,0.4345,0.4523,0.434,0.442,11231.0
1552003200.0,2019-03-08 00:00:00,XRPAUD,0.4484,0.4494,0.4302,0.4345,11203.4608
1551916800.0,2019-03-07 00:00:00,XRPAUD,0.4491,0.4521,0.4435,0.4484,11927.0
1551830400.0,2019-03-06 00:00:00,XRPAUD,0.4443,0.4576,0.4382,0.4491,11313.0
1551744000.0,2019-03-05 00:00:00,XRPAUD,0.4689,0.4689,0.4322,0.4443,2873.0
1551657600.0,2019-03-04 00:00:00,XRPAUD,0.4404,0.4697,0.3981,0.4689,22315.0
1551571200.0,2019-03-03 00:00:00,XRPAUD,0.4426,0.445,0.4299,0.4404,23515.0
1551484800.0,2019-03-02 00:00:00,XRPAUD,0.446,0.4499,0.4352,0.4426,22500.0
1551398400.0,2019-03-01 00:00:00,XRPAUD,0.4401,0.4578,0.4359,0.446,23631.0
1551312000.0,2019-02-28 00:00:00,XRPAUD,0.4338,0.4457,0.4311,0.4401,22131.0
1551225600.0,2019-02-27 00:00:00,XRPAUD,0.4391,0.4463,0.4203,0.4338,23313.0
1551139200.0,2019-02-26 00:00:00,XRPAUD,0.4569,0.4688,0.4361,0.4414,21795.3891
1551052800.0,2019-02-25 00:00:00,XRPAUD,0.4125,0.6406,0.4125,0.4595,13198.0856
1550966400.0,2019-02-24 00:00:00,XRPAUD,0.4607,0.4779,0.4125,0.4125,16487.5472
