Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume WAV,Volume ESBTC
2019-07-03,WAVESBTC,0.0001692,0.0001692,0.0001588,0.0001651,1125160.13,182.39
2019-07-02,WAVESBTC,0.0001773,0.0001797,0.0001677,0.0001692,3413712.24,598.34
2019-07-01,WAVESBTC,0.0001685,0.000181,0.000168,0.0001773,2492114.26,435.7
2019-06-30,WAVESBTC,0.0001644,0.0001733,0.0001614,0.0001685,2147132.64,355.07
2019-06-29,WAVESBTC,0.0001617,0.0001658,0.0001579,0.0001644,2655719.78,430.16
2019-06-28,WAVESBTC,0.0001644,0.0001709,0.0001561,0.0001617,2601258.92,426.23
2019-06-27,WAVESBTC,0.0001665,0.0001831,0.0001627,0.0001644,4871230.69,827.01
2019-06-26,WAVESBTC,0.0001954,0.0001961,0.0001632,0.0001665,6334585.24,1140.25
2019-06-25,WAVESBTC,0.0002144,0.0002146,0.0001946,0.0001954,2205450.26,452.28
2019-06-24,WAVESBTC,0.0002164,0.0002221,0.0002123,0.0002144,1949508.21,424.47
2019-06-23,WAVESBTC,0.0002248,0.0002279,0.0002108,0.0002164,1909878.16,422.74
2019-06-22,WAVESBTC,0.0002309,0.0002326,0.0002114,0.0002248,2795325.22,620.92
2019-06-21,WAVESBTC,0.0002482,0.0002506,0.0002309,0.0002309,3206718.8,780.71
2019-06-20,WAVESBTC,0.0002617,0.0002629,0.0002455,0.0002482,2047178.9,523.73
2019-06-19,WAVESBTC,0.0002622,0.0002658,0.0002592,0.0002617,1578787.92,413.54
2019-06-18,WAVESBTC,0.0002612,0.0002647,0.0002587,0.0002622,1779488.68,464.92
2019-06-17,WAVESBTC,0.0002709,0.0002742,0.0002593,0.0002612,1458723.32,390.29
2019-06-16,WAVESBTC,0.0002743,0.0002787,0.0002531,0.0002709,1657577.45,438.74
2019-06-15,WAVESBTC,0.0002751,0.0002793,0.0002696,0.0002743,2602518.19,710.78
2019-06-14,WAVESBTC,0.0003015,0.0003024,0.000267,0.0002751,1879658.89,542.88
2019-06-13,WAVESBTC,0.0003005,0.0003087,0.0002994,0.0003015,1928278.51,582.87
2019-06-12,WAVESBTC,0.0003001,0.0003029,0.0002989,0.0003005,2712892.4,814.48
2019-06-11,WAVESBTC,0.0002972,0.0003029,0.0002972,0.0003001,2494704.93,749.76
2019-06-10,WAVESBTC,0.0002962,0.0003009,0.0002895,0.0002972,1564464.81,465.66
2019-06-09,WAVESBTC,0.000298,0.0003036,0.0002944,0.0002962,1616643.18,481.5
2019-06-08,WAVESBTC,0.0002949,0.0003023,0.0002948,0.000298,1184471.56,352.8
2019-06-07,WAVESBTC,0.0002958,0.0003052,0.0002928,0.0002949,1706225.97,505.98
2019-06-06,WAVESBTC,0.0002962,0.0002982,0.0002937,0.0002958,1393630.73,412.45
2019-06-05,WAVESBTC,0.0002999,0.0003041,0.0002955,0.0002962,1979331.62,590.33
2019-06-04,WAVESBTC,0.0002969,0.0003032,0.0002968,0.0002999,2450934.69,732.76
2019-06-03,WAVESBTC,0.0003035,0.0003042,0.0002939,0.0002969,2034686.12,609.98
2019-06-02,WAVESBTC,0.0003046,0.0003097,0.0002994,0.0003035,1381328.57,419.95
2019-06-01,WAVESBTC,0.0003087,0.0003097,0.0003031,0.0003046,1524222.62,469.35
2019-05-31,WAVESBTC,0.000308,0.0003097,0.0003034,0.0003087,2191357.12,672.18
2019-05-30,WAVESBTC,0.0003111,0.0003113,0.000301,0.000308,2913273.37,896.07
2019-05-29,WAVESBTC,0.0003161,0.0003204,0.0003094,0.0003111,1991928.1,626.87
2019-05-28,WAVESBTC,0.0003097,0.0003288,0.0003077,0.0003161,1219048.78,384.42
2019-05-27,WAVESBTC,0.0003138,0.0003139,0.0003052,0.0003097,1127888.89,351.36
2019-05-26,WAVESBTC,0.0003397,0.0003397,0.0003113,0.0003138,1410403.24,461.88
2019-05-25,WAVESBTC,0.000337,0.0003452,0.0003291,0.0003397,963750.79,322.91
2019-05-24,WAVESBTC,0.00034,0.00038,0.0003352,0.000337,950991.67,336.33
2019-05-23,WAVESBTC,0.0003089,0.00034,0.0003021,0.00034,1402882.53,441.07
2019-05-22,WAVESBTC,0.0003114,0.0003214,0.0003046,0.0003089,1853053.92,578.01
2019-05-21,WAVESBTC,0.0003102,0.0003181,0.0003021,0.0003114,648930.34,199.78
2019-05-20,WAVESBTC,0.0003108,0.0003149,0.0003016,0.0003102,823338.23,252.75
2019-05-19,WAVESBTC,0.0003285,0.0003293,0.0003017,0.0003108,1110739.24,346.4
2019-05-18,WAVESBTC,0.0003272,0.0003334,0.0003163,0.0003285,957525.87,310.74
2019-05-17,WAVESBTC,0.0003196,0.0003337,0.0003052,0.0003272,1596906.54,515.45
2019-05-16,WAVESBTC,0.0003161,0.0003324,0.0003107,0.0003196,3225431.68,1047.57
2019-05-15,WAVESBTC,0.0002951,0.0003315,0.0002918,0.0003161,2423212.51,739.08
2019-05-14,WAVESBTC,0.0002974,0.0003035,0.0002897,0.0002951,1646790.16,486.41
2019-05-13,WAVESBTC,0.0003415,0.0003473,0.0002926,0.0002974,1889592.62,622.25
2019-05-12,WAVESBTC,0.000341,0.000347,0.0003354,0.0003415,922576.79,312.83
2019-05-11,WAVESBTC,0.0003531,0.0003608,0.000334,0.000341,1788768.92,623.67
2019-05-10,WAVESBTC,0.0003746,0.0003769,0.00035,0.0003531,2291190.8,816.74
2019-05-09,WAVESBTC,0.0003664,0.0003825,0.0003506,0.0003746,2018771.17,730.73
2019-05-08,WAVESBTC,0.0003629,0.000375,0.0003499,0.0003664,1894518.06,686.66
2019-05-07,WAVESBTC,0.0003738,0.0003787,0.000362,0.0003628,360177.96,132.85
2019-05-06,WAVESBTC,0.0003608,0.0003832,0.0003563,0.0003738,712505.06,262.74
2019-05-05,WAVESBTC,0.0003677,0.0003808,0.00035,0.0003608,208468.33,75.59
2019-05-04,WAVESBTC,0.0003822,0.0003849,0.00035,0.0003677,354641.52,133.41
2019-05-03,WAVESBTC,0.0003925,0.0003925,0.0003711,0.0003822,662717.4,251.57
2019-05-02,WAVESBTC,0.0003995,0.0003996,0.000387,0.0003925,469884.92,185.56
2019-05-01,WAVESBTC,0.0004221,0.0004264,0.0003985,0.0003995,588935.74,240.05
2019-04-30,WAVESBTC,0.0003785,0.0004361,0.0003753,0.0004221,681594.56,274.23
