Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume RUR
2018-08-20 02-AM,BTCRUR,441037,443086.85,439652.4,441503.06,0.3796,167884.21
2018-08-20 01-AM,BTCRUR,443046.86,443047.1,441035.83,441037,0.1175,52019.39
2018-08-20 12-AM,BTCRUR,440152.04,443046.86,440152.04,443046.86,0.2744,121317.38
2018-08-19 11-PM,BTCRUR,442222,443000,439462.79,440152.04,0.123,54284.08
2018-08-19 10-PM,BTCRUR,439462.79,443000,439462.79,442222,1.25,553235.6
2018-08-19 09-PM,BTCRUR,442200,442925.48,439173.82,439462.79,1.23,542887.78
2018-08-19 08-PM,BTCRUR,441892.55,442200,439052.5,442200,0.8039,355056.65
2018-08-19 07-PM,BTCRUR,439052.5,442200,439052.5,441892.55,1.65,727879.83
2018-08-19 06-PM,BTCRUR,442000,442000,437753.19,439052.5,0.6431,283064.9
2018-08-19 05-PM,BTCRUR,439700,442200,439673,442000,1.34,591346.09
2018-08-19 04-PM,BTCRUR,435776.25,439711,435776.25,439700,0.5202,228455.16
2018-08-19 03-PM,BTCRUR,437501,440000,435501,435776.25,1.17,513197.63
2018-08-19 02-PM,BTCRUR,437500,439993,437000,437501,0.5798,253954.69
2018-08-19 01-PM,BTCRUR,438867.9,440000,436100,437500,0.9951,435864.96
2018-08-19 12-PM,BTCRUR,435925,439582.44,435600.2,438867.9,0.8641,378277.03
2018-08-19 11-AM,BTCRUR,435412,438849,435412,435925,0.6349,277644.08
2018-08-19 10-AM,BTCRUR,435797.97,437000,435410,435412,0.9809,427190.3
2018-08-19 09-AM,BTCRUR,437001.08,438881.08,435703.1,435797.97,0.6924,302933.6
2018-08-19 08-AM,BTCRUR,439348,439603.45,435523.11,437001.08,0.7062,309453.53
2018-08-19 07-AM,BTCRUR,436322.08,439640.73,435522,439348,0.4247,186273.96
2018-08-19 06-AM,BTCRUR,437194.86,439610.07,435511.1,436322.08,0.4446,193899.51
2018-08-19 05-AM,BTCRUR,439640.73,439640.79,435510,437194.86,0.2535,111005.68
2018-08-19 04-AM,BTCRUR,435000,439640.95,435000,439640.73,0.0956,41623.97
2018-08-19 03-AM,BTCRUR,436263,439645.37,435000,435000,0.2182,95044.93
2018-08-19 02-AM,BTCRUR,439156.88,442002.51,436263,436263,0.3381,148151.01
2018-08-19 01-AM,BTCRUR,438700,442002.51,438700,439156.88,0.06637,29152.1
