Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume BTC
2019-07-03,LSKBTC,0.0001664,0.0001671,0.0001525,0.0001547,598345.04,95.32
2019-07-02,LSKBTC,0.0001713,0.0001742,0.0001631,0.0001664,2187914.87,367.76
2019-07-01,LSKBTC,0.0001678,0.0001751,0.0001629,0.0001673,2551284.79,432.11
2019-06-30,LSKBTC,0.0001574,0.0001732,0.0001541,0.0001678,2093794.12,338.87
2019-06-29,LSKBTC,0.0001577,0.0001611,0.0001527,0.0001574,2801071.32,441.75
2019-06-28,LSKBTC,0.000166,0.0001775,0.0001524,0.0001577,2776189.89,452.34
2019-06-27,LSKBTC,0.0001601,0.0001723,0.0001511,0.000166,3015393.93,494.62
2019-06-26,LSKBTC,0.00018,0.0001817,0.00015,0.0001511,2600491.74,432.67
2019-06-25,LSKBTC,0.0001893,0.0001927,0.0001701,0.00018,2221161.16,404.94
2019-06-24,LSKBTC,0.0001925,0.0002019,0.000186,0.0001893,2078168.55,399.92
2019-06-23,LSKBTC,0.0002009,0.0002064,0.0001876,0.0001925,2161040.37,428.5
2019-06-22,LSKBTC,0.0002079,0.0002109,0.0001869,0.0002009,2085723.62,413.83
2019-06-21,LSKBTC,0.0002144,0.0002192,0.0002016,0.0002079,1822363.03,385.21
2019-06-20,LSKBTC,0.0002255,0.0002288,0.000212,0.0002144,1607187.05,353.94
2019-06-19,LSKBTC,0.0002251,0.0002318,0.000223,0.0002255,1319738.53,300.97
2019-06-18,LSKBTC,0.0002209,0.0002318,0.00022,0.0002251,1228095.69,277.32
2019-06-17,LSKBTC,0.0002335,0.0002337,0.00022,0.0002209,1827068.37,420.51
2019-06-16,LSKBTC,0.0002235,0.000255,0.0002177,0.0002335,1315550.25,309.92
2019-06-15,LSKBTC,0.0002351,0.0002369,0.0002234,0.0002235,1603295.37,370.33
2019-06-14,LSKBTC,0.000247,0.0002488,0.0002301,0.0002351,1610903.37,386.82
2019-06-13,LSKBTC,0.0002507,0.0002603,0.0002449,0.000247,1523662.46,382.68
2019-06-12,LSKBTC,0.0002596,0.0002619,0.0002473,0.0002493,1257743.15,322.55
2019-06-11,LSKBTC,0.0002554,0.000262,0.0002501,0.0002596,1547019.31,398.34
2019-06-10,LSKBTC,0.0002498,0.000258,0.000248,0.0002554,1184005.73,300.6
2019-06-09,LSKBTC,0.0002605,0.0002622,0.0002471,0.0002498,1264278.9,322.33
2019-06-08,LSKBTC,0.0002633,0.0002672,0.0002525,0.0002605,1475134.35,384.54
2019-06-07,LSKBTC,0.0002503,0.0002637,0.0002473,0.0002633,1705026.52,437.5
2019-06-06,LSKBTC,0.0002535,0.000254,0.000241,0.0002503,1572912.19,394.63
2019-06-05,LSKBTC,0.0002519,0.0002636,0.0002466,0.0002535,1516441.38,383.24
2019-06-04,LSKBTC,0.0002467,0.0002627,0.0002425,0.0002519,1464310.25,368.48
2019-06-03,LSKBTC,0.0002432,0.0002475,0.0002399,0.0002467,1403844.39,343.0
2019-06-02,LSKBTC,0.000248,0.0002547,0.0002396,0.0002432,1378529.51,337.16
2019-06-01,LSKBTC,0.0002394,0.0002491,0.000237,0.000248,1256716.38,303.35
2019-05-31,LSKBTC,0.0002377,0.0002448,0.0002365,0.0002394,1218576.41,294.16
2019-05-30,LSKBTC,0.0002443,0.0002591,0.0002345,0.0002377,1494106.45,371.83
2019-05-29,LSKBTC,0.0002469,0.0002469,0.0002343,0.0002443,1136584.86,275.24
2019-05-28,LSKBTC,0.0002354,0.0002532,0.000235,0.0002469,1380286.58,339.46
2019-05-27,LSKBTC,0.0002374,0.0002445,0.0002295,0.0002348,1304350.87,308.36
2019-05-26,LSKBTC,0.0002529,0.0002541,0.0002316,0.0002356,1267608.19,312.07
2019-05-25,LSKBTC,0.0002396,0.000261,0.0002393,0.0002511,1091219.2,271.24
2019-05-24,LSKBTC,0.0002458,0.0002521,0.0002355,0.0002396,1244406.17,303.0
2019-05-23,LSKBTC,0.0002426,0.0002529,0.0002375,0.0002458,1161840.47,285.92
2019-05-22,LSKBTC,0.0002544,0.0002563,0.0002401,0.0002426,893371.57,224.23
2019-05-21,LSKBTC,0.0002572,0.0002587,0.0002471,0.0002544,1107879.99,280.84
2019-05-20,LSKBTC,0.000251,0.000259,0.0002503,0.0002572,1277229.46,325.37
2019-05-19,LSKBTC,0.0002659,0.0002685,0.0002503,0.000251,705574.23,182.62
2019-05-18,LSKBTC,0.0002699,0.0002707,0.0002581,0.0002659,906638.31,240.52
2019-05-17,LSKBTC,0.0002716,0.0002748,0.000258,0.0002699,818628.62,218.42
2019-05-16,LSKBTC,0.0002662,0.000305,0.0002608,0.0002717,1047792.09,287.91
2019-05-15,LSKBTC,0.0002384,0.000288,0.0002364,0.0002662,1413318.8,371.13
2019-05-14,LSKBTC,0.0002349,0.0002429,0.0002294,0.0002384,1491479.3,355.3
2019-05-13,LSKBTC,0.000255,0.0002696,0.0002314,0.0002349,1299940.69,324.88
2019-05-12,LSKBTC,0.0002781,0.0002795,0.0002505,0.000255,998560.71,263.46
2019-05-11,LSKBTC,0.0002839,0.0002862,0.0002734,0.0002781,1368075.51,383.53
2019-05-10,LSKBTC,0.0002905,0.0002995,0.0002814,0.0002839,1298312.01,374.29
2019-05-09,LSKBTC,0.0002814,0.0002941,0.0002774,0.0002905,452065.28,128.02
2019-05-08,LSKBTC,0.0002794,0.0002827,0.0002783,0.0002814,319645.69,89.61
2019-05-07,LSKBTC,0.0002949,0.0002975,0.0002874,0.0002874,270263.57,79.72
2019-05-06,LSKBTC,0.0002893,0.0002989,0.0002859,0.0002949,1302702.39,380.16
2019-05-05,LSKBTC,0.0003011,0.000306,0.0002842,0.0002893,1297184.19,383.04
2019-05-04,LSKBTC,0.0003083,0.000315,0.0002988,0.0003011,1331515.96,408.98
2019-05-03,LSKBTC,0.0003166,0.0003218,0.0003077,0.0003083,987618.53,310.42
2019-05-02,LSKBTC,0.0003238,0.0003279,0.0003134,0.0003166,831188.77,264.44
2019-05-01,LSKBTC,0.000325,0.0003308,0.0003227,0.0003238,1005779.06,328.11
2019-04-30,LSKBTC,0.0003231,0.000327,0.0003155,0.000325,1030641.21,331.76
2019-04-29,LSKBTC,0.0003269,0.0003291,0.0003205,0.0003231,999790.27,325.29
2019-04-28,LSKBTC,0.000337,0.0003387,0.000328,0.0003306,839269.68,280.56
2019-04-27,LSKBTC,0.0003335,0.0003411,0.0003315,0.000337,1148815.04,387.7
2019-04-26,LSKBTC,0.0003382,0.0003408,0.0003281,0.0003335,919653.57,305.37
2019-04-25,LSKBTC,0.0003411,0.0003471,0.0003346,0.0003382,1121726.08,382.44
2019-04-24,LSKBTC,0.0003503,0.0003549,0.0003307,0.0003411,905808.98,311.92
2019-04-23,LSKBTC,0.0003727,0.0003748,0.0003445,0.0003503,1087823.01,389.47
2019-04-22,LSKBTC,0.0003744,0.0003826,0.000371,0.0003727,729580.03,273.74
2019-04-21,LSKBTC,0.0003823,0.0003849,0.000373,0.0003744,683005.17,257.5
2019-04-20,LSKBTC,0.0003837,0.0003902,0.0003806,0.0003823,1160314.38,446.63
2019-04-19,LSKBTC,0.0003851,0.00039,0.00038,0.0003837,879442.48,338.35
2019-04-18,LSKBTC,0.0003872,0.00039,0.000384,0.0003851,1028292.78,397.95
2019-04-17,LSKBTC,0.0003926,0.0003938,0.000384,0.0003872,616513.95,239.69
2019-04-16,LSKBTC,0.0003836,0.000396,0.0003791,0.0003926,984074.5,381.88
2019-04-15,LSKBTC,0.0003907,0.0003996,0.0003787,0.0003836,935036.2,363.94
2019-04-14,LSKBTC,0.0003872,0.0003933,0.0003824,0.0003907,987232.99,383.01
2019-04-13,LSKBTC,0.0003811,0.0003977,0.0003787,0.0003883,1026053.82,395.3
2019-04-12,LSKBTC,0.000373,0.0003816,0.0003633,0.0003811,1160027.61,431.59
2019-04-11,LSKBTC,0.0003854,0.0003869,0.0003601,0.0003759,873274.74,327.61
2019-04-10,LSKBTC,0.0003861,0.0004,0.00038,0.0003854,1157117.71,450.32
2019-04-09,LSKBTC,0.0003949,0.0003949,0.000376,0.0003861,880164.82,341.03
2019-04-08,LSKBTC,0.0004092,0.0004103,0.0003917,0.0003949,118583.79,47.57
2019-04-07,LSKBTC,0.0004125,0.0004222,0.0004092,0.0004092,147541.01,61.25
2019-04-06,LSKBTC,0.0004241,0.000431,0.0004079,0.0004125,132780.83,55.71
2019-04-05,LSKBTC,0.0004183,0.0004356,0.0004171,0.0004241,138291.16,58.96
2019-04-04,LSKBTC,0.000406,0.0004496,0.0004032,0.0004183,80198.46,33.63
2019-04-03,LSKBTC,0.0003935,0.0004138,0.00038,0.000406,75038.14,30.35
2019-04-02,LSKBTC,0.0004098,0.000417,0.0003782,0.0003935,102647.48,40.09
2019-04-01,LSKBTC,0.0004167,0.0004209,0.000409,0.0004098,92789.4,38.54
2019-03-31,LSKBTC,0.0004172,0.0004205,0.0004091,0.0004167,140918.61,58.54
2019-03-30,LSKBTC,0.0004071,0.000424,0.0004005,0.0004172,90280.69,37.3
2019-03-29,LSKBTC,0.0003979,0.0004094,0.0003964,0.0004071,120970.86,48.65
2019-03-28,LSKBTC,0.0004017,0.0004088,0.0003938,0.0003979,99740.73,39.96
2019-03-27,LSKBTC,0.0003829,0.000406,0.0003792,0.0004017,165206.27,64.81
2019-03-26,LSKBTC,0.0003809,0.0003836,0.0003766,0.0003829,82677.92,31.45
2019-03-25,LSKBTC,0.0003809,0.0003837,0.0003773,0.0003809,139099.74,52.88
2019-03-24,LSKBTC,0.0003773,0.0003878,0.0003715,0.0003809,138850.39,52.66
2019-03-23,LSKBTC,0.0003757,0.0003773,0.0003719,0.0003773,135866.5,50.96
2019-03-22,LSKBTC,0.000369,0.0003796,0.0003685,0.0003757,137162.28,51.16
2019-03-21,LSKBTC,0.0003759,0.000386,0.0003646,0.000369,124597.51,46.5
2019-03-20,LSKBTC,0.0003716,0.0003778,0.0003697,0.0003759,246374.84,91.93
2019-03-19,LSKBTC,0.0003763,0.0003772,0.0003706,0.0003716,70597.12,26.32
2019-03-18,LSKBTC,0.0003823,0.0003842,0.0003763,0.0003763,3904.47,1.5
2019-03-17,LSKBTC,0.0003759,0.0003877,0.0003726,0.0003823,9281.09,3.54
