Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QTU,Volume METH
2019-07-16,QTUMETH,0.0139,0.0139,0.0133,0.0135,39819.23,545.18
2019-07-15,QTUMETH,0.0135,0.0143,0.0133,0.0139,39203.72,537.63
2019-07-14,QTUMETH,0.0133,0.0138,0.013,0.0135,29833.64,400.39
2019-07-13,QTUMETH,0.014,0.014,0.013,0.0133,16111.58,217.82
2019-07-12,QTUMETH,0.0133,0.0141,0.013,0.014,31507.81,426.68
2019-07-11,QTUMETH,0.0146,0.0147,0.0122,0.0133,96336.67,1270.9
2019-07-10,QTUMETH,0.0155,0.0156,0.0142,0.0146,38838.24,571.96
2019-07-09,QTUMETH,0.016,0.016,0.0153,0.0155,26124.52,406.52
2019-07-08,QTUMETH,0.0158,0.0164,0.0156,0.016,34491.56,554.02
2019-07-07,QTUMETH,0.0166,0.0167,0.0156,0.0158,37959.24,610.4
2019-07-06,QTUMETH,0.0165,0.0168,0.0163,0.0166,26421.78,437.8
2019-07-05,QTUMETH,0.017,0.0172,0.0163,0.0165,35778.18,599.89
2019-07-04,QTUMETH,0.0171,0.0176,0.0168,0.017,42562.46,731.35
2019-07-03,QTUMETH,0.018,0.0181,0.0169,0.0171,50537.51,875.33
2019-07-02,QTUMETH,0.0167,0.0183,0.0159,0.018,59537.89,1021.19
2019-07-01,QTUMETH,0.0168,0.0173,0.0157,0.0167,56522.65,929.94
2019-06-30,QTUMETH,0.0175,0.0175,0.0167,0.0168,63314.46,1083.25
2019-06-29,QTUMETH,0.017,0.0187,0.017,0.0175,86630.06,1534.07
2019-06-28,QTUMETH,0.0147,0.017,0.0146,0.017,62681.14,978.35
2019-06-27,QTUMETH,0.0155,0.0163,0.0142,0.0147,73719.45,1111.14
2019-06-26,QTUMETH,0.0166,0.0186,0.0144,0.0155,94662.19,1534.15
2019-06-25,QTUMETH,0.0134,0.0172,0.0134,0.0166,98998.5,1494.97
2019-06-24,QTUMETH,0.0125,0.0139,0.0123,0.0134,40575.19,524.11
2019-06-23,QTUMETH,0.0126,0.013,0.0125,0.0125,34987.12,443.41
2019-06-22,QTUMETH,0.0122,0.0133,0.0117,0.0126,60156.35,749.49
2019-06-21,QTUMETH,0.0129,0.0129,0.012,0.0122,28699.08,355.16
2019-06-20,QTUMETH,0.0133,0.0133,0.0127,0.0129,34823.85,453.29
2019-06-19,QTUMETH,0.0135,0.0138,0.0132,0.0133,31916.43,428.95
2019-06-18,QTUMETH,0.0133,0.0135,0.0131,0.0135,28545.95,379.96
2019-06-17,QTUMETH,0.0136,0.0139,0.0132,0.0133,29417.87,396.73
2019-06-16,QTUMETH,0.0132,0.0139,0.0128,0.0136,22334.71,294.27
2019-06-15,QTUMETH,0.0129,0.0135,0.0128,0.0132,48904.8,648.48
2019-06-14,QTUMETH,0.013,0.0139,0.0127,0.0129,75801.22,998.82
2019-06-13,QTUMETH,0.0123,0.0135,0.0121,0.013,98455.9,1277.5
2019-06-12,QTUMETH,0.0129,0.0129,0.0123,0.0123,31650.78,401.45
2019-06-11,QTUMETH,0.0129,0.0131,0.0127,0.0129,20015.73,257.54
2019-06-10,QTUMETH,0.0126,0.0146,0.0124,0.0136,38610.0,523.92
2019-06-09,QTUMETH,0.0123,0.0126,0.0123,0.0126,42467.7,529.7
2019-06-08,QTUMETH,0.0126,0.0128,0.0123,0.0123,6059.95,75.2
2019-06-07,QTUMETH,0.0121,0.0129,0.0121,0.0126,26358.08,329.22
2019-06-06,QTUMETH,0.0123,0.0123,0.012,0.0121,19994.04,243.31
2019-06-05,QTUMETH,0.0123,0.0124,0.0121,0.0123,42849.95,525.36
2019-06-04,QTUMETH,0.0126,0.0127,0.0122,0.0123,40339.54,501.55
2019-06-03,QTUMETH,0.0134,0.0134,0.0125,0.0126,43325.72,560.04
2019-06-02,QTUMETH,0.0132,0.0136,0.0131,0.0134,43679.24,580.75
2019-06-01,QTUMETH,0.0123,0.014,0.0123,0.0132,52774.59,701.87
2019-05-31,QTUMETH,0.0123,0.0125,0.0121,0.0123,58195.35,712.56
2019-05-30,QTUMETH,0.0122,0.0129,0.0119,0.0123,64426.66,792.64
2019-05-29,QTUMETH,0.0119,0.0125,0.0115,0.0122,33033.6,396.13
2019-05-28,QTUMETH,0.0118,0.0121,0.0115,0.0119,32378.71,382.1
2019-05-27,QTUMETH,0.0116,0.0119,0.0114,0.0118,49095.18,571.24
2019-05-26,QTUMETH,0.0115,0.0117,0.0114,0.0116,28999.19,335.04
