Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DOG,Volume ERUR
2019-07-03,DOGERUR,0.2052,0.2085,0.1975,0.1985,706355.35,143285.7
2019-07-02,DOGERUR,0.205,0.21,0.1905,0.2052,2073263.81,411742.67
2019-07-01,DOGERUR,0.2138,0.2138,0.1965,0.205,2293606.35,464876.38
2019-06-30,DOGERUR,0.2141,0.2163,0.2076,0.2138,1086350.11,230783.66
2019-06-29,DOGERUR,0.2151,0.2176,0.2107,0.2141,1355783.43,289886.09
2019-06-28,DOGERUR,0.202,0.2216,0.202,0.2151,3092679.17,667179.36
2019-06-27,DOGERUR,0.2086,0.22,0.1868,0.202,5649500.9,1139639.69
2019-06-26,DOGERUR,0.2072,0.2224,0.2018,0.2086,4955865.3,1060563.17
2019-06-25,DOGERUR,0.207,0.21,0.206,0.2072,1121074.34,232797.47
2019-06-24,DOGERUR,0.2055,0.21,0.204,0.207,1878290.91,390371.69
2019-06-23,DOGERUR,0.2089,0.2122,0.2,0.2055,2234252.35,458378.99
2019-06-22,DOGERUR,0.201,0.214,0.198,0.2089,2375192.53,488476.5
2019-06-21,DOGERUR,0.1985,0.2025,0.194,0.201,2886298.14,570912.34
2019-06-20,DOGERUR,0.1979,0.1998,0.195,0.1985,2193652.54,431206.19
2019-06-19,DOGERUR,0.1992,0.2007,0.195,0.1979,1467468.68,289282.37
2019-06-18,DOGERUR,0.2041,0.2041,0.198,0.1992,1080247.6,215702.9
2019-06-17,DOGERUR,0.2012,0.2061,0.1987,0.2041,1496795.45,302056.84
2019-06-16,DOGERUR,0.1988,0.21,0.198,0.2012,2290751.51,467023.35
2019-06-15,DOGERUR,0.1959,0.201,0.194,0.1988,1442791.3,284523.49
2019-06-14,DOGERUR,0.1992,0.1992,0.1918,0.1959,1199909.06,234251.88
2019-06-13,DOGERUR,0.1986,0.201,0.195,0.198,1476224.13,291842.33
2019-06-12,DOGERUR,0.1996,0.2013,0.195,0.1986,1439948.62,284671.18
2019-06-11,DOGERUR,0.2,0.203,0.1951,0.1996,1144795.59,228770.55
2019-06-10,DOGERUR,0.2007,0.2034,0.196,0.2,2257237.06,452236.92
2019-06-09,DOGERUR,0.2059,0.2075,0.197,0.2007,1447761.6,291969.61
2019-06-08,DOGERUR,0.2055,0.208,0.2,0.2059,1476335.29,301322.64
2019-06-07,DOGERUR,0.2009,0.207,0.1995,0.2055,904935.37,184116.01
2019-06-06,DOGERUR,0.1998,0.2023,0.196,0.2009,1184798.46,235304.19
2019-06-05,DOGERUR,0.1974,0.202,0.193,0.1998,1106414.06,218391.8
2019-06-04,DOGERUR,0.2081,0.215,0.1934,0.1974,2194358.0,443139.57
2019-06-03,DOGERUR,0.2185,0.2196,0.2075,0.2081,1416071.75,303402.5
2019-06-02,DOGERUR,0.22,0.2229,0.215,0.2185,1501428.93,329120.0
2019-06-01,DOGERUR,0.223,0.224,0.215,0.22,1816619.86,400226.21
2019-05-31,DOGERUR,0.208,0.223,0.2011,0.223,2727813.08,584673.31
2019-05-30,DOGERUR,0.2025,0.23,0.2004,0.208,4661011.19,991840.14
2019-05-29,DOGERUR,0.1965,0.2025,0.1948,0.2015,2517580.59,499280.88
2019-05-28,DOGERUR,0.197,0.199,0.1941,0.198,3315761.53,651755.3
2019-05-27,DOGERUR,0.194,0.204,0.192,0.197,3431829.5,673811.91
2019-05-26,DOGERUR,0.193,0.197,0.1881,0.194,2269902.6,436543.49
2019-05-25,DOGERUR,0.1921,0.1951,0.1887,0.193,1210044.16,231917.62
2019-05-24,DOGERUR,0.1926,0.1951,0.1876,0.1921,1711847.51,328839.68
2019-05-23,DOGERUR,0.193,0.1941,0.182,0.1926,1776105.92,333553.88
2019-05-22,DOGERUR,0.1958,0.198,0.19,0.191,2256397.81,436251.16
2019-05-21,DOGERUR,0.1925,0.198,0.19,0.1958,2032157.84,392871.97
2019-05-20,DOGERUR,0.2003,0.2012,0.185,0.1925,4119170.56,788418.43
