Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume AUD
2019-06-30 02-PM,BTCAUD,15751.49,15986.71,15601.83,15951.24,24.62,389011.49
2019-06-30 01-PM,BTCAUD,16428.67,16530.18,15683.65,15751.49,74.43,1189373.58
2019-06-30 12-PM,BTCAUD,16410.95,16550,16404.78,16428.67,7.757,127952.49
2019-06-30 11-AM,BTCAUD,16440,16554.57,16324.73,16410.95,19.94,327316.28
2019-06-30 10-AM,BTCAUD,16811.09,16811.09,16292.42,16440,74.53,1229833.02
2019-06-30 09-AM,BTCAUD,16744.54,16881.11,16694.75,16811.09,13.42,225237.65
2019-06-30 08-AM,BTCAUD,16632.13,16844.07,16631.66,16744.54,24.15,404258.21
2019-06-30 07-AM,BTCAUD,16988,16988,16625,16632.13,26.65,446647.36
2019-06-30 06-AM,BTCAUD,17015,17122.17,16928.57,16988,9.478,161506.77
2019-06-30 05-AM,BTCAUD,17122.52,17150,16851,17015,20.33,345160.77
2019-06-30 04-AM,BTCAUD,17200,17280.79,17103.33,17122.52,4.847,83214.9
2019-06-30 03-AM,BTCAUD,17101.01,17328,17051,17200,13.19,227002.5
2019-06-30 02-AM,BTCAUD,17150,17201.73,17098,17101.01,4.397,75325.99
2019-06-30 01-AM,BTCAUD,17249,17259.73,17085.93,17150,6.631,113632.67
2019-06-30 12-AM,BTCAUD,16850.14,17250.22,16850.14,17249,7.582,130101.26
2019-06-29 11-PM,BTCAUD,17081.96,17135.3,16850.14,16850.14,11.01,187203.5
2019-06-29 10-PM,BTCAUD,16980.37,17160.13,16980.37,17081.96,9.823,167748.79
2019-06-29 09-PM,BTCAUD,17365.16,17379.06,16885,16980.37,30.12,515341.19
2019-06-29 08-PM,BTCAUD,17038.29,17403.13,17025.49,17365.16,10.36,179189.49
2019-06-29 07-PM,BTCAUD,17077.01,17122.35,16949.99,17038.29,1.925,32716.71
2019-06-29 06-PM,BTCAUD,17035.35,17200,17032.48,17077.01,4.379,75053.89
2019-06-29 05-PM,BTCAUD,16833.43,17121.6,16807.37,17035.35,2.524,42857.66
2019-06-29 04-PM,BTCAUD,16992.94,17096.76,16606.71,16833.43,6.487,108676.4
2019-06-29 03-PM,BTCAUD,17031.24,17168,16895,16992.94,3.957,67475.44
2019-06-29 02-PM,BTCAUD,17050,17121.2,16900,17031.24,5.367,91335.62
2019-06-29 01-PM,BTCAUD,17207.39,17395.87,16985.73,17050,20.54,352576.58
2019-06-29 12-PM,BTCAUD,17082.18,17290,17049.32,17207.39,16.63,284944.33
2019-06-29 11-AM,BTCAUD,16899.72,17140.42,16755.54,17082.18,17.73,300778.1
2019-06-29 10-AM,BTCAUD,16650,16975.97,16500.02,16899.72,17.51,294027.39
2019-06-29 09-AM,BTCAUD,16667.1,16771.7,16565,16650,3.295,54881.4
2019-06-29 08-AM,BTCAUD,16955.57,16963.19,16606.98,16667.1,8.704,145553.99
2019-06-29 07-AM,BTCAUD,16919.63,16994.66,16704.83,16955.57,7.566,127687.35
2019-06-29 06-AM,BTCAUD,16535.41,16943.5,16410,16919.63,14.01,234013.0
2019-06-29 05-AM,BTCAUD,16748.64,16756.5,16464.02,16535.41,13.8,229397.43
2019-06-29 04-AM,BTCAUD,16483.65,16757.39,16330.19,16748.64,26.59,440189.23
2019-06-29 03-AM,BTCAUD,16873.04,16925.24,16390,16483.65,41.71,696391.79
2019-06-29 02-AM,BTCAUD,16974.02,16974.02,16560.76,16873.04,63.75,1070352.19
2019-06-29 01-AM,BTCAUD,17499.02,17687.99,16960.1,16974.02,29.2,504958.52
2019-06-29 12-AM,BTCAUD,17690.77,17773.07,17313.24,17499.02,28.61,502024.47
2019-06-28 11-PM,BTCAUD,17600,17777,17517.9,17690.77,22.95,405616.66
2019-06-28 10-PM,BTCAUD,17604.84,17604.84,17410.95,17600,25.68,449645.73
2019-06-28 09-PM,BTCAUD,17364.02,17695.75,17364.02,17604.84,20.83,366900.32
2019-06-28 08-PM,BTCAUD,17600,17768.53,17290,17364.02,17.36,305114.0
2019-06-28 07-PM,BTCAUD,16990,17600,16990,17600,20.03,348680.47
2019-06-28 06-PM,BTCAUD,16895,17039.15,16895,16990,3.423,58017.41
2019-06-28 05-PM,BTCAUD,17020.12,17067.21,16812.8,16895,1.348,22841.25
2019-06-28 04-PM,BTCAUD,17061.31,17096.15,16820.74,17020.12,3.192,54077.73
2019-06-28 03-PM,BTCAUD,16674.56,17150,16674.56,17061.31,7.103,120766.01
2019-06-28 02-PM,BTCAUD,16994.84,16994.84,16650.01,16674.56,9.482,159246.76
2019-06-28 01-PM,BTCAUD,16696.71,16994.84,16540.96,16994.84,19.81,331023.52
2019-06-28 12-PM,BTCAUD,17319.3,17340.4,16529,16696.71,30.63,516093.05
2019-06-28 11-AM,BTCAUD,16950,17328.44,16845.82,17319.3,49.33,841506.87
2019-06-28 10-AM,BTCAUD,17060,17219,16754.77,16950,24.23,411537.99
2019-06-28 09-AM,BTCAUD,16736.94,17078.07,16736.94,17060,46.51,787381.9
2019-06-28 08-AM,BTCAUD,16046,16840.03,16046,16736.94,29.25,481855.6
2019-06-28 07-AM,BTCAUD,16169.89,16489,16046,16046,30.38,493055.5
2019-06-28 06-AM,BTCAUD,15898.37,16382.85,15898.37,16169.89,25.33,409820.56
2019-06-28 05-AM,BTCAUD,15747.55,15901.85,15312.56,15898.37,24.01,373639.92
2019-06-28 04-AM,BTCAUD,15865.98,15872.52,15501.43,15747.55,23.47,369302.98
2019-06-28 03-AM,BTCAUD,15674.74,15872.52,15514.58,15865.98,35.78,561544.98
2019-06-28 02-AM,BTCAUD,16154.57,16294.64,15603.57,15674.74,57.01,906859.02
2019-06-28 01-AM,BTCAUD,16343.72,16500,16040.42,16154.57,34.34,561305.37
2019-06-28 12-AM,BTCAUD,15859.55,16377.7,15717.94,16343.72,32.38,523925.95
2019-06-27 11-PM,BTCAUD,15774.11,16188.54,15601.56,15859.55,75.13,1195350.29
2019-06-27 10-PM,BTCAUD,15118.85,15774.11,15118.85,15774.11,61.62,951718.91
2019-06-27 09-PM,BTCAUD,15039.37,15249.87,14650.03,15118.85,71.43,1070074.9
2019-06-27 08-PM,BTCAUD,15321.29,15469.03,14470.01,15039.37,88.75,1311945.4
2019-06-27 07-PM,BTCAUD,15704.38,15775.35,15000.01,15321.29,33.29,506259.23
2019-06-27 06-PM,BTCAUD,15399.8,15824.41,15300,15704.38,11.22,175127.64
2019-06-27 05-PM,BTCAUD,15629,15660.52,14890,15399.8,61.25,933835.9
2019-06-27 04-PM,BTCAUD,16615.39,16761.79,15555.43,15629,69.0,1097103.05
2019-06-27 03-PM,BTCAUD,16952.79,17096.5,16373.65,16615.39,17.76,296819.29
2019-06-27 02-PM,BTCAUD,16536.24,16952.8,16047.96,16952.79,77.53,1276273.27
2019-06-27 01-PM,BTCAUD,16724.59,16909.64,16485.15,16536.24,47.79,795120.49
2019-06-27 12-PM,BTCAUD,17250,17453.28,16567.79,16724.59,50.28,853197.96
2019-06-27 11-AM,BTCAUD,16646.37,17250,16646.37,17250,34.92,593330.04
2019-06-27 10-AM,BTCAUD,16564.25,17178.28,16558,16646.37,63.28,1068382.07
2019-06-27 09-AM,BTCAUD,16924.98,16988.9,15968.01,16564.25,152.8,2506364.93
2019-06-27 08-AM,BTCAUD,17657.49,17743.93,16799.84,16924.98,99.72,1710616.62
2019-06-27 07-AM,BTCAUD,17560.21,17927.91,17437.05,17657.49,98.04,1731996.73
2019-06-27 06-AM,BTCAUD,18412.57,18412.57,17500,17560.21,80.09,1421721.6
2019-06-27 05-AM,BTCAUD,18464.59,18464.59,18021,18412.57,16.57,302727.06
2019-06-27 04-AM,BTCAUD,18428,18670,18313.28,18464.59,30.35,564106.3
2019-06-27 03-AM,BTCAUD,18301.54,18500,18120,18428,17.47,319883.86
2019-06-27 02-AM,BTCAUD,18199,18447.9,17855.79,18301.54,41.69,757218.74
2019-06-27 01-AM,BTCAUD,18782.11,19007.15,17689.14,18199,88.15,1610699.49
2019-06-27 12-AM,BTCAUD,18667.98,19162.2,18345,18782.11,69.39,1310180.51
2019-06-26 11-PM,BTCAUD,17697,18672.58,17642.79,18667.98,53.84,985282.2
2019-06-26 10-PM,BTCAUD,17749.06,17992.99,17390,17697,47.49,842718.64
2019-06-26 09-PM,BTCAUD,18100.02,18210,16400,17749.06,137.95,2378813.61
2019-06-26 08-PM,BTCAUD,19706,19711.23,17520,18100.02,154.79,2820418.11
2019-06-26 07-PM,BTCAUD,19449.82,19706,19100.02,19706,17.76,345680.96
2019-06-26 06-PM,BTCAUD,19080.18,19589,19080,19449.82,25.41,493383.25
2019-06-26 05-PM,BTCAUD,19200,19200,18702.47,19080.18,17.71,336342.61
2019-06-26 04-PM,BTCAUD,18430,19200,18349.23,19200,52.38,985118.01
2019-06-26 03-PM,BTCAUD,18312.87,18464.99,18280,18430,4.97,91330.9
2019-06-26 02-PM,BTCAUD,18450.05,18499.99,18253,18312.87,19.93,366904.79
2019-06-26 01-PM,BTCAUD,18369.95,18459,18255.91,18450.05,37.58,690812.8
2019-06-26 12-PM,BTCAUD,18149.66,18369.95,17975.53,18369.95,22.34,405289.84
2019-06-26 11-AM,BTCAUD,18173.81,18199,18044.23,18149.66,16.89,306051.5
2019-06-26 10-AM,BTCAUD,17710,18198,17607.27,18173.81,71.48,1275132.04
2019-06-26 09-AM,BTCAUD,18126,18126,17582.23,17710,48.18,858466.18
2019-06-26 08-AM,BTCAUD,17875,18150,17850.02,18126,26.43,475075.93
2019-06-26 07-AM,BTCAUD,18219.99,18242.23,17875,17875,47.33,855161.87
2019-06-26 06-AM,BTCAUD,17855.97,18224.81,17855.97,18219.99,38.98,705603.36
2019-06-26 05-AM,BTCAUD,17969.37,18626.45,17729.94,17855.97,123.28,2238840.52
2019-06-26 04-AM,BTCAUD,17685,17978.34,17504.42,17969.37,45.58,806084.15
2019-06-26 03-AM,BTCAUD,17174.13,17685,17174.13,17685,59.91,1044000.87
2019-06-26 02-AM,BTCAUD,17163.4,17200,16985,17174.13,35.84,612499.68
2019-06-26 01-AM,BTCAUD,17201.43,17265,17012.21,17163.4,31.16,534311.99
2019-06-26 12-AM,BTCAUD,16888.88,17250,16816.03,17201.43,30.62,523089.91
2019-06-25 11-PM,BTCAUD,16850,17046.08,16760,16888.88,61.77,1045132.59
2019-06-25 10-PM,BTCAUD,16633.49,16850,16606.69,16850,46.03,770252.23
2019-06-25 09-PM,BTCAUD,16367.58,16651.36,16367.58,16633.49,28.78,475133.57
2019-06-25 08-PM,BTCAUD,16429.2,16446,16350.01,16367.58,12.32,202153.46
2019-06-25 07-PM,BTCAUD,16461.37,16466.7,16386.88,16429.2,2.658,43710.66
2019-06-25 06-PM,BTCAUD,16378.04,16461.37,16375.3,16461.37,1.073,17594.07
2019-06-25 05-PM,BTCAUD,16361.27,16429.86,16251,16378.04,10.01,163555.03
2019-06-25 04-PM,BTCAUD,16417.92,16486.9,16361.27,16361.27,5.391,88476.33
2019-06-25 03-PM,BTCAUD,16272.09,16445,16252.66,16417.92,9.467,154982.72
2019-06-25 02-PM,BTCAUD,16350.97,16410.96,16272.09,16272.09,24.77,405198.26
2019-06-25 01-PM,BTCAUD,16246.62,16359.97,16201.2,16350.97,11.3,184018.2
2019-06-25 12-PM,BTCAUD,16419,16479.8,15895.15,16246.62,79.65,1288751.29
2019-06-25 11-AM,BTCAUD,16513,16549.99,16349.53,16419,58.98,971560.46
2019-06-25 10-AM,BTCAUD,16330,16513.01,16302.99,16513,34.4,565942.66
2019-06-25 09-AM,BTCAUD,16313.57,16379.33,16290.83,16330,14.81,241816.77
2019-06-25 08-AM,BTCAUD,16380,16399.99,16230,16313.57,20.84,340360.18
2019-06-25 07-AM,BTCAUD,16290.75,16398.98,16281,16380,19.66,321809.47
2019-06-25 06-AM,BTCAUD,16289.5,16395,16217.37,16290.75,41.87,684008.14
2019-06-25 05-AM,BTCAUD,16173.45,16299,16173.45,16289.5,33.58,544880.77
2019-06-25 04-AM,BTCAUD,16050,16173.45,16050,16173.45,18.26,294386.62
2019-06-25 03-AM,BTCAUD,16044.05,16139.98,15955.08,16050,19.26,308691.35
2019-06-25 02-AM,BTCAUD,16058.95,16150,15976.27,16044.05,17.95,288621.33
2019-06-25 01-AM,BTCAUD,15946.17,16058.95,15868.38,16058.95,20.44,326422.64
2019-06-25 12-AM,BTCAUD,15870,16010.92,15853,15946.17,22.08,352189.67
2019-06-24 11-PM,BTCAUD,15858.61,15909.84,15815.61,15870,10.88,172596.28
2019-06-24 10-PM,BTCAUD,15774.98,15899.69,15771.84,15858.61,7.889,124972.05
2019-06-24 09-PM,BTCAUD,15620.59,15775,15620.59,15774.98,3.133,49275.28
