Created on 08-11-2019,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1565481600.0,2019-08-11 00:00:00,ETHAUD,330.72,330.72,330.72,330.72,0.0
1565395200.0,2019-08-10 00:00:00,ETHAUD,310.2,348.09,296.51,330.72,2190.4193
1565308800.0,2019-08-09 00:00:00,ETHAUD,325.45,326.69,304.17,310.91,2200.473
1565222400.0,2019-08-08 00:00:00,ETHAUD,332.08,335.67,316.88,323.76,1612.8377
1565136000.0,2019-08-07 00:00:00,ETHAUD,330.57,341.74,323.79,332.08,1081.5019
1565049600.0,2019-08-06 00:00:00,ETHAUD,342.76,348.18,323.97,332.07,2419.4239
1564963200.0,2019-08-05 00:00:00,ETHAUD,328.26,346.94,328.26,342.04,1810.4898
1564876800.0,2019-08-04 00:00:00,ETHAUD,323.49,328.26,323.49,328.26,0.8345
1564790400.0,2019-08-03 00:00:00,ETHAUD,319.23,328.25,317.48,323.49,853.0715
1564704000.0,2019-08-02 00:00:00,ETHAUD,318.99,325.59,314.87,319.23,1388.7073
1564617600.0,2019-08-01 00:00:00,ETHAUD,317.68,320.28,308.93,318.99,1694.3001
1564531200.0,2019-07-31 00:00:00,ETHAUD,305.94,318.69,304.73,317.33,976.6001
1564444800.0,2019-07-30 00:00:00,ETHAUD,304.78,312.38,296.01,305.94,1094.5927
1564358400.0,2019-07-29 00:00:00,ETHAUD,309.05,311.92,299.28,304.78,1122.4313
1564272000.0,2019-07-28 00:00:00,ETHAUD,304.69,311.03,289.13,306.11,970.6085
1564185600.0,2019-07-27 00:00:00,ETHAUD,318.89,324.64,294.99,304.69,1092.3406
1564099200.0,2019-07-26 00:00:00,ETHAUD,319.38,328.2,306.49,318.89,1107.9307
1564012800.0,2019-07-25 00:00:00,ETHAUD,312.41,328.2,309.75,323.83,1018.1546
1563926400.0,2019-07-24 00:00:00,ETHAUD,303.55,312.99,290.23,312.41,1143.1627
1563840000.0,2019-07-23 00:00:00,ETHAUD,313.13,315.87,297.32,302.75,1180.7676
