Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume CCT,Volume BTC
2018-08-20 03-PM,CCTBTC,3.87e-06,3.87e-06,3.83e-06,3.86e-06,4171.79,0.01606
2018-08-20 02-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 01-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 12-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 11-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 10-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 09-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 08-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 07-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 06-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 05-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 04-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 03-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 02-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 01-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 12-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 11-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 10-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 09-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 08-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 07-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 06-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 05-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 04-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 03-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 02-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 01-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 12-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 11-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 10-AM,CCTBTC,3.84e-06,3.87e-06,3.84e-06,3.87e-06,74.82,0.0002887
2018-08-19 09-AM,CCTBTC,3.57e-06,3.84e-06,3.57e-06,3.84e-06,30.56,0.0001173
2018-08-19 08-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-19 07-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-19 06-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,2759.18,0.00985
2018-08-19 05-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-19 04-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-19 03-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-19 02-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-19 01-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-19 12-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 11-PM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 10-PM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 09-PM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 08-PM,CCTBTC,3.57e-06,3.58e-06,3.57e-06,3.57e-06,697.03,0.002492
2018-08-18 07-PM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 06-PM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 05-PM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 04-PM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 03-PM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 02-PM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 01-PM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 12-PM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 11-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 10-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 09-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 08-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 07-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 06-AM,CCTBTC,3.56e-06,3.6e-06,3.56e-06,3.57e-06,693.59,0.002486
2018-08-18 05-AM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-18 04-AM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-18 03-AM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-18 02-AM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-18 01-AM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-18 12-AM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-17 11-PM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-17 10-PM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-17 09-PM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-17 08-PM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-17 07-PM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-17 06-PM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-17 05-PM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-17 04-PM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-17 03-PM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-17 02-PM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-17 01-PM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-17 12-PM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-17 11-AM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-17 10-AM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-17 09-AM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-17 08-AM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-17 07-AM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-17 06-AM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-17 05-AM,CCTBTC,3.56e-06,3.56e-06,3.56e-06,3.56e-06,0.0,0.0
2018-08-17 04-AM,CCTBTC,3.59e-06,3.59e-06,3.56e-06,3.56e-06,1696.42,0.006062
2018-08-17 03-AM,CCTBTC,3.59e-06,3.59e-06,3.59e-06,3.59e-06,0.0,0.0
2018-08-17 02-AM,CCTBTC,3.59e-06,3.59e-06,3.59e-06,3.59e-06,0.0,0.0
2018-08-17 01-AM,CCTBTC,3.59e-06,3.59e-06,3.59e-06,3.59e-06,0.0,0.0
2018-08-17 12-AM,CCTBTC,3.59e-06,3.59e-06,3.59e-06,3.59e-06,0.0,0.0
2018-08-16 11-PM,CCTBTC,3.59e-06,3.59e-06,3.59e-06,3.59e-06,0.0,0.0
2018-08-16 10-PM,CCTBTC,3.59e-06,3.59e-06,3.59e-06,3.59e-06,0.0,0.0
2018-08-16 09-PM,CCTBTC,3.59e-06,3.59e-06,3.59e-06,3.59e-06,0.0,0.0
2018-08-16 08-PM,CCTBTC,3.59e-06,3.59e-06,3.59e-06,3.59e-06,0.0,0.0
2018-08-16 07-PM,CCTBTC,3.59e-06,3.59e-06,3.59e-06,3.59e-06,0.0,0.0
2018-08-16 06-PM,CCTBTC,3.59e-06,3.59e-06,3.59e-06,3.59e-06,0.0,0.0
2018-08-16 05-PM,CCTBTC,3.59e-06,3.59e-06,3.59e-06,3.59e-06,0.0,0.0
2018-08-16 04-PM,CCTBTC,3.59e-06,3.59e-06,3.59e-06,3.59e-06,0.0,0.0
2018-08-16 03-PM,CCTBTC,3.59e-06,3.59e-06,3.59e-06,3.59e-06,0.0,0.0
2018-08-16 02-PM,CCTBTC,3.6e-06,3.6e-06,3.59e-06,3.59e-06,158.0,0.0005672
2018-08-16 01-PM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,119.48,0.0004301
2018-08-16 12-PM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-16 11-AM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-16 10-AM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-16 09-AM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-16 08-AM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-16 07-AM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-16 06-AM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-16 05-AM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-16 04-AM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-16 03-AM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-16 02-AM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-16 01-AM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-16 12-AM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-15 11-PM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-15 10-PM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-15 09-PM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-15 08-PM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-15 07-PM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-15 06-PM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-15 05-PM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-15 04-PM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-15 03-PM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-15 02-PM,CCTBTC,3.6e-06,3.6e-06,3.6e-06,3.6e-06,0.0,0.0
2018-08-15 01-PM,CCTBTC,3.55e-06,3.64e-06,3.55e-06,3.6e-06,1540.58,0.005578
2018-08-15 12-PM,CCTBTC,3.55e-06,3.55e-06,3.55e-06,3.55e-06,0.0,0.0
2018-08-15 11-AM,CCTBTC,3.55e-06,3.55e-06,3.55e-06,3.55e-06,0.0,0.0
2018-08-15 10-AM,CCTBTC,3.55e-06,3.55e-06,3.55e-06,3.55e-06,0.0,0.0
2018-08-15 09-AM,CCTBTC,3.55e-06,3.55e-06,3.55e-06,3.55e-06,0.0,0.0
2018-08-15 08-AM,CCTBTC,3.55e-06,3.55e-06,3.55e-06,3.55e-06,0.0,0.0
2018-08-15 07-AM,CCTBTC,3.55e-06,3.55e-06,3.55e-06,3.55e-06,0.0,0.0
2018-08-15 06-AM,CCTBTC,3.55e-06,3.55e-06,3.55e-06,3.55e-06,0.0,0.0
2018-08-15 05-AM,CCTBTC,3.55e-06,3.55e-06,3.55e-06,3.55e-06,0.0,0.0
2018-08-15 04-AM,CCTBTC,3.55e-06,3.55e-06,3.55e-06,3.55e-06,0.0,0.0
2018-08-15 03-AM,CCTBTC,3.55e-06,3.55e-06,3.55e-06,3.55e-06,0.0,0.0
2018-08-15 02-AM,CCTBTC,3.55e-06,3.55e-06,3.55e-06,3.55e-06,0.0,0.0
