Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume RUR
2018-08-20 03-AM,ZECRUR,9590.17,9600.98,9590.17,9600.98,0.8909,8546.83
2018-08-20 02-AM,ZECRUR,9589.09,9590.17,9589.09,9590.17,0.2378,2280.4
2018-08-20 01-AM,ZECRUR,9591.35,9698.01,9589.09,9589.09,0.2152,2079.99
2018-08-20 12-AM,ZECRUR,9600,9706.88,9589.09,9591.35,0.1389,1338.93
2018-08-19 11-PM,ZECRUR,9600,9600,9600,9600,0.6099,5855.06
2018-08-19 10-PM,ZECRUR,9589.09,9600,9589.09,9600,0.1088,1044.69
2018-08-19 09-PM,ZECRUR,9589.09,9760.73,9589.09,9589.09,0.5824,5602.03
2018-08-19 08-PM,ZECRUR,9585.47,9767.52,9585.47,9589.09,1.74,16689.6
2018-08-19 07-PM,ZECRUR,9604.87,9609,9585.47,9585.47,0.04037,387.71
2018-08-19 06-PM,ZECRUR,9560.02,9799.17,9560.01,9604.87,3.23,31229.66
2018-08-19 05-PM,ZECRUR,9549.61,9707,9549.61,9560.02,1.74,16591.86
2018-08-19 04-PM,ZECRUR,9797.56,9797.56,9538.01,9549.61,1.16,11125.87
2018-08-19 03-PM,ZECRUR,9731.67,9819.43,9542.07,9797.56,0.4219,4056.3
2018-08-19 02-PM,ZECRUR,9731.67,9800,9731.67,9731.67,0.257,2504.6
2018-08-19 01-PM,ZECRUR,9516.27,9731.67,9516.27,9731.67,0.3743,3597.6
2018-08-19 12-PM,ZECRUR,9600,9753.6,9516.27,9516.27,1.05,10143.78
2018-08-19 11-AM,ZECRUR,9520.36,9600,9410.79,9600,7.34,70070.82
2018-08-19 10-AM,ZECRUR,9485.41,9530,9408.89,9520.36,3.69,34816.05
2018-08-19 09-AM,ZECRUR,9485.84,9600,9400.91,9485.41,3.43,32434.32
2018-08-19 08-AM,ZECRUR,9587.6,9615.82,9485.82,9485.84,1.42,13542.11
2018-08-19 07-AM,ZECRUR,9400,9643.57,9328.35,9587.6,0.9263,8715.92
2018-08-19 06-AM,ZECRUR,9450,9499.99,9400,9400,0.2533,2395.04
2018-08-19 05-AM,ZECRUR,9500,9649,9440.27,9450,0.4544,4334.19
2018-08-19 04-AM,ZECRUR,9605,9649.1,9500,9500,1.12,10673.67
2018-08-19 03-AM,ZECRUR,9605,9605,9605,9605,0.0,0.0
2018-08-19 02-AM,ZECRUR,9650,9650,9605,9605,0.2481,2388.01
2018-08-19 01-AM,ZECRUR,9727.15,9727.15,9650,9650,1.84,17838.48
2018-08-19 12-AM,ZECRUR,9850.15,9912.91,9727.15,9727.15,3.55,35058.13
2018-08-18 11-PM,ZECRUR,9728,9850.15,9727.15,9850.15,2.16,21101.27
2018-08-18 10-PM,ZECRUR,9727.15,9844.33,9727.15,9728,3.89,38293.79
2018-08-18 09-PM,ZECRUR,9846.7,9846.7,9727.15,9727.15,0.3,2918.26
2018-08-18 08-PM,ZECRUR,9728.32,9855.13,9728.32,9846.7,0.02522,245.93
2018-08-18 07-PM,ZECRUR,9745,9857.7,9728.32,9728.32,2.78,27028.56
2018-08-18 06-PM,ZECRUR,9745,10000,9745,9745,7.17,70887.43
2018-08-18 05-PM,ZECRUR,9750,9859.89,9745,9745,7.6,74107.71
2018-08-18 04-PM,ZECRUR,9750,9861.05,9745,9750,0.9157,8985.55
2018-08-18 03-PM,ZECRUR,9728.33,9800,9728.33,9750,2.37,23135.6
2018-08-18 02-PM,ZECRUR,9826.49,9826.49,9728.32,9728.33,3.19,31171.64
2018-08-18 01-PM,ZECRUR,9789.01,9997.95,9789.01,9826.49,0.1077,1057.86
2018-08-18 12-PM,ZECRUR,9999.68,9999.68,9786.85,9789.01,1.47,14406.18
2018-08-18 11-AM,ZECRUR,9970.42,9999.68,9756.2,9999.68,0.5228,5211.45
2018-08-18 10-AM,ZECRUR,9769.91,9970.42,9751.09,9970.42,1.48,14458.68
2018-08-18 09-AM,ZECRUR,9786.16,9858.78,9769.01,9769.91,1.41,13826.85
2018-08-18 08-AM,ZECRUR,9800.1,9858.78,9786.16,9786.16,4.23,41450.54
2018-08-18 07-AM,ZECRUR,9900,9900,9800.1,9800.1,3.07,30214.27
2018-08-18 06-AM,ZECRUR,9909.26,10026.88,9900,9900,6.66,66563.02
2018-08-18 05-AM,ZECRUR,10067.3,10067.3,9909.19,9909.26,1.72,17216.69
2018-08-18 04-AM,ZECRUR,10110,10110,10067.3,10067.3,0.3294,3324.63
2018-08-18 03-AM,ZECRUR,10160.83,10234.12,10110,10110,1.19,12056.39
2018-08-18 02-AM,ZECRUR,10234.12,10234.12,10110,10160.83,0.2544,2585.81
2018-08-18 01-AM,ZECRUR,9934.71,10234.12,9934.71,10234.12,0.03749,376.97
2018-08-18 12-AM,ZECRUR,10010.93,10010.93,9930.34,9934.71,0.03309,329.5
2018-08-17 11-PM,ZECRUR,10305,10305,10010.93,10010.93,0.0271,271.99
2018-08-17 10-PM,ZECRUR,9825.04,10363.3,9825.04,10305,2.66,26730.15
2018-08-17 09-PM,ZECRUR,9961.57,9961.57,9821.42,9825.04,0.1446,1420.87
2018-08-17 08-PM,ZECRUR,9963,9963,9840.27,9961.57,2.45,24128.74
2018-08-17 07-PM,ZECRUR,9900,9993.61,9820,9963,4.18,41414.32
2018-08-17 06-PM,ZECRUR,9851,9920,9850,9900,2.05,20162.93
2018-08-17 05-PM,ZECRUR,9808,9899.89,9808,9851,0.5237,5176.38
2018-08-17 04-PM,ZECRUR,9777.17,9858,9769.01,9808,1.03,10119.21
2018-08-17 03-PM,ZECRUR,9800,9858.53,9777.17,9777.17,0.8478,8303.13
