Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DOG,Volume EBTC
2018-06-24 01-PM,DOGEBTC,4.1e-07,4.1e-07,4.1e-07,4.1e-07,3004000.0,1.24
2018-06-24 12-PM,DOGEBTC,4.1e-07,4.1e-07,4.1e-07,4.1e-07,1290000.0,0.5301
2018-06-24 11-AM,DOGEBTC,4.1e-07,4.1e-07,4.1e-07,4.1e-07,969000.0,0.3985
2018-06-24 10-AM,DOGEBTC,4.1e-07,4.1e-07,4.1e-07,4.1e-07,742000.0,0.3045
2018-06-24 09-AM,DOGEBTC,4.1e-07,4.1e-07,4.1e-07,4.1e-07,3856000.0,1.59
2018-06-24 08-AM,DOGEBTC,4.1e-07,4.1e-07,4.1e-07,4.1e-07,1345000.0,0.5565
2018-06-24 07-AM,DOGEBTC,4.1e-07,4.2e-07,4.1e-07,4.1e-07,2130000.0,0.8801
2018-06-24 06-AM,DOGEBTC,4.1e-07,4.2e-07,4.1e-07,4.1e-07,1919000.0,0.794
2018-06-24 05-AM,DOGEBTC,4.2e-07,4.2e-07,4.1e-07,4.1e-07,3144000.0,1.31
2018-06-24 04-AM,DOGEBTC,4.2e-07,4.2e-07,4.2e-07,4.2e-07,2618000.0,1.1
2018-06-24 03-AM,DOGEBTC,4.2e-07,4.2e-07,4.2e-07,4.2e-07,593000.0,0.2497
2018-06-24 02-AM,DOGEBTC,4.2e-07,4.2e-07,4.2e-07,4.2e-07,892000.0,0.376
2018-06-24 01-AM,DOGEBTC,4.2e-07,4.2e-07,4.2e-07,4.2e-07,1140000.0,0.4806
2018-06-24 12-AM,DOGEBTC,4.2e-07,4.2e-07,4.2e-07,4.2e-07,174000.0,0.0735
2018-06-23 11-PM,DOGEBTC,4.2e-07,4.2e-07,4.2e-07,4.2e-07,195000.0,0.08256
2018-06-23 10-PM,DOGEBTC,4.2e-07,4.2e-07,4.2e-07,4.2e-07,1856000.0,0.7834
2018-06-23 09-PM,DOGEBTC,4.2e-07,4.2e-07,4.2e-07,4.2e-07,397000.0,0.1682
2018-06-23 08-PM,DOGEBTC,4.2e-07,4.2e-07,4.2e-07,4.2e-07,367000.0,0.1552
2018-06-23 07-PM,DOGEBTC,4.3e-07,4.3e-07,4.2e-07,4.2e-07,414000.0,0.1751
2018-06-23 06-PM,DOGEBTC,4.2e-07,4.3e-07,4.2e-07,4.3e-07,780000.0,0.3298
2018-06-23 05-PM,DOGEBTC,4.2e-07,4.3e-07,4.2e-07,4.2e-07,548000.0,0.2325
2018-06-23 04-PM,DOGEBTC,4.3e-07,4.3e-07,4.2e-07,4.2e-07,693000.0,0.2941
2018-06-23 03-PM,DOGEBTC,4.3e-07,4.3e-07,4.2e-07,4.3e-07,158000.0,0.06712
2018-06-23 02-PM,DOGEBTC,4.2e-07,4.3e-07,4.2e-07,4.3e-07,44945000.0,19.1
2018-06-23 01-PM,DOGEBTC,4.3e-07,4.3e-07,4.2e-07,4.2e-07,786000.0,0.3327
2018-06-23 12-PM,DOGEBTC,4.2e-07,4.3e-07,4.2e-07,4.3e-07,2715000.0,1.16
2018-06-23 11-AM,DOGEBTC,4.2e-07,4.3e-07,4.2e-07,4.2e-07,1111000.0,0.4714
2018-06-23 10-AM,DOGEBTC,4.2e-07,4.2e-07,4.2e-07,4.2e-07,1544000.0,0.6512
2018-06-23 09-AM,DOGEBTC,4.2e-07,4.2e-07,4.2e-07,4.2e-07,1694000.0,0.7136
2018-06-23 08-AM,DOGEBTC,4.2e-07,4.2e-07,4.2e-07,4.2e-07,1900000.0,0.7984
2018-06-23 07-AM,DOGEBTC,4.2e-07,4.3e-07,4.2e-07,4.2e-07,2395000.0,1.01
2018-06-23 06-AM,DOGEBTC,4.2e-07,4.3e-07,4.2e-07,4.2e-07,4077000.0,1.73
2018-06-23 05-AM,DOGEBTC,4.3e-07,4.3e-07,4.2e-07,4.2e-07,745000.0,0.3174
2018-06-23 04-AM,DOGEBTC,4.3e-07,4.3e-07,4.2e-07,4.3e-07,27749000.0,11.77
2018-06-23 03-AM,DOGEBTC,4.2e-07,4.3e-07,4.2e-07,4.3e-07,22014000.0,9.38
2018-06-23 02-AM,DOGEBTC,4.3e-07,4.3e-07,4.2e-07,4.2e-07,26817000.0,11.38
2018-06-23 01-AM,DOGEBTC,4.3e-07,4.3e-07,4.3e-07,4.3e-07,1760000.0,0.753
2018-06-23 12-AM,DOGEBTC,4.3e-07,4.3e-07,4.2e-07,4.3e-07,660000.0,0.2805
2018-06-22 11-PM,DOGEBTC,4.3e-07,4.3e-07,4.2e-07,4.3e-07,2175000.0,0.9233
2018-06-22 10-PM,DOGEBTC,4.3e-07,4.3e-07,4.3e-07,4.3e-07,566000.0,0.2422
2018-06-22 09-PM,DOGEBTC,4.3e-07,4.3e-07,4.3e-07,4.3e-07,2440000.0,1.04
2018-06-22 08-PM,DOGEBTC,4.3e-07,4.3e-07,4.3e-07,4.3e-07,1366000.0,0.5836
2018-06-22 07-PM,DOGEBTC,4.3e-07,4.3e-07,4.3e-07,4.3e-07,1438000.0,0.6137
2018-06-22 06-PM,DOGEBTC,4.3e-07,4.3e-07,4.3e-07,4.3e-07,804000.0,0.3426
2018-06-22 05-PM,DOGEBTC,4.3e-07,4.3e-07,4.3e-07,4.3e-07,1068000.0,0.4567
2018-06-22 04-PM,DOGEBTC,4.3e-07,4.3e-07,4.3e-07,4.3e-07,1413000.0,0.6031
2018-06-22 03-PM,DOGEBTC,4.3e-07,4.3e-07,4.3e-07,4.3e-07,2951000.0,1.26
2018-06-22 02-PM,DOGEBTC,4.3e-07,4.3e-07,4.3e-07,4.3e-07,1916000.0,0.8201
2018-06-22 01-PM,DOGEBTC,4.3e-07,4.3e-07,4.3e-07,4.3e-07,2057000.0,0.8816
2018-06-22 12-PM,DOGEBTC,4.4e-07,4.4e-07,4.3e-07,4.3e-07,2496000.0,1.08
2018-06-22 11-AM,DOGEBTC,4.3e-07,4.4e-07,4.3e-07,4.4e-07,245000.0,0.107
2018-06-22 10-AM,DOGEBTC,4.4e-07,4.4e-07,4.3e-07,4.3e-07,684000.0,0.2986
2018-06-22 09-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,1629000.0,0.7126
2018-06-22 08-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,442000.0,0.1935
2018-06-22 07-AM,DOGEBTC,4.4e-07,4.4e-07,4.3e-07,4.4e-07,1753000.0,0.7661
2018-06-22 06-AM,DOGEBTC,4.4e-07,4.4e-07,4.3e-07,4.4e-07,204000.0,0.08884
2018-06-22 05-AM,DOGEBTC,4.4e-07,4.4e-07,4.3e-07,4.4e-07,706000.0,0.3082
2018-06-22 04-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,503000.0,0.2207
2018-06-22 03-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,306000.0,0.1343
2018-06-22 02-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,149000.0,0.06561
2018-06-22 01-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,463000.0,0.2034
2018-06-22 12-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,1116000.0,0.4913
2018-06-21 11-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,1527000.0,0.6713
2018-06-21 10-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,287000.0,0.126
2018-06-21 09-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,369000.0,0.1622
2018-06-21 08-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,311000.0,0.1365
