Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume LTC
2019-07-03,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-01,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-30,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-29,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-28,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-27,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-26,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-25,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-24,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-23,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-22,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-21,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-20,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-19,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-18,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-17,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-16,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-15,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-14,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-13,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-12,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-11,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-10,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-09,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-08,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-07,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-06,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-05,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-04,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-03,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-02,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-06-01,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
