Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume AST,Volume BTC
2019-07-03,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-07-02,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-07-01,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-30,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-29,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-28,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-27,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-26,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-25,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-24,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-23,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-22,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-21,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-20,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-19,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-18,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-17,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-16,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-15,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-14,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-13,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-12,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-11,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-10,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-09,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-08,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-07,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-06,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-05,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-04,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-03,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-02,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-06-01,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-05-31,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-05-30,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-05-29,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-05-28,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-05-27,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-05-26,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-05-25,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-05-24,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-05-23,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-05-22,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-05-21,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-05-20,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
2019-05-19,ASTBTC,8.02e-06,8.02e-06,8.02e-06,8.02e-06,0.0,0.0
