Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume RUR
2018-08-22 11-PM,ETCRUR,855.11,858.67,855.11,858.67,0.0,0.0
2018-08-22 10-PM,ETCRUR,843,855.11,843,855.11,1.49,1275.52
2018-08-22 09-PM,ETCRUR,842,855.96,842,843,5.92,4982.49
2018-08-22 08-PM,ETCRUR,853.46,863.57,841,842,78.53,66749.24
2018-08-22 07-PM,ETCRUR,867.01,871,853.46,853.46,141.39,122460.17
2018-08-22 06-PM,ETCRUR,867.01,876,867.01,867.01,31.84,27643.37
2018-08-22 05-PM,ETCRUR,867.01,880.45,867.01,867.01,6.04,5242.73
2018-08-22 04-PM,ETCRUR,870,880,867,867.01,25.5,22225.5
2018-08-22 03-PM,ETCRUR,867.6,880.65,867.6,870,8.6,7484.4
2018-08-22 02-PM,ETCRUR,870.26,872.11,867.6,867.6,13.75,11948.74
2018-08-22 01-PM,ETCRUR,872.11,880,870.26,870.26,5.92,5179.44
2018-08-22 12-PM,ETCRUR,858.41,872.11,858.41,872.11,14.08,12130.91
2018-08-22 11-AM,ETCRUR,858.29,876.6,858.29,858.41,15.12,13040.57
2018-08-22 10-AM,ETCRUR,858.62,877.26,858.04,858.29,9.37,8063.2
2018-08-22 09-AM,ETCRUR,858.04,864.49,858.04,858.62,19.16,16466.81
2018-08-22 08-AM,ETCRUR,867.7,868,856.33,858.04,12.1,10401.46
2018-08-22 07-AM,ETCRUR,872.72,872.72,861.12,867.7,16.0,13840.26
2018-08-22 06-AM,ETCRUR,865.8,872.72,859.34,872.72,8.09,7010.87
2018-08-22 05-AM,ETCRUR,868.8,868.8,859.34,865.8,7.41,6393.22
2018-08-22 04-AM,ETCRUR,860.3,877.93,860.3,868.8,10.3,8940.01
2018-08-22 03-AM,ETCRUR,864.35,883.92,858.7,860.3,7.28,6387.73
2018-08-22 02-AM,ETCRUR,884.98,884.98,864.35,864.35,0.9297,803.76
2018-08-22 01-AM,ETCRUR,860,884.98,860,884.98,7.64,6709.24
2018-08-22 12-AM,ETCRUR,874,874,860,860,4.7,4079.39
2018-08-21 11-PM,ETCRUR,870,874,870,874,0.6725,585.09
2018-08-21 10-PM,ETCRUR,872.84,874,870,870,14.97,13029.12
2018-08-21 09-PM,ETCRUR,866.25,872.94,862.32,872.84,23.86,20754.87
2018-08-21 08-PM,ETCRUR,864,874,864,866.25,40.11,34939.8
2018-08-21 07-PM,ETCRUR,860.08,866.61,853.6,864,10.5,9012.25
2018-08-21 06-PM,ETCRUR,853,864.88,853,860.08,8.72,7474.94
2018-08-21 05-PM,ETCRUR,850.2,863.67,850.2,853,8.12,6939.88
2018-08-21 04-PM,ETCRUR,856.71,860.16,850.19,850.2,14.1,11993.03
2018-08-21 03-PM,ETCRUR,855,856.71,851,856.71,28.62,24408.34
2018-08-21 02-PM,ETCRUR,861,867.91,855,855,18.21,15660.15
2018-08-21 01-PM,ETCRUR,867.92,868.91,861,861,9.72,8387.49
