Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume IDR
2019-06-30 02-PM,BTCIDR,162002000,162002000,160000000,161999000,0.6621,106619385.63
2019-06-30 01-PM,BTCIDR,166748000,167700000,162000000,162002000,0.6448,105857776.29
2019-06-30 12-PM,BTCIDR,165500000,167000000,165100000,166748000,0.1208,20030320.53
2019-06-30 11-AM,BTCIDR,167052000,167530000,165100000,165500000,0.1521,25228450.88
2019-06-30 10-AM,BTCIDR,170700000,170700000,165000000,167052000,0.4163,69571038.27
2019-06-30 09-AM,BTCIDR,170100000,170997000,170001000,170700000,0.05488,9346591.95
2019-06-30 08-AM,BTCIDR,170100000,170100000,169907000,170100000,0.01234,2098238.96
2019-06-30 07-AM,BTCIDR,172298000,172298000,166000000,170100000,0.3288,55931351.88
2019-06-30 06-AM,BTCIDR,172498000,172498000,172100000,172298000,0.02064,3555347.11
2019-06-30 05-AM,BTCIDR,173099000,173099000,170600000,172498000,0.2578,44404322.0
2019-06-30 04-AM,BTCIDR,172701000,173490000,172200000,173099000,0.1767,30598433.99
2019-06-30 03-AM,BTCIDR,172950000,173490000,171708000,172701000,0.2106,36432066.93
2019-06-30 02-AM,BTCIDR,173050000,173050000,171252000,172950000,0.02175,3742941.04
2019-06-30 01-AM,BTCIDR,173500000,173500000,171200000,173050000,0.01538,2656615.03
2019-06-30 12-AM,BTCIDR,172309000,173500000,172207000,173500000,0.2234,38708161.5
2019-06-29 11-PM,BTCIDR,171995000,173480000,171908000,172309000,0.6161,106297895.98
2019-06-29 10-PM,BTCIDR,171500000,172000000,169000000,171995000,0.06873,11794426.96
2019-06-29 09-PM,BTCIDR,171700000,171700000,171500000,171500000,0.003499,600078.5
2019-06-29 08-PM,BTCIDR,171999000,171999000,171700000,171700000,0.000582,99929.4
2019-06-29 07-PM,BTCIDR,171900000,171999000,171899000,171999000,0.03304,5682842.47
2019-06-29 06-PM,BTCIDR,171699000,171990000,171699000,171900000,0.001962,337330.89
2019-06-29 05-PM,BTCIDR,171015000,171699000,170931000,171699000,0.023,3942961.97
2019-06-29 04-PM,BTCIDR,171000000,172035000,168031000,171015000,0.4712,80150057.61
2019-06-29 03-PM,BTCIDR,171120000,173000000,171000000,171000000,0.7252,124791678.77
2019-06-29 02-PM,BTCIDR,172490000,172490000,171101000,171120000,0.09201,15804938.83
2019-06-29 01-PM,BTCIDR,172999000,173500000,171101000,172490000,0.3782,65497175.25
2019-06-29 12-PM,BTCIDR,172299000,173499000,171101000,172999000,0.2412,41616567.71
2019-06-29 11-AM,BTCIDR,171000000,172299000,169501000,172299000,0.4186,71682881.78
2019-06-29 10-AM,BTCIDR,170000000,171189000,169000000,171000000,0.2354,39908937.52
2019-06-29 09-AM,BTCIDR,170610000,171005000,170000000,170000000,0.2626,44825544.59
2019-06-29 08-AM,BTCIDR,171999000,171999000,170000000,170610000,0.1565,26765918.45
2019-06-29 07-AM,BTCIDR,171999000,171999000,170962000,171999000,0.05056,8662984.96
