Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume JPY
2019-07-03,BTCJPY,1174473,1248879,1173243,1219853,8576.4,10443802870.01
2019-07-02,BTCJPY,1156299,1182600,1050000,1174473,16524.91,18380566517.24
2019-07-01,BTCJPY,1171306,1220000,1090000,1156299,15276.41,17802309893.41
2019-06-30,BTCJPY,1290768,1322001,1164650,1171306,10738.06,13402529085.59
2019-06-29,BTCJPY,1342710,1344000,1241052,1290768,11789.07,15170416982.8
2019-06-28,BTCJPY,1221271,1347776,1170000,1342710,17199.23,21711220005.81
2019-06-27,BTCJPY,1399265,1437999,1116043,1221271,25779.05,32952360353.88
2019-06-26,BTCJPY,1262333,1495427,1252030,1399265,24338.19,33181488073.3
2019-06-25,BTCJPY,1180700,1264069,1180077,1262333,11206.3,13595219166.39
2019-06-24,BTCJPY,1163505,1188000,1131120,1180700,7016.54,8152358963.35
2019-06-23,BTCJPY,1145500,1199500,1127222,1163505,7908.59,9157926982.14
2019-06-22,BTCJPY,1095000,1200000,1083000,1145500,15966.69,18374223967.26
2019-06-21,BTCJPY,1023420,1097290,1023420,1095000,8204.62,8639003618.0
2019-06-20,BTCJPY,1002024,1030000,994440,1023420,4988.58,5029288391.23
2019-06-19,BTCJPY,986025,1005000,982000,1002024,3589.18,3562900342.15
2019-06-18,BTCJPY,1013696,1015370,970500,986025,6022.89,5978118810.19
2019-06-17,BTCJPY,977299,1025586,976280,1013696,8125.14,8162869239.03
2019-06-16,BTCJPY,959400,1018500,952904,977299,11237.25,11123324952.74
2019-06-15,BTCJPY,944847,962000,935265,959400,4811.99,4561865839.67
2019-06-14,BTCJPY,893750,946711,888022,944847,5652.14,5150632124.26
2019-06-13,BTCJPY,886889,905000,875000,893750,4030.68,3579360772.6
2019-06-12,BTCJPY,860725,897539,851679,886889,5528.92,4829076314.56
2019-06-11,BTCJPY,870015,873713,840000,860725,4431.85,3804124793.48
2019-06-10,BTCJPY,833600,877100,819776,870015,6706.64,5700764453.41
2019-06-09,BTCJPY,860954,864501,821194,833600,4707.31,3978819135.41
2019-06-08,BTCJPY,867670,873333,845500,860954,3146.45,2712604374.57
2019-06-07,BTCJPY,846482,881196,840260,867670,5600.69,4822208484.64
2019-06-06,BTCJPY,844971,853300,810000,846482,5537.6,4653604676.91
2019-06-05,BTCJPY,831423,859900,821574,844971,8644.14,7286194950.66
2019-06-04,BTCJPY,878998,880234,806850,831423,12759.1,10848452258.73
2019-06-03,BTCJPY,946500,947472,875000,878998,6871.91,6327072079.01
2019-06-02,BTCJPY,925022,954515,924021,946500,4508.82,4241172495.3
2019-06-01,BTCJPY,928180,932475,915629,925022,3524.84,3264582772.89
2019-05-31,BTCJPY,907386,931359,889901,928180,7476.59,6797335212.76
2019-05-30,BTCJPY,948273,990700,880744,907386,10627.11,9998696518.94
2019-05-29,BTCJPY,952867,955736,923350,948273,5397.11,5091022802.0
2019-05-28,BTCJPY,960100,964500,938100,952867,4668.48,4451623916.16
2019-05-27,BTCJPY,953474,975000,945901,960100,8045.17,7726657667.88
2019-05-26,BTCJPY,883875,954250,867000,953474,7531.6,6876293090.61
2019-05-25,BTCJPY,874415,888888,870100,883875,3404.84,2998080254.85
2019-05-24,BTCJPY,863494,892825,856000,874415,6137.19,5370560504.76
2019-05-23,BTCJPY,844000,874700,826000,863494,6265.86,5314243149.21
2019-05-22,BTCJPY,879495,885900,833000,844000,6292.66,5450634264.96
2019-05-21,BTCJPY,878650,894338,864714,879495,5945.48,5214162625.6
2019-05-20,BTCJPY,899120,900135,835500,878650,10121.34,8820977878.85
2019-05-19,BTCJPY,801006,909850,800584,899120,11748.35,10240100050.65
2019-05-18,BTCJPY,813262,822076,796770,801006,5158.95,4175470132.1
2019-05-17,BTCJPY,867106,872500,736257,813262,13681.74,10906075078.91
2019-05-16,BTCJPY,897002,916901,850000,867106,10638.48,9375131835.88
2019-05-15,BTCJPY,877000,906066,863005,897002,11159.42,9843790852.16
2019-05-14,BTCJPY,854062,915000,837352,877000,16153.44,14192879814.72
2019-05-13,BTCJPY,766297,890131,755060,854062,16485.87,13706365378.79
2019-05-12,BTCJPY,797940,838429,742991,766297,17376.72,13732698549.6
2019-05-11,BTCJPY,698820,880000,698816,797940,13537.75,10275570732.77
2019-05-10,BTCJPY,674664,705195,671306,698820,7454.45,5150425541.3
2019-05-09,BTCJPY,653899,677253,652776,674664,5538.44,3679071662.69
2019-05-08,BTCJPY,636280,658000,630000,653899,4930.44,3164256447.8
2019-05-07,BTCJPY,629700,659800,629166,652005,3434.08,2220186619.5
2019-05-06,BTCJPY,632873,636781,615954,629700,4213.4,2637848701.2
2019-05-05,BTCJPY,640290,640455,625700,632873,3088.97,1960066480.06
2019-05-04,BTCJPY,628473,644999,613000,640290,5091.95,3223390000.79
2019-05-03,BTCJPY,601458,644899,599300,628473,7196.86,4514165335.94
2019-05-02,BTCJPY,593000,604660,591301,601458,2768.34,1655267812.67
2019-05-01,BTCJPY,587393,595050,587013,593000,2947.39,1742618723.44
2019-04-30,BTCJPY,577863,589668,575345,587393,2824.68,1644582564.03
2019-04-29,BTCJPY,579000,583299,573000,577863,2744.43,1589713420.32
2019-04-28,BTCJPY,579990,585500,575000,579000,2196.29,1276542611.25
2019-04-27,BTCJPY,579700,584386,573750,580492,2331.07,1350701249.93
2019-04-26,BTCJPY,579000,596000,567910,579700,7171.12,4170279108.25
2019-04-25,BTCJPY,611479,616448,560010,579000,7074.12,4216276073.6
2019-04-24,BTCJPY,619737,629350,604666,611479,5449.75,3358371347.48
2019-04-23,BTCJPY,603102,631885,600299,619737,5477.62,3388632823.5
2019-04-22,BTCJPY,594101,605900,590000,603102,4166.05,2483054431.43
2019-04-21,BTCJPY,595646,598232,585592,594101,2550.53,1511076347.81
2019-04-20,BTCJPY,591437,599991,589390,595646,2353.51,1400494248.87
2019-04-19,BTCJPY,591395,598590,582885,591437,3237.52,1906994802.38
2019-04-18,BTCJPY,584418,594498,584099,591395,3273.91,1927988639.28
2019-04-17,BTCJPY,581653,589729,579450,584418,3585.89,2095021664.96
2019-04-16,BTCJPY,563500,586000,561995,581653,4886.85,2795918771.63
2019-04-15,BTCJPY,577520,580000,555329,563500,3838.25,2197489287.26
2019-04-14,BTCJPY,568149,580150,563268,577520,1878.38,1073003851.74
2019-04-13,BTCJPY,569500,574000,564940,568149,1482.5,844885552.87
2019-04-12,BTCJPY,564000,572696,548035,569500,5085.14,2856101950.11
2019-04-11,BTCJPY,591143,593943,555492,564000,6502.23,3720762832.34
2019-04-10,BTCJPY,576941,608702,574000,591143,7203.75,4225313243.15
2019-04-09,BTCJPY,588520,589240,572500,576941,5040.34,2926630464.04
2019-04-08,BTCJPY,579725,595950,572500,588520,8092.34,4739423032.56
2019-04-07,BTCJPY,563489,587330,562001,579725,5354.99,3073522285.24
2019-04-06,BTCJPY,562532,584250,548690,563489,4852.51,2744952554.17
2019-04-05,BTCJPY,548000,565040,546008,562532,4514.32,2513236218.0
2019-04-04,BTCJPY,555300,566499,534204,548000,8102.33,4486625344.97
2019-04-03,BTCJPY,545469,596490,538315,555300,16899.27,9510993768.0
2019-04-02,BTCJPY,460500,585000,459980,545469,14740.26,7709836015.21
2019-04-01,BTCJPY,453417,461498,450000,460500,3553.54,1624311295.79
2019-03-31,BTCJPY,453000,454599,451284,453417,1126.8,510049262.1
2019-03-30,BTCJPY,452501,458000,447690,453000,1705.45,772104629.52
2019-03-29,BTCJPY,443222,453623,443000,452501,3297.61,1475247444.22
2019-03-28,BTCJPY,444477,444477,440000,443222,1815.84,802770763.0
2019-03-27,BTCJPY,433151,444995,432086,444477,3027.05,1331954686.44
2019-03-26,BTCJPY,429928,433449,428500,433151,2483.46,1070510273.7
2019-03-25,BTCJPY,436971,438183,426000,429928,3246.11,1410783219.68
2019-03-24,BTCJPY,438500,438500,433968,436971,1341.26,585624160.76
2019-03-23,BTCJPY,438504,440314,435778,438500,1465.84,642330895.6
2019-03-22,BTCJPY,440825,441633,437500,438504,2155.38,948700654.15
2019-03-21,BTCJPY,445814,447000,435971,440825,3102.13,1374379026.43
2019-03-20,BTCJPY,445064,447465,442000,445814,2887.96,1283319888.6
2019-03-19,BTCJPY,442176,446000,438746,445064,2537.94,1121817003.12
2019-03-18,BTCJPY,441454,446800,438530,442176,3150.7,1394045111.34
2019-03-17,BTCJPY,443635,443988,438200,441454,1613.23,711222988.12
2019-03-16,BTCJPY,434178,448820,434027,443635,3602.4,1593353956.96
2019-03-15,BTCJPY,430167,435042,429509,434178,2524.68,1090121511.28
2019-03-14,BTCJPY,428300,434390,422187,430167,3069.6,1316743252.75
2019-03-13,BTCJPY,429580,430861,426000,428300,2460.2,1055035393.77
2019-03-12,BTCJPY,428795,431300,423560,429580,2670.21,1141160569.33
2019-03-11,BTCJPY,433206,434144,425600,428795,4301.15,1850829076.45
2019-03-10,BTCJPY,435287,435287,430000,433206,1789.74,774198143.31
2019-03-09,BTCJPY,427484,437980,426600,435287,2729.92,1182408459.22
2019-03-08,BTCJPY,430100,433560,420427,427484,3361.58,1443009020.56
2019-03-07,BTCJPY,429848,434300,427891,430100,3397.4,1464450606.17
2019-03-06,BTCJPY,429450,434680,425103,429848,3171.47,1359943126.73
2019-03-05,BTCJPY,413871,432525,413203,429450,4438.45,1875517466.18
2019-03-04,BTCJPY,423661,425800,410625,413871,4115.56,1717679092.95
2019-03-03,BTCJPY,426039,427000,421500,423661,1695.17,719873648.15
2019-03-02,BTCJPY,425943,427267,421000,426039,1481.44,629700141.43
2019-03-01,BTCJPY,422865,429894,422615,425943,3066.41,1306166557.57
2019-02-28,BTCJPY,421267,432250,418110,422865,6541.02,2773018603.47
2019-02-27,BTCJPY,419629,423460,408077,421267,4867.21,2034519185.95
2019-02-26,BTCJPY,423575,424316,416000,419629,4004.61,1684101748.0
2019-02-25,BTCJPY,413712,428840,412991,423575,5622.34,2363202943.9
2019-02-24,BTCJPY,453900,462596,405195,413712,8707.24,3749444300.29
2019-02-23,BTCJPY,435789,459000,432074,453900,3961.45,1755437670.19
2019-02-22,BTCJPY,432185,437111,430501,435789,3696.63,1602884662.15
2019-02-21,BTCJPY,435816,440500,428530,432185,4429.76,1920851442.29
2019-02-20,BTCJPY,429982,437500,427187,435816,3780.11,1634149762.77
2019-02-19,BTCJPY,427531,439260,424211,429982,6980.32,3015292094.24
2019-02-18,BTCJPY,400000,433000,399000,427531,8909.71,3696478803.09
2019-02-17,BTCJPY,395229,402060,392900,400000,3359.7,1332738250.95
2019-02-16,BTCJPY,393923,398000,393701,395229,1525.39,603960418.72
2019-02-15,BTCJPY,392999,398000,391230,393923,3869.35,1525156118.64
2019-02-14,BTCJPY,395099,397100,392701,392999,3539.38,1398666473.03
2019-02-13,BTCJPY,395085,398333,393109,395099,3905.12,1543441043.66
2019-02-12,BTCJPY,394797,397895,390899,395085,4008.62,1578897249.69
2019-02-11,BTCJPY,398468,399000,392860,394797,2965.28,1170796924.38
2019-02-10,BTCJPY,395754,398930,390779,398468,2154.79,849397558.54
2019-02-09,BTCJPY,396319,397733,392297,395754,2545.76,1006160048.39
2019-02-08,BTCJPY,368506,406000,366500,396319,7154.69,2737250189.4
2019-02-07,BTCJPY,369749,371000,367800,368506,2640.9,975581974.68
2019-02-06,BTCJPY,376402,377771,366510,369749,3565.82,1320470264.55
2019-02-05,BTCJPY,374521,377310,373050,376402,2033.35,762976202.74
2019-02-04,BTCJPY,373695,376713,372340,374521,2154.47,806131800.42
2019-02-03,BTCJPY,378887,379616,370650,373695,1945.28,728518680.54
2019-02-02,BTCJPY,375637,381000,372510,378887,2219.49,833221379.43
2019-02-01,BTCJPY,370400,377519,367000,375637,3760.36,1397367447.8
2019-01-31,BTCJPY,373707,376620,367390,370400,5499.65,2047340679.6
2019-01-30,BTCJPY,371160,378000,365940,373707,5663.95,2112253646.05
2019-01-29,BTCJPY,374884,375899,365160,371160,6237.35,2313838976.39
2019-01-28,BTCJPY,386442,386775,369011,374884,7836.38,2942662061.62
2019-01-27,BTCJPY,389483,390000,380920,386442,2738.45,1061086684.11
2019-01-26,BTCJPY,390359,396210,387600,389483,3106.35,1216650503.17
2019-01-25,BTCJPY,391350,392796,383641,390359,4509.66,1757563304.25
2019-01-24,BTCJPY,389000,393413,386487,391350,4068.96,1583360067.56
2019-01-23,BTCJPY,391060,396999,385500,389000,4935.11,1931380949.85
2019-01-22,BTCJPY,387778,393570,376278,391060,5593.69,2168359563.55
2019-01-21,BTCJPY,388607,390836,383690,387778,3238.1,1256037889.26
2019-01-20,BTCJPY,404771,407000,384001,388607,3684.56,1451674486.43
2019-01-19,BTCJPY,396762,412000,396289,404771,2993.72,1212288400.2
2019-01-18,BTCJPY,397252,398413,393005,396762,3124.3,1237701808.89
2019-01-17,BTCJPY,394024,399310,387500,397252,4728.94,1860312881.83
2019-01-16,BTCJPY,389848,398492,384000,394024,4223.88,1656993547.48
2019-01-15,BTCJPY,397000,399733,386501,389848,4752.15,1880124210.96
2019-01-14,BTCJPY,382314,402580,381500,397000,4594.64,1793325509.51
2019-01-13,BTCJPY,393909,396500,380000,382314,3190.54,1238313934.68
2019-01-12,BTCJPY,395305,397460,390900,393909,2127.15,839512428.44
2019-01-11,BTCJPY,393876,401430,390000,395305,6191.0,2443678426.89
2019-01-10,BTCJPY,433332,435399,389000,393876,9902.81,4071883044.95
2019-01-09,BTCJPY,434938,439650,431650,433332,5459.22,2380161391.1
2019-01-08,BTCJPY,434499,446136,429490,434938,6278.37,2740728746.26
2019-01-07,BTCJPY,438294,440866,429230,434499,6193.92,2697339574.87
2019-01-06,BTCJPY,412408,442300,410001,438294,6022.24,2574389783.46
2019-01-05,BTCJPY,414457,419041,410355,412408,3706.25,1541651724.91
2019-01-04,BTCJPY,408800,418000,405000,414457,6549.05,2684129036.84
2019-01-03,BTCJPY,417760,419494,406330,408800,4342.5,1791049259.1
2019-01-02,BTCJPY,419299,424999,410860,417760,7183.75,3002057771.77
2019-01-01,BTCJPY,406545,420480,401170,419299,3682.25,1508091062.72
2018-12-31,BTCJPY,423500,424200,401759,406545,6652.01,2754433164.3
2018-12-30,BTCJPY,413249,426000,408806,423500,7109.54,2977864678.5
2018-12-29,BTCJPY,429351,434500,408947,413249,5575.27,2380094676.38
2018-12-28,BTCJPY,399400,433980,396235,429351,9215.92,3818872434.25
2018-12-27,BTCJPY,424047,426000,396670,399400,9169.95,3785041659.37
2018-12-26,BTCJPY,417999,428129,408000,424047,10267.58,4298197625.67
2018-12-25,BTCJPY,445238,446064,405021,417999,16136.05,6740445229.69
2018-12-24,BTCJPY,438405,469799,438300,445238,12787.91,5844088536.13
2018-12-23,BTCJPY,442870,450600,434000,438405,9327.81,4134118135.79
2018-12-22,BTCJPY,427515,445905,420931,442870,7070.42,3046321464.28
2018-12-21,BTCJPY,453368,462500,419403,427515,18547.04,8220605368.93
2018-12-20,BTCJPY,413390,464794,411229,453368,24483.09,10799603626.18
2018-12-19,BTCJPY,412597,441499,408328,413390,18004.69,7613910833.71
2018-12-18,BTCJPY,394427,414000,385501,412597,10355.57,4105685361.1
2018-12-17,BTCJPY,362693,404170,361999,394427,13885.95,5292911883.45
2018-12-16,BTCJPY,360040,369836,360040,362693,3636.01,1328470032.39
2018-12-15,BTCJPY,362244,365999,354350,360040,4625.63,1665037741.38
2018-12-14,BTCJPY,370286,373577,355800,362244,8766.64,3215530051.72
2018-12-13,BTCJPY,388669,389510,366720,370286,7557.26,2883507303.78
2018-12-12,BTCJPY,380145,395000,377310,388669,9092.75,3501164316.21
2018-12-11,BTCJPY,387445,388299,374100,380145,8319.19,3172541467.31
2018-12-10,BTCJPY,398070,404990,384000,387445,4651.03,1823260960.44
2018-12-09,BTCJPY,376148,411590,376148,398070,8724.1,3450797587.58
2018-12-08,BTCJPY,381291,393788,375000,376148,8801.72,3379314508.07
2018-12-07,BTCJPY,389475,400000,365870,381291,16135.61,6152374706.58
2018-12-06,BTCJPY,422820,432000,415100,431196,667.99,281988555.36
2018-12-05,BTCJPY,441161,442599,428000,434501,6900.94,3002230822.03
2018-12-04,BTCJPY,436430,455861,424500,441161,12920.42,5702089864.83
2018-12-03,BTCJPY,466647,468950,430000,436430,11823.17,5295754290.26
2018-12-02,BTCJPY,471031,484999,459360,466647,10994.57,5160102197.88
2018-12-01,BTCJPY,451690,486800,444070,471031,9861.95,4593223558.71
2018-11-30,BTCJPY,482258,489290,440000,451690,18870.73,8744997593.4
2018-11-29,BTCJPY,480984,500901,463980,482258,17115.55,8247663828.05
2018-11-28,BTCJPY,430120,495800,430117,480984,19095.5,8888530412.61
2018-11-27,BTCJPY,425000,436400,408203,430120,15257.66,6440913576.29
2018-11-26,BTCJPY,445651,464800,406536,425000,14197.98,6254497870.31
2018-11-25,BTCJPY,426871,465647,401005,445651,14370.89,6188586305.16
2018-11-24,BTCJPY,485403,495450,414180,426871,9961.44,4560865529.14
2018-11-23,BTCJPY,483889,492211,462737,485403,13140.39,6298209813.55
2018-11-22,BTCJPY,513389,519998,480429,483889,12493.6,6299962358.68
2018-11-21,BTCJPY,493334,526010,478854,513389,17411.12,8783286272.96
2018-11-20,BTCJPY,541994,545009,461100,493334,25356.65,12792566429.94
2018-11-19,BTCJPY,628964,629670,527229,541994,21530.36,12555592918.3
2018-11-18,BTCJPY,623247,633000,623200,628964,2438.08,1530273085.25
2018-11-17,BTCJPY,625350,627230,616490,623247,2732.15,1696400337.54
2018-11-16,BTCJPY,635038,637540,619520,625350,8274.36,5209520768.74
2018-11-15,BTCJPY,649133,658197,592674,635038,14847.29,9363508057.31
2018-11-14,BTCJPY,713419,717706,600906,649133,13076.47,8685613806.98
2018-11-13,BTCJPY,719645,719991,711310,713419,3477.2,2491788620.23
2018-11-12,BTCJPY,722837,725900,717000,719645,2797.81,2020731065.1
2018-11-11,BTCJPY,721247,724041,713000,722837,1411.16,1014232331.45
2018-11-10,BTCJPY,720000,725410,719500,721247,1205.91,870883196.12
2018-11-09,BTCJPY,727800,728853,716550,720000,3365.05,2436396395.99
2018-11-08,BTCJPY,736824,738600,726932,727800,3270.14,2393822734.93
2018-11-07,BTCJPY,729558,742248,728988,736824,4697.4,3456242890.57
2018-11-06,BTCJPY,724217,730895,721000,729558,3093.24,2242519738.51
2018-11-05,BTCJPY,725459,728000,719111,724217,2290.99,1659053563.76
2018-11-04,BTCJPY,716487,728899,714356,725459,2221.84,1601701050.56
2018-11-03,BTCJPY,717612,717941,713500,716487,772.65,553060655.78
2018-11-02,BTCJPY,713733,719535,712000,717612,2331.16,1668823064.19
2018-11-01,BTCJPY,711545,716000,707784,713733,2724.25,1935977043.32
2018-10-31,BTCJPY,705054,717600,701737,711545,3576.4,2536088799.16
2018-10-30,BTCJPY,703190,709606,702032,705054,2519.86,1777553577.73
2018-10-29,BTCJPY,717000,717234,693002,703190,7088.9,5031881378.3
2018-10-28,BTCJPY,716700,718600,713500,717000,1196.61,856553384.08
2018-10-27,BTCJPY,716625,718000,714501,716700,717.22,513972963.46
2018-10-26,BTCJPY,717445,722500,712040,716625,3802.5,2725352657.42
2018-10-25,BTCJPY,718583,721200,712885,717445,2847.31,2043281194.34
2018-10-24,BTCJPY,717528,725500,717130,718583,2802.97,2023345479.06
2018-10-23,BTCJPY,722260,722612,714000,717528,3603.85,2589320539.1
2018-10-22,BTCJPY,721676,723765,717166,722260,2362.97,1705396510.03
2018-10-21,BTCJPY,720741,727399,719267,721676,1362.7,985781238.89
2018-10-20,BTCJPY,718992,723279,716206,720741,1349.71,971413907.5
2018-10-19,BTCJPY,718094,721697,714383,718992,3035.82,2180144158.82
2018-10-18,BTCJPY,725895,730000,710100,718094,3759.46,2714687053.63
2018-10-17,BTCJPY,726600,727949,720333,725895,3928.44,2845592345.18
2018-10-16,BTCJPY,720796,729999,717313,726600,4860.26,3513929341.61
2018-10-15,BTCJPY,695424,749998,692050,720796,13431.25,9685462749.31
2018-10-14,BTCJPY,697003,705526,692161,695424,2258.63,1579889988.09
2018-10-13,BTCJPY,696700,699500,695821,697003,1255.11,875740473.75
2018-10-12,BTCJPY,691512,703360,687718,696700,4713.79,3286878628.19
2018-10-11,BTCJPY,732494,732999,687718,691512,10833.41,7581267449.29
2018-10-10,BTCJPY,745697,745697,727419,732494,5872.51,4326686426.37
2018-10-09,BTCJPY,747399,748175,741740,745697,3253.7,2425300649.75
2018-10-08,BTCJPY,747052,752400,742500,747399,3088.66,2307767964.37
2018-10-07,BTCJPY,745978,749003,740300,747052,1823.67,1357002581.81
2018-10-06,BTCJPY,748573,749752,742111,745978,1945.81,1450144289.82
2018-10-05,BTCJPY,745550,753000,741330,748573,3727.15,2779027293.97
2018-10-04,BTCJPY,739940,754747,738241,745550,5252.45,3925238696.12
2018-10-03,BTCJPY,737400,742590,727000,739940,4682.28,3440413408.61
2018-10-02,BTCJPY,747527,750000,734160,737400,4421.18,3290916560.28
2018-10-01,BTCJPY,750600,755886,740000,747527,5680.64,4258162458.54
2018-09-30,BTCJPY,747964,753360,740000,750600,3684.3,2755454071.51
2018-09-29,BTCJPY,751915,752000,733970,747964,4417.88,3283695346.06
2018-09-28,BTCJPY,755162,769050,741827,751915,9448.3,7141135146.11
2018-09-27,BTCJPY,728368,762791,725393,755162,8079.58,5973497012.97
2018-09-26,BTCJPY,725817,739155,719500,728368,7442.84,5425604480.64
2018-09-25,BTCJPY,741351,741352,715111,725817,9245.96,6691496972.82
2018-09-24,BTCJPY,752993,755240,737000,741351,4035.86,3008494646.0
2018-09-23,BTCJPY,754160,761300,748479,752993,2737.14,2065055556.63
2018-09-22,BTCJPY,757653,765971,742500,754160,5832.56,4396079384.68
2018-09-21,BTCJPY,727854,762180,727852,757653,10404.22,7798116200.38
2018-09-20,BTCJPY,712622,733775,711721,727854,5976.66,4301981588.63
2018-09-19,BTCJPY,710599,729805,689003,712622,7542.26,5365989482.52
2018-09-18,BTCJPY,698797,715678,696881,710599,4571.84,3227386876.95
