Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume USD
2019-07-03,ETCUSD,7.98,8.127,7.891,7.92,236.46,1894.97
2019-07-02,ETCUSD,7.854,9,7.597,7.98,466.8,3752.46
2019-07-01,ETCUSD,8.117,8.489,7.631,7.854,541.95,4286.29
2019-06-30,ETCUSD,8.416,8.75,8.016,8.117,596.44,4930.6
2019-06-29,ETCUSD,8.175,8.512,8,8.416,241.78,1985.84
2019-06-28,ETCUSD,7.742,8.3,7.71,8.175,515.87,4165.54
2019-06-27,ETCUSD,9.071,9.26,7.435,7.742,1166.85,9742.48
2019-06-26,ETCUSD,9.336,9.97,8.86,9.071,1466.37,13937.8
2019-06-25,ETCUSD,9.31,9.336,9.09,9.336,108.03,998.62
2019-06-24,ETCUSD,9.2,9.5,8.995,9.31,405.46,3743.28
2019-06-23,ETCUSD,9.219,9.54,9.036,9.2,1081.35,10130.72
2019-06-22,ETCUSD,8.721,9.3,8.64,9.219,884.89,8029.91
2019-06-21,ETCUSD,8.62,8.859,8.6,8.721,236.49,2053.45
2019-06-20,ETCUSD,8.623,8.682,8.522,8.62,275.43,2362.38
2019-06-19,ETCUSD,8.618,8.708,8.512,8.623,95.1,816.84
2019-06-18,ETCUSD,8.83,8.859,8.483,8.618,262.26,2282.19
2019-06-17,ETCUSD,8.79,8.889,8.622,8.83,457.65,4024.99
2019-06-16,ETCUSD,8.871,8.871,8.53,8.79,292.66,2544.02
2019-06-15,ETCUSD,8.75,8.92,8.661,8.871,207.8,1822.88
2019-06-14,ETCUSD,8.818,8.9,8.523,8.75,301.71,2627.39
2019-06-13,ETCUSD,8.886,9,8.6,8.818,931.67,8064.6
2019-06-12,ETCUSD,8.54,9.1,8.54,8.886,392.27,3456.6
2019-06-11,ETCUSD,8.56,8.749,8.47,8.54,422.87,3592.56
2019-06-10,ETCUSD,8.552,8.75,8.3,8.56,235.53,2025.43
2019-06-09,ETCUSD,8.679,8.735,8.27,8.552,199.81,1713.11
2019-06-08,ETCUSD,8.445,8.927,8.382,8.679,505.01,4392.68
2019-06-07,ETCUSD,8.24,8.5,7.83,8.45,343.05,2819.0
2019-06-06,ETCUSD,8.39,8.39,7.7,8.24,694.18,5567.5
2019-06-05,ETCUSD,8.58,8.62,8,8.39,515.5,4284.67
2019-06-04,ETCUSD,9.77,9.77,8,8.58,1264.69,11105.66
2019-06-03,ETCUSD,9.49,9.89,9,9.77,858.53,8257.54
2019-06-02,ETCUSD,8.67,9.55,8.6,9.49,958.56,8883.25
2019-06-01,ETCUSD,8.8,8.95,8.6,8.67,274.49,2407.51
2019-05-31,ETCUSD,8.07,8.8,8.07,8.8,339.72,2841.68
2019-05-30,ETCUSD,8.23,8.85,8.03,8.07,848.7,7224.25
2019-05-29,ETCUSD,8.02,8.39,7.8,8.23,624.18,5045.78
2019-05-28,ETCUSD,7.81,8.23,7.77,8.02,593.51,4789.37
2019-05-27,ETCUSD,7.46,8.03,7.46,7.94,601.13,4608.51
2019-05-26,ETCUSD,7.21,7.54,7.01,7.46,243.32,1776.66
2019-05-25,ETCUSD,7.26,7.26,7.09,7.21,173.57,1238.67
2019-05-24,ETCUSD,7.01,7.3,7,7.26,276.6,1988.98
2019-05-23,ETCUSD,6.99,7.08,6.7,7.01,457.75,3174.5
