Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume USD
2018-06-11 04-AM,ZECUSD,200.9,202.02,199.64,202.02,212.39,42642.76
2018-06-11 03-AM,ZECUSD,202.35,203.99,200.59,200.9,504.21,102114.31
2018-06-11 02-AM,ZECUSD,200.04,202.51,199.94,202.35,169.71,34189.36
2018-06-11 01-AM,ZECUSD,199.76,200.07,198.02,200.04,172.0,34252.1
2018-06-11 12-AM,ZECUSD,200.09,201.25,198.49,199.76,456.51,91232.81
2018-06-10 11-PM,ZECUSD,197.03,200.39,197.03,200.09,408.63,81266.84
2018-06-10 10-PM,ZECUSD,203.55,204,197.03,197.03,539.97,108101.44
2018-06-10 09-PM,ZECUSD,206.78,207.96,203.55,203.55,375.67,77179.09
2018-06-10 08-PM,ZECUSD,209.08,209.2,206.65,206.78,129.23,26860.31
2018-06-10 07-PM,ZECUSD,205.57,209.81,205.54,209.08,471.19,98059.75
2018-06-10 06-PM,ZECUSD,204.94,207.24,203,205.57,742.85,152280.98
2018-06-10 05-PM,ZECUSD,220.7,221.02,203.76,204.94,2092.23,441758.42
2018-06-10 04-PM,ZECUSD,222.67,222.78,220.61,220.7,205.65,45601.24
2018-06-10 03-PM,ZECUSD,224.47,225.73,222.07,222.67,652.31,146521.63
2018-06-10 02-PM,ZECUSD,220.37,224.47,220.07,224.47,439.72,97772.43
2018-06-10 01-PM,ZECUSD,217.75,220.83,217.59,220.37,1213.63,265752.64
2018-06-10 12-PM,ZECUSD,218.16,219.21,217.54,217.75,1022.74,223614.45
2018-06-10 11-AM,ZECUSD,217.66,218.47,217.62,218.16,284.69,62109.61
2018-06-10 10-AM,ZECUSD,217.72,217.8,217.11,217.66,113.69,24710.98
2018-06-10 09-AM,ZECUSD,217.32,218,217.06,217.72,243.67,53015.44
2018-06-10 08-AM,ZECUSD,216.58,217.81,216.41,217.32,503.37,109249.81
2018-06-10 07-AM,ZECUSD,220.69,221.06,216.52,216.58,726.88,159077.79
2018-06-10 06-AM,ZECUSD,220.37,221.03,219.85,220.69,114.67,25292.86
2018-06-10 05-AM,ZECUSD,219.52,220.37,219.28,220.37,232.32,51060.43
2018-06-10 04-AM,ZECUSD,219.26,220.8,219,219.52,340.1,74936.23
2018-06-10 03-AM,ZECUSD,220.61,220.79,219.17,219.26,127.27,27999.53
2018-06-10 02-AM,ZECUSD,221.84,222.12,220.5,220.61,77.86,17201.89
2018-06-10 01-AM,ZECUSD,221.05,222.39,220.61,221.84,386.88,85609.86
2018-06-10 12-AM,ZECUSD,230.48,230.48,220.67,221.05,1185.66,267764.42
2018-06-09 11-PM,ZECUSD,231.38,232.31,228.6,230.48,773.79,177822.34
2018-06-09 10-PM,ZECUSD,232.59,232.59,231.08,231.38,359.32,83213.74
2018-06-09 09-PM,ZECUSD,231.95,232.84,231.95,232.59,327.84,76153.9
2018-06-09 08-PM,ZECUSD,233.73,233.73,231.34,231.95,816.84,189399.66
2018-06-09 07-PM,ZECUSD,233.38,233.84,233.22,233.73,411.7,96209.45
2018-06-09 06-PM,ZECUSD,233.44,234.11,233.07,233.38,284.3,66378.65
2018-06-09 05-PM,ZECUSD,234.06,234.11,233.23,233.44,119.13,27830.1
2018-06-09 04-PM,ZECUSD,234.56,234.94,233.89,234.06,339.15,79501.8
2018-06-09 03-PM,ZECUSD,233.97,235.5,233.8,234.56,896.96,210794.89
2018-06-09 02-PM,ZECUSD,233.86,234.85,233.24,233.97,445.46,104254.68
2018-06-09 01-PM,ZECUSD,234.56,234.56,233.2,233.86,1181.68,276532.87
2018-06-09 12-PM,ZECUSD,234.45,234.69,233.37,234.56,967.28,226258.93
2018-06-09 11-AM,ZECUSD,235.46,235.61,234.27,234.45,238.6,56045.2
2018-06-09 10-AM,ZECUSD,235.61,235.94,235.07,235.46,411.44,96845.11
2018-06-09 09-AM,ZECUSD,235.65,235.84,235.12,235.61,112.11,26405.55
2018-06-09 08-AM,ZECUSD,236.31,236.81,235.53,235.65,496.38,117085.66
2018-06-09 07-AM,ZECUSD,236.54,237.79,236.3,236.31,690.51,163759.81
2018-06-09 06-AM,ZECUSD,238.75,238.86,236.54,236.54,603.88,143374.63
2018-06-09 05-AM,ZECUSD,238.8,238.86,238.63,238.75,33.99,8115.28
2018-06-09 04-AM,ZECUSD,238.95,239.28,238.63,238.8,51.69,12345.72
2018-06-09 03-AM,ZECUSD,239.47,239.59,238.75,238.95,676.37,161758.99
2018-06-09 02-AM,ZECUSD,236.82,240.64,236.53,239.47,987.59,235725.39
2018-06-09 01-AM,ZECUSD,236.58,236.96,236.04,236.82,423.18,100124.02
2018-06-09 12-AM,ZECUSD,236.02,237,235.85,236.58,404.65,95689.7
2018-06-08 11-PM,ZECUSD,236.6,236.8,235.45,236.02,881.27,208214.06
2018-06-08 10-PM,ZECUSD,235.88,236.93,235.88,236.6,582.35,137693.48
2018-06-08 09-PM,ZECUSD,235.58,235.96,235.53,235.88,76.02,17914.6
2018-06-08 08-PM,ZECUSD,235.25,236.03,235.04,235.58,358.91,84558.38
2018-06-08 07-PM,ZECUSD,233.5,235.54,233.3,235.25,230.18,54026.83
2018-06-08 06-PM,ZECUSD,234.27,234.59,233.14,233.5,253.54,59315.99
2018-06-08 05-PM,ZECUSD,235.44,235.5,233.45,234.27,216.45,50690.28
2018-06-08 04-PM,ZECUSD,234.22,235.96,234.08,235.44,1218.88,286470.95
2018-06-08 03-PM,ZECUSD,232.17,234.22,231.88,234.22,598.63,139485.28
2018-06-08 02-PM,ZECUSD,232.4,232.4,231.09,232.17,344.19,79758.44
2018-06-08 01-PM,ZECUSD,232.14,232.54,231.47,232.4,366.48,85027.49
2018-06-08 12-PM,ZECUSD,231,232.2,230.61,232.14,622.79,144301.03
2018-06-08 11-AM,ZECUSD,231.57,231.59,230.5,231,338.23,78116.88
2018-06-08 10-AM,ZECUSD,233,233,231.33,231.57,324.26,75242.36
2018-06-08 09-AM,ZECUSD,233.74,233.98,232.65,233,492.39,115002.0
2018-06-08 08-AM,ZECUSD,235.06,235.11,232.59,233.74,1224.16,285261.36
2018-06-08 07-AM,ZECUSD,236.1,236.38,235.06,235.06,719.98,169745.74
2018-06-08 06-AM,ZECUSD,236.28,236.76,236.09,236.1,117.33,27728.6
2018-06-08 05-AM,ZECUSD,236.69,237.09,236.07,236.28,146.7,34699.89
2018-06-08 04-AM,ZECUSD,237.54,237.54,236.42,236.69,346.31,82031.43
2018-06-08 03-AM,ZECUSD,238.23,238.73,237.26,237.54,286.6,68124.1
2018-06-08 02-AM,ZECUSD,238.18,238.76,237.26,238.23,223.82,53301.65
2018-06-08 01-AM,ZECUSD,238.05,238.88,237.7,238.18,302.94,72254.78
2018-06-08 12-AM,ZECUSD,237.02,238.28,236.47,238.05,475.98,112876.52
2018-06-07 11-PM,ZECUSD,236.49,238.01,236.19,237.02,529.48,125574.23
2018-06-07 10-PM,ZECUSD,237.41,237.73,236.12,236.49,383.44,90767.3
2018-06-07 09-PM,ZECUSD,236.98,237.63,236.11,237.41,260.24,61654.04
